Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,महेन्द्र बहादुर शाही,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,11734,पुरुष,49,Elected,कर्णाली प्रदेश,कालिकोट,1,एस.एल.सी,,,"श्री वडीमालिका मा.वि. रास्कोट, कालीकोट"
2,श्री नगीन्द्र शाही,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10647,पुरुष,46,,कर्णाली प्रदेश,कालिकोट,1,स्‍नातक,,,त्रिचन्द्र कलेज काठमाडौ
3,हर्ष बहादुर बम,नेपाली काँग्रेस,रुख,7450,पुरुष,51,,कर्णाली प्रदेश,कालिकोट,1,आइ.ए,,,
4,खडग वहादुर विश्वकर्मा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,4993,पुरुष,57,,कर्णाली प्रदेश,कालिकोट,1,आइ.एड,,,श्री शिक्षा क्याम्पस सुर्खेत
5,प्रकाश न्यौपाने,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,3101,पुरुष,31,,कर्णाली प्रदेश,कालिकोट,1,स्‍नातक,,,त्रिभुवन विश्व विद्यालय
6,सुर्य बहादुर शाही,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,603,पुरुष,60,,कर्णाली प्रदेश,कालिकोट,1,+2 पास,,,"श्री पंचदेव उच्च माध्यमिक विद्यालय, मान्म, कलीकोट"
7,नन्द बहादुर शाही,नेपाल मजदुर किसान पार्टी,मादल,597,पुरुष,67,,कर्णाली प्रदेश,कालिकोट,1,प्रवेशिका,,,चन्दननाथ मा.वि.(जुम्ला विस्तार क्याम्पस) जुम्ला
8,अज बहादुर गिरी,राष्ट्रिय जनमोर्चा,गिलास,175,पुरुष,62,,कर्णाली प्रदेश,कालिकोट,1,स्‍नातक,,,त्रिभुवन विश्‍वविद्यालय काठमाडौ
9,अस्मिन कुमार विष्ट,स्वतन्त्र,ट्रफी,70,पुरुष,27,,कर्णाली प्रदेश,कालिकोट,1,+2 ,,,HSEB
10,मान बहादुर तिरुवा,स्वतन्त्र,कैंची,7,पुरुष,26,,कर्णाली प्रदेश,कालिकोट,1,प्रविणता प्रमाण पत्र,,,सामुदायिक विद्यालय
