Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,खडक वहादुर वुढा,नेपाली काँग्रेस,रुख,20142,पुरुष,40,कर्णाली प्रदेश,जाजरकोट,1,MA,,,tu
2,शक्ति बहादुर वस्नेत,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,17407,पुरुष,56,कर्णाली प्रदेश,जाजरकोट,1,med,,,tu
3,डम्बर बहादुर सिंह,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,16883,पुरुष,61,कर्णाली प्रदेश,जाजरकोट,1,med,,,tu
4,राघब​ कार्की,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,2471,पुरुष,50,कर्णाली प्रदेश,जाजरकोट,1,MA,,,tu
5,कृष्ण  बिक्रम शाह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,359,पुरुष,54,कर्णाली प्रदेश,जाजरकोट,1,10+2 पास,,,HSEB
6,बल बहादुर मल्ल,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,212,पुरुष,40,कर्णाली प्रदेश,जाजरकोट,1,10+2 pass,,,HSEB
7,कर्ण बहादुर नेपाली,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,67,पुरुष,39,कर्णाली प्रदेश,जाजरकोट,1,bed pass,,,Tu
8,रत्न बहादुर खड्का,राष्ट्रिय जनमोर्चा,गिलास,55,पुरुष,63,कर्णाली प्रदेश,जाजरकोट,1,10 pass,,,जनप्रिय मा वि दशेरा
9,मेघ बहादुर ओली,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,38,पुरुष,59,कर्णाली प्रदेश,जाजरकोट,1,slc,,,Neb
10,धनी राम जैसी,नेपाल मजदुर किसान पार्टी,मादल,25,पुरुष,63,कर्णाली प्रदेश,जाजरकोट,1,९ पास,,,सरस्वती मावि
11,कमान बुढा मगर,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,9,पुरुष,25,कर्णाली प्रदेश,जाजरकोट,1,see,,,Neb
