Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,ज्ञान बहादुर शाही,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,14816,पुरुष,34,कर्णाली प्रदेश,जुम्ला,1,,,,
2,नरेश भण्‍डारी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,11635,पुरुष,47,कर्णाली प्रदेश,जुम्ला,1,,,,
3,दिप बहादुर शाही,नेपाली काँग्रेस,रुख,7143,पुरुष,66,कर्णाली प्रदेश,जुम्ला,1,,,,
4,शान्ति लाल महत,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4518,पुरुष,63,कर्णाली प्रदेश,जुम्ला,1,,,,
5,बिनिता कठायत,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,421,महिला,29,कर्णाली प्रदेश,जुम्ला,1,,,,
6,बिर्ष बहादुर रावत,नेपाल मजदुर किसान पार्टी,मादल,400,पुरुष,59,कर्णाली प्रदेश,जुम्ला,1,,,,
7,मनऋषि धिताल,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,112,पुरुष,47,कर्णाली प्रदेश,जुम्ला,1,,,,
8,विर्ख बहादुर शाही,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,71,पुरुष,52,कर्णाली प्रदेश,जुम्ला,1,,,,
9,रनील विक्रम शाही,नेपाल जनता पार्टी,कमलको फूल,43,पुरुष,26,कर्णाली प्रदेश,जुम्ला,1,,,,
10,भक्त बहादुर रावल,स्वतन्त्र,जीप,14,पुरुष,47,कर्णाली प्रदेश,जुम्ला,1,,,,
