Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,बासना थापा,नेपाली काँग्रेस,रुख,12372,महिला,45,कर्णाली प्रदेश,दैलेख,1,m. a pass ,,,
2,रविन्द्र राज शर्मा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,11796,पुरुष,61,कर्णाली प्रदेश,दैलेख,1,SLC,,,
3,नन्द किशोर बस्नेत,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,8151,पुरुष,58,कर्णाली प्रदेश,दैलेख,1,I.ed pass ,,,
4,अम्मर बहादुर थापा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4256,पुरुष,70,कर्णाली प्रदेश,दैलेख,1,test पास,,,
5,रण बहादुर सिंह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,598,पुरुष,52,कर्णाली प्रदेश,दैलेख,1,SLC,,,
6,जगत वहादुर ओली,नेपाल मजदुर किसान पार्टी,मादल,302,पुरुष,57,कर्णाली प्रदेश,दैलेख,1,स्नातक तह,,,
7,रामलाल बिश्वकर्मा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,235,पुरुष,53,कर्णाली प्रदेश,दैलेख,1,B.ed pass ,,,
8,नर बहादुर सिंह,राष्ट्रिय जनमोर्चा,गिलास,91,पुरुष,42,कर्णाली प्रदेश,दैलेख,1,I.ed pass ,,,
9,लोग बहादुर बोगटी,स्वतन्त्र,भँगेरा,29,पुरुष,65,कर्णाली प्रदेश,दैलेख,1,१० पास,,,
10,मेनका श्रेष्ठ,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,16,महिला,42,कर्णाली प्रदेश,दैलेख,1,12 pass ,,,
