Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,लक्ष्मी प्रसाद पोखरेल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,13889,पुरुष,63,Elected,कर्णाली प्रदेश,दैलेख,2,आइए,२०४९ गाविस अध्यक्ष २०७० स‌विधान सभा सदस्य नेकपा एमाले पोलिटब्यूरो सदस्य ,,त्रिभुवन विश्व विद्यालय
2,दिक्पाल कुमार शाहि,नेपाली काँग्रेस,रुख,9552,पुरुष,64,,कर्णाली प्रदेश,दैलेख,2,प्रविणता प्रमाण पत्र तह,३ वर्ष शिक्षण पेशा २०४९ मा जिविस सदस्य निर्वाचित २०७९ सालमा प्रतिनिधि सभा सदस्य निर्वाचित,प्रजातान्त्रिक तथा लोकतान्त्रिक आन्दोलमा नेतृत्वदायी भूमिका निर्वाह गरेको,त्रिभुवन विश्वविद्यालय
3,बखत बहादुर शाही,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,6797,पुरुष,56,,कर्णाली प्रदेश,दैलेख,2,स्नातकोत्तर ,सडक सि‌चाई खानेपानी जिविकोपार्जन लगायतका क्षेत्रमा कार्य गरेको भवन योजना विद्युत सोलार लगायतका कार्यहरुमा कार्य गरेको,सडक सि‌चाई खानेपानी जिविकोपार्जन लगायतका क्षेत्रमा कार्य गरेको भवन योजना विद्युत सोलार लगायतका कार्यहरुमा कार्य गरेको,पोखरा विश्वविद्यालय 
4,योगेन्द्र वहादुर शाही,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3851,पुरुष,51,,कर्णाली प्रदेश,दैलेख,2,एमफिल,विश्व प्रजातान्त्रिक यूवा स‌घको भई युवाहरुको हितमा कार्य गरेको र कर्णाली प्रदेशको योजना आयोगको उपाध्यक्ष भई कार्य गरेको,अन्तराष्ट्रिय राजनीतिक सम्मेलनका लागि नेपालको तर्फबाट पूर्व प्रधानमन्त्रीको प्रतिनिधिका रुपमा विभिन्न देशमा सहभागिता हुँदा सम्वन्ध भूराजनीति र विकासमोडेलको बारेमा जानकार भएको,जवारलालनेहरु विश्वविद्यालय
5,वखत बहादुर थापा,नेपाल मजदुर किसान पार्टी,मादल,1512,पुरुष,50,,कर्णाली प्रदेश,दैलेख,2,+2,देश र जनताको निस्वार्थ सेवामा लामो समय देखि कार्यरत रही आएको ,देश र जनताको निस्वार्थ सेवा गर्ने भ्रष्टचार र कमिसनको अन्त्य गरी सामाजिक न्याय आर्थिक स्वतन्त्रता र बाँच्न पाउने  अधिकारको रक्षा गर्न मैले उम्मेदवारी पेश गरेकाे छु ।,चामुण्डा उच्च मावि 
6,बविता कुमारी शाही,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,366,महिला,42,,कर्णाली प्रदेश,दैलेख,2,M.Ed.,समाज सेवा,समाज सेवा,T.U.
7,कलम सिंह,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,337,पुरुष,45,,कर्णाली प्रदेश,दैलेख,2,+2,राष्ट्रियता र भ्रष्टचार विरुद्ध स‌घर्ष गरेको पार्टीको विभिन्न पदिय जिम्मेवारीमा रहि सेवा गरेकाे,राष्ट्रियता र भ्रष्टचार विरुद्ध स‌घर्ष गरेको पार्टीको विभिन्न पदिय जिम्मेवारीमा रहि सेवा गरेकाे,कालिका मावि तिलेपाटा
8,कमल बहादुर बरै मगर,राष्ट्रिय जनमोर्चा,गिलास,101,पुरुष,52,,कर्णाली प्रदेश,दैलेख,2,SLC,समाज सेवा ,देश र जनताको हितको खातिर सेवा भावले काम गर्ने प्रतिवद्धता जाहेर गर्छु,आनन्द मावि चामुण्डा
9,हिम बहादुर शाही,स्वतन्त्र,ढिकी,43,पुरुष,26,,कर्णाली प्रदेश,दैलेख,2,+2,समाज सेवा,समाज सेवा ,बहुमुखी क्याम्पस सुर्खेत
10,तिर्था कुमारी बशीं मगर बि.क.,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,33,महिला,27,,कर्णाली प्रदेश,दैलेख,2,SLC,समाजसेवा,समाजसेवा,पार्वति उमावि गोगनपानी
11,लाल बहादुर कठायत,स्वतन्त्र,सेलरोटी,32,पुरुष,38,,कर्णाली प्रदेश,दैलेख,2,+2,समाजसेवा,समाजसेवा,आठबिस शिक्षा क्याम्पस
