Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,गोपाल शर्मा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,21609,पुरुष,48,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,स्नातक,कर्णाली प्रदेश सभा सदस्य,,शितल क्याम्पस चौरजहारी
2,राजु के.सी.,नेपाली काँग्रेस,रुख,16661,पुरुष,44,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,SLC,"समाजसेवा, सहकारी संघसंस्थामा आबद्ध",,बालकुमारी मा.वि. किर्तिपुर काठमाण्डौ
3,जनार्दन शर्मा,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,14346,पुरुष,62,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,स्नातक,"शान्ती तथा पुनरनिर्माण मन्त्री, उर्जा, गृह,अर्थ मन्त्री",,त्रिभुवन विश्वविद्यालय
4,मान बहादुर शाही,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,4076,पुरुष,39,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,मास्टर्स डिग्री,ईन्जिनियरिङ्ग डिजाईन तथा सुपरभिजनमा लामो अनुभव,,लुम्विनी विश्वविद्यालय
5,नन्दराम देवकोटा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,1869,पुरुष,54,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,एम.ए. समाजशास्त्र,"गा.वि.स. अध्यक्ष, शिक्षक, पार्टी जिल्ला कमिटि अध्यक्ष",,त्रिभुवन विश्वविद्यालय
6,चन्द्र वहादुर वुढा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,366,पुरुष,37,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,M.A. Civil sub engeneer,३ वर्ष शिक्षण तथा ईन्जिनियरिङ्ग,,TU
7,गोपाल खडका,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,228,पुरुष,42,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,आई ए,,,राप्ती बबई क्याम्पस तुल्सीपुर
8,सत्‍यनारायण श्रेष्ठ,राष्ट्रिय जनमोर्चा,गिलास,170,पुरुष,62,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,आठ कक्षा उतिर्ण,,,श्री मा.वि. थवाङ्ग
9,नरेन्द्र के.सी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,84,पुरुष,48,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,स्नातकोत्तर,राष्ट्रिय अन्तर्राष्ट्रिय गैरसरकारी संस्थामा २१  वर्ष,सुशासन समृद्धि रसामाजिक न्यायका लागि रुकुम पश्चिमको तर्फवाट विकास निर्मान र व्यवस्थापिकामा विधि निर्माणका लागि तिव्र रुपमा महत्वपूर्ण योगदान दिने।,त्रि.वि.वि./ खुला बिश्वविद्यालय भारत
10,शेर बहादुर के.सी.,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,54,पुरुष,70,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,प्रमाणपत्र तह,शिक्षा सास्त्र संस्थान नेपालगञ्ज,,
11,प्रेमा दमाई नेपाली,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,45,महिला,44,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,आधारभुत तह,10 वर्ष राजनितकअनुभव,,जनजागृति मा.वि. साँख
12,धन बहादुर वि.क.,नेपाल मजदुर किसान पार्टी,मादल,15,पुरुष,43,कर्णाली प्रदेश,रुकुम (पश्चिम भाग),1,प्रमाणपत्र तह,ने.म.कि.पा.मा विगत २५ वर्षदेखि क्रियासिल,प्रतिनिधि सभानिर्वाचन २०८२ धाँधलीरहित र स्वच्छ रुपमा सम्पन्न होस्,त्रिभुवन विश्वविद्यालय
