Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रमेश कुमार मल्ल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,23189,पुरुष,47,Elected,कर्णाली प्रदेश,सल्यान,1,स्‍नातकोत्तर,,,
2,ललित कुमार चन्द,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,20904,पुरुष,42,,कर्णाली प्रदेश,सल्यान,1,स्नातक,,,
3,केश बहादुर विष्ट,नेपाली काँग्रेस,रुख,17558,पुरुष,57,,कर्णाली प्रदेश,सल्यान,1,आई.एल.,,,
4,गुलाव जंग शाह,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15373,पुरुष,60,,कर्णाली प्रदेश,सल्यान,1,,,,
5,चन्द्र बहादुर खड्का,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,943,पुरुष,48,,कर्णाली प्रदेश,सल्यान,1,एस.एल.सी.,,,
6,अनिशा नेपाली,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,902,महिला,32,,कर्णाली प्रदेश,सल्यान,1,स्नातक,,,
7,डिल्ली बहादुर घर्ती,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,222,पुरुष,51,,कर्णाली प्रदेश,सल्यान,1,+2,,,
8,धन बहादुर बुढामगर,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,150,पुरुष,53,,कर्णाली प्रदेश,सल्यान,1,,,,
9,ध्रुव राज वली,स्वतन्त्र,प्रेसर कुकर,120,पुरुष,31,,कर्णाली प्रदेश,सल्यान,1,स्‍नातकोत्तर,,,
10,कमला डाँगी,राष्ट्रिय जनमोर्चा,गिलास,119,महिला,31,,कर्णाली प्रदेश,सल्यान,1,+2,,,
11,कालिदास वि.क.,संयुक्त नागरिक पार्टी,गितार,99,पुरुष,32,,कर्णाली प्रदेश,सल्यान,1,,,,
12,लाल बहादुर थापा क्षेत्री,नेपाल मजदुर किसान पार्टी,मादल,66,पुरुष,51,,कर्णाली प्रदेश,सल्यान,1,स्नातक तह,,,त्रि.वि.वि.
13,बाला सिंह घर्ती,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,52,पुरुष,60,,कर्णाली प्रदेश,सल्यान,1,,,,
14,जुद्ध बहादुर सिंह,स्वतन्त्र,क्याल्कुलेटर,12,पुरुष,30,,कर्णाली प्रदेश,सल्यान,1,एस.एल.सि.,,,
