Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,विष्णु बहादुर खड्का,नेपाली काँग्रेस,रुख,26897,पुरुष,58,Elected,कर्णाली प्रदेश,सुर्खेत,1,S.L.C ,"नेपाली काँग्रेस जिल्ला उपसभापति, सुर्खेत।","म देश, जनता प्रति बफादार रही नेपालको संविधान २०७२ को पुर्वा पालना गरी देशलाई समृद्ध बनाउने छु।",अम्मर ज्योती मा.वि.
2,ध्रुवकुमार शाही,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,18890,पुरुष,55,,कर्णाली प्रदेश,सुर्खेत,1,B.Com,पूर्व प्रतिनिधि सभा सदस्य,,त्रिभुवन विश्वविध्यालय 
3,टेक बहादुर सिंह ठकुरी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,14729,पुरुष,54,,कर्णाली प्रदेश,सुर्खेत,1,S.L.C,,,भानु मा.वि.
4,जित बहादुर राना,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2828,पुरुष,54,,कर्णाली प्रदेश,सुर्खेत,1,स्नातकोत्तर,"सुर्खेत उपत्यका नगर विकास समिति अध्यक्ष
अस्पताल विकास समिति अध्यक्ष
सहकारी संचालन समिति अध्यक्ष
राजनितिक कार्य समाजसेवा",2046 साल देखी राजनितिक यात्रा सुरुवात गरेकोमा 2058 सालदेखि नेकपा (माउवादी) ले संचालन गरेको जनयुद्धमा सहभागी भई 2063 साल पछि विभिन्न राजनितिक जिम्मेवारी पुरा गर्दै हाल नेपाली कम्युनिष्ट पार्टिीकको केन्द्रिय सदस्यको जिम्मेवारी निर्वाह गरिरहेको समेत।,मध्यपश्चिम विश्वविध्यालय सुर्खेत
5,रवि हमाल ठकुरी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1049,पुरुष,28,,कर्णाली प्रदेश,सुर्खेत,1,स्नातकोत्तर,"कार्यकारी सम्पादक- कर्णाली टाइम्स मासिक
प्रकाशक हिमालयन म्यासेज त्रेैमासिक
लौंगिक विविधता तथा सामाजिक विविधता अन्तराष्ट्रिय कोर्स
जीवन दर्शन, नालन्दा विश्वविध्यालय",,त्रिभुवन विश्वविधालय
6,विर बहादुर राना,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,641,पुरुष,55,,कर्णाली प्रदेश,सुर्खेत,1,S.L.C. pass,"२८ वर्ष सरकारी सेवा(नेपाल प्रहरी)
प्राकृतिक विपत्तिमा गाउँघरमा राहत संकलन गरि वितरण
अपाङ्ग, एकल महिला, वृद्ध बृदालाई तातो कपडा विवरण चर्च हरुमा भेटि उठाएर",,आनन्द माध्यामिक विद्यालय गुमी
7,धनसिं सार्कि,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,354,पुरुष,50,,कर्णाली प्रदेश,सुर्खेत,1,८ कक्षा,विभिन्न कृषि सम्बन्धी संस्थामा आवद्ध,,सुर्य ज्योति मा.वि.
8,मोहन थापा,राष्ट्रिय जनमोर्चा,गिलास,321,पुरुष,56,,कर्णाली प्रदेश,सुर्खेत,1,स्नातक,"राष्ट्रिय जनमोर्चाको विभिन्न तहमा काम गरेको
स्थानीय शान्ती समितिमा संयोजक भएर करिव ८ वर्ष काम गरेको
आ.मा.वि. को व्य. समितिको अध्यक्षमा ६ वर्ष काम गरेको
अन्य विभिन्न क्षेत्रमा काम गरेको
चित्र बहादुर के.सी अध्ययन प्रतिस्थानको अध्यक्ष",,मध्य पश्चिम विश्वविधालय सुर्खेत
9,ठम्मरबहादुर विष्ट,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,251,पुरुष,54,,कर्णाली प्रदेश,सुर्खेत,1,स्नातकत्तोर,पूर्व प्रदेश सभा सदस्य भई प्रमुख सचेतक तथा  ने.क.पा. एमालेको केन्द्रिय सदस्य भई काम गरेको,,त्रिभुबन विश्वविद्यालय
10,रमेश सेन्चुरी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,112,पुरुष,52,,कर्णाली प्रदेश,सुर्खेत,1,८ कक्षा,,,
11,हिरु शाही,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,108,पुरुष,56,,कर्णाली प्रदेश,सुर्खेत,1,१० कक्षा पास,,,
12,गज बहादुर खपतडी मगर,नेपाल मजदुर किसान पार्टी,मादल,26,पुरुष,54,,कर्णाली प्रदेश,सुर्खेत,1,३ कक्षा पास,,,
13,प्रकाश बुढा मगर,मितेरी पार्टी नेपाल,घोडा,21,पुरुष,30,,कर्णाली प्रदेश,सुर्खेत,1,१० कक्षा,,,सस्वती मा.वि.
