Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रमेश कुमार सापकोटा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,30826,पुरुष,46,कर्णाली प्रदेश,सुर्खेत,2,SLC,"यातायात क्षेत्रलाई सिन्डिकेटमुक्त गराएको सुर्खेतमा
रोटरी क्लव अफ सुर्खेत मार्फत समाज सेवा योगदान गरेको
सहकारी अभियान सफल पार्न भुईमान्छे भई कार्य गरेको",आगामी दिन म राजनीति मार्फत मुलुकको अवस्थामा निर्वाचित भएर सक्रिय रहने प्रतिबद्धता ब्यक्त गर्दछु।,mahendra mavi dang
2,नारायण कुमार कोइराला,नेपाली काँग्रेस,रुख,16392,पुरुष,52,कर्णाली प्रदेश,सुर्खेत,2,स्नातकोत्तर,"रेडियो पत्रकारिता/व्यवस्थापन
सुर्खेत उपत्यका नगर विकास समितिको अध्यक्षको जिम्मेवारी
अर्बुद रोग निवारण संस्थाको केन्द्रीय उपाध्यक्ष","जनचेतन, बन संरक्षण, खेलकुदको क्षेत्रमा क्रियाशील रहेको साथै कोरोना महामारी, प्राकृतिक प्रकोप (बाढी)मा उद्दार तथा राहतको कार्यमा संलग्न हुँदै आएको। क्यान्सर रोगको निदान र उपचारको लागि दुई दशकदेखि निरन्तर क्रियाशील ",मध्यपश्चिम विश्वविद्यालय
3,कुलमणि देवकोटा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,13155,पुरुष,52,कर्णाली प्रदेश,सुर्खेत,2,आई एल अध्ययन,"साबिक जर्बुटा गा.वि.स. वडा नं १ को वडाअध्यक्ष २०५४
नेकपा एमाले जिल्ला कमिटी सदस्य, उपाध्यक्ष हुँदै हाल जिल्ला कमिटी अध्यक्ष",,बीरेन्द्रनगर बहुमुखी क्याम्पस 
4,झक बहादुर मल्ल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4587,पुरुष,46,कर्णाली प्रदेश,सुर्खेत,2,स्नातकोतर,"समन्वय  विज्ञ, कर्णाली प्रदेश सरकार
जेल ब्रेक पुस्तक प्रकाशन, कविता संग्रह प्रकाशन
पत्रपत्रिका तथा अनलाईनमा लेख रचना प्रकाशन
",१५ वर्षको उमेरदेखि विद्यार्थी आन्दोलनमा सहभागी भई आम विद्यार्थीका शैक्षिक मुद्दा उठाएर समाधान गर्न प्रयत्न गरेको। दश वर्षीय महान जनयुद्धमा सहभागी भई काम गर्दा २०५७ सालमा गिरफ्तार भई डेढ वर्ष जेल जीवन बिताएको । २०५८ मा जेल ब्रेक गरी पुनः जनयुद्धमा सहभागी भईयो। २०७१ सालको विनासकारी बाढी तथा २०७२ को भूकम्पमा परी पीडित परिवारको राहत उद्दार तथा पुनः निर्माणमा सक्रिय । ,त्रिभुवन विश्वविद्यालय
5,राजेन्द्र रामजाली,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1646,पुरुष,50,कर्णाली प्रदेश,सुर्खेत,2,१० पास,"भारतीय सेना निवृत्त
समाज सेवा सहकारी अभियन्ता
","माटोको रक्षा गर्नका लागि सम्पूर्ण नेपालीलाई जोडेर श्रमदान मार्फत देश विकास , निर्माण , व्यवस्था परिवर्तन गर्ने मेरो प्रतिबद्धता छ। त्यसैगरी विदेशी हस्तक्षेपको विरोध गर्ने, उद्योग धन्दा, कलकारखाना खोली नेपाली जनतालाई युवा पुस्तालाई स्वरोजगार बनाई आर्थिक सम्पन्न र देशलाई सम्पन्न गराउने ",सिता जनसहयोग मावि दैलेख
6,कबि राम पुरी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1315,पुरुष,56,कर्णाली प्रदेश,सुर्खेत,2,आइ एल,"नेपालमा हरेक भएमा निर्वाचनमा उम्मेद्वारी दिएको
हाल नेपालको विषम परिस्थिति अवस्थालाई अन्त्य गर्न उत्कृष्ट विचार राखी निरन्तर लागिरहँदा राष्ट्र फसेको अनुभव भएको",राष्ट्र राष्ट्रियता राजसंस्था वैदिक सनातन धर्मको रक्षा र स्वाधीनताको लडाई लडी रहने प्रतिबद्धता व्यक्त गर्दछौं,त्रिभुवन विश्वविद्यालय सम्बन्धन प्राप्त कलेज
7,गम्भीर सिह भुल,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,184,पुरुष,35,कर्णाली प्रदेश,सुर्खेत,2,+2 pass,,,पन्चदेवल क्याम्पस बिनायक अछाम
8,तुल्छी खडका,नेपाल मजदुर किसान पार्टी,मादल,158,महिला,43,कर्णाली प्रदेश,सुर्खेत,2,१० कक्षा पास,राजनैतिक समाजवादी अभियान,जनतालाई शुशासन कायम गर्न प्रशिक्षण गर्ने कृषि व्यापारको ज्ञान,श्री देवी मावि दैलेख
9,धर्मराज देवकोटा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,150,पुरुष,41,कर्णाली प्रदेश,सुर्खेत,2,+2,"कम्प्युटर शिक्षक भएको
राजनीतिक आन्दोलनमा अग्र भूमिकामा रहेको","वि.सं. २०५८ साल देखि देशमा अन्याय अत्याचारको बिरुद्धमा नेपालको ऐतिहासिक परिवर्तनको पक्षमा उभिई निरन्तर देश र जनताको लागि हालको दिनसम्म पनि लागिपरेको, आगामी दिनहरुमा पनि दत्तचित्तका साथ लाग्ने मेरो अठोट छ। ",सुर्योदय उमावि मसिना रोल्पा
10,पूर्ण बहादुर शाही,राष्ट्रिय जनमोर्चा,गिलास,130,पुरुष,63,कर्णाली प्रदेश,सुर्खेत,2,‌आईएड पास,"३५ वर्ष शिक्षक अनुभव
सामाजिक संघ संस्थाको अगुवाई
शिक्षकका पेशागत संगठनहरुको अगुवाई","मानवीय जीवन सुखी र समृद्धि केवल नाराले होइन, व्यवहारिक रुपले आम नागरिकहरुको जीवनमा परिवर्तन ल्याउनु नै मुख्य अनुकरणीय कुरा व्यवहार हो। व्यक्तिगत लोभ लालचबाट माथि उठेर देश जनताका न्यायिक आवाजहरुको पनि आवाज बन्न सक्ने प्रेरणा सहित राजनैतिक चिन्तन र व्यवहारबाट मात्र त्यो सम्भव छ।",बडिमालिका उमावि रास्कोट
