Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,निश्कल राई,नेपाली काँग्रेस,रुख,14543,पुरुष,35,कोशी प्रदेश,इलाम,1,,,,
2,विनोद नेम्बाङ्ग लिम्बु,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,13632,पुरुष,37,कोशी प्रदेश,इलाम,1,,,,
3,काजी मान कागते,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,11966,पुरुष,64,कोशी प्रदेश,इलाम,1,,,,
4,विमल गदाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,9160,पुरुष,54,कोशी प्रदेश,इलाम,1,,,,
5,रन बहादुर राई,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,7665,पुरुष,54,कोशी प्रदेश,इलाम,1,,,,
6,बुद्ध लाल मेचे,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,801,पुरुष,55,कोशी प्रदेश,इलाम,1,,,,
7,ज्वाला  नेपाल ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,577,महिला,35,कोशी प्रदेश,इलाम,1,,,,
8,हरि बहादुर गुरुङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,481,पुरुष,45,कोशी प्रदेश,इलाम,1,,,,
9,लिला बहादुर सुनुवार,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),296,पुरुष,58,कोशी प्रदेश,इलाम,1,,,,
10,नारदमणी साङपाङ्ग,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,165,पुरुष,64,कोशी प्रदेश,इलाम,1,,,,
11,तुल्सी केशरी प्रजापति (छुंजु),नेपाल मजदुर किसान पार्टी,मादल,44,महिला,51,कोशी प्रदेश,इलाम,1,,,,
12,राम प्रसाद लिम्बू,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,39,पुरुष,63,कोशी प्रदेश,इलाम,1,,,,
13,डम्बर सिंह लिम्बु,नेपाल जनमुक्ति पार्टी,घर,22,पुरुष,68,कोशी प्रदेश,इलाम,1,,,,
