Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सुहाङ नेम्बाङ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,22426,पुरुष,36,Elected,कोशी प्रदेश,इलाम,2,,,,
2,भेषराज आचार्य,नेपाली काँग्रेस,रुख,14650,पुरुष,61,,कोशी प्रदेश,इलाम,2,,,,
3,सुदिप राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,14400,पुरुष,37,,कोशी प्रदेश,इलाम,2,,,,
4,गोकुल बहादुर राई,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,7814,पुरुष,32,,कोशी प्रदेश,इलाम,2,,,,
5,ओम बहादुर गुरुङ्ग,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1172,पुरुष,47,,कोशी प्रदेश,इलाम,2,,,,
6,पवित्रा लिम्बु तुम्वाङफे,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,851,महिला,51,,कोशी प्रदेश,इलाम,2,,,,
7,दिवस राई,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,751,पुरुष,37,,कोशी प्रदेश,इलाम,2,,,,
8,श्याम बहादुर लिम्वु,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,704,पुरुष,39,,कोशी प्रदेश,इलाम,2,,,,
9,गणेश प्रसाद दुलाल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,352,पुरुष,64,,कोशी प्रदेश,इलाम,2,,,,
10,सादर सिं लिङदेन (लिम्बु),संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,254,पुरुष,49,,कोशी प्रदेश,इलाम,2,,,,
11,बल बहादुर आङदेम्बे,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),165,पुरुष,64,,कोशी प्रदेश,इलाम,2,,,,
12,होम प्रसाद खतिवडा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,153,पुरुष,68,,कोशी प्रदेश,इलाम,2,,,,
13,याम वहादुर लिम्बु,नेपाल जनमुक्ति पार्टी,घर,60,पुरुष,49,,कोशी प्रदेश,इलाम,2,,,,
14,डाक प्रसाद गौतम,स्वतन्त्र,मुढा,29,पुरुष,58,,कोशी प्रदेश,इलाम,2,,,,
