Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,पारश मणि गेलाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,30590,पुरुष,40,Elected,कोशी प्रदेश,उदयपुर,1,स्नातकोत्तर,,,त्रि.वि.
2,राजेश कुमार राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,11606,पुरुष,43,,कोशी प्रदेश,उदयपुर,1,+2,,,HSEB
3,बल देव चौधरी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,10021,पुरुष,57,,कोशी प्रदेश,उदयपुर,1,BL,,,TU
4,विदुर वस्नेत,नेपाली काँग्रेस,रुख,9675,पुरुष,69,,कोशी प्रदेश,उदयपुर,1,स्नातक,,,त्रि.वि.
5,दुर्गा कुमार थापा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9206,पुरुष,60,,कोशी प्रदेश,उदयपुर,1,स्नातकोत्तर,,,त्रि.वि.
6,सुभास चन्द्र खड्का,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,941,पुरुष,45,,कोशी प्रदेश,उदयपुर,1,+2,,,"Everest English Boarding School, Galko Pakha, Thamel"
7,गणेश कुमार राई,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),597,पुरुष,53,,कोशी प्रदेश,उदयपुर,1,साधारण लेखपढ,,,
8,अर्जुन तामाङग,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,564,पुरुष,61,,कोशी प्रदेश,उदयपुर,1,मा.व.,,,चुईचुम्मा ओख्रे
9,बद्री विक्रम राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,120,पुरुष,47,,कोशी प्रदेश,उदयपुर,1,SLC,,,चिसापनी मा.वि. खोटाङ्
10,अमृत बहादुर खत्री,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,112,पुरुष,43,,कोशी प्रदेश,उदयपुर,1,SLC,,,श्री अम्बेबर जनता मा.वि. राजावास (खैरेनी)
11,सुरेस राई,संयुक्त नागरिक पार्टी,गितार,101,पुरुष,54,,कोशी प्रदेश,उदयपुर,1,१२ पास,,,पाटन उच्च मा.वि.
12,कुशेश्वर चौधरी,नेपाली जनता दल,सिट्ठी,85,पुरुष,45,,कोशी प्रदेश,उदयपुर,1,SLC,,,Shree Triyuga Ma Vi Gaighat
13,देवराज रोका,स्वतन्त्र,मुढा,83,पुरुष,53,,कोशी प्रदेश,उदयपुर,1,पि.एच.डी.,,,इन्टरनेशनल युनिभर्सिटी अफ विजिनेश इकाेनोमिक्स
14,मनोज कुमार पौडेल,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,49,पुरुष,44,,कोशी प्रदेश,उदयपुर,1,B.Ed.,,,TU
15,विष्‍णु वहादुर खत्री,नेपाल मजदुर किसान पार्टी,मादल,48,पुरुष,47,,कोशी प्रदेश,उदयपुर,1,एम. ए.,"अध्यापन,
कृषी,
फोटोग्राफी,
डि.डि.आर.टी.",,TU
16,लिल कुमार राई,राष्ट्रिय जनमोर्चा,गिलास,44,पुरुष,47,,कोशी प्रदेश,उदयपुर,1,BBS,,,TU
17,प्रशान्त कुमार राई,नागरिक सर्वोच्चता पार्टी नेपाल(एकल चुनाव चिन्ह),जगर भएको सिंह,44,पुरुष,59,,कोशी प्रदेश,उदयपुर,1,BA,,,TU
18,गोकर्ण राई,नेपाल जनमुक्ति पार्टी,घर,30,पुरुष,63,,कोशी प्रदेश,उदयपुर,1,दश पास,,,महेन्द्रदय मा‍.वि. खोटाङ्ग
