Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सुर्य बहादुर  तामाङ्ग,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,14802,पुरुष,41,कोशी प्रदेश,उदयपुर,2,,,,
2,अम्वर बहादुर रायामाझी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7648,पुरुष,56,कोशी प्रदेश,उदयपुर,2,,,,
3,राम कुमार राई,नेपाली काँग्रेस,रुख,7290,पुरुष,53,कोशी प्रदेश,उदयपुर,2,,,,
4,सुरेश कुमार राई,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,5197,पुरुष,50,कोशी प्रदेश,उदयपुर,2,,,,
5,वलराज राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,4139,पुरुष,41,कोशी प्रदेश,उदयपुर,2,,,,
6,अरुण राई,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,607,पुरुष,26,कोशी प्रदेश,उदयपुर,2,,,,
7,भाष्कर राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,383,पुरुष,41,कोशी प्रदेश,उदयपुर,2,,,,
8,विष्णु बहादुर खडका,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,220,पुरुष,66,कोशी प्रदेश,उदयपुर,2,,,,
9,दुर्गा बहादुर तामाङ्ग,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,152,पुरुष,33,कोशी प्रदेश,उदयपुर,2,,,,
10,केशव बहादुर मगर,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),103,पुरुष,53,कोशी प्रदेश,उदयपुर,2,,,,
11,मेजर कुमार राई,स्वतन्त्र,भँगेरा,90,पुरुष,43,कोशी प्रदेश,उदयपुर,2,,,,
12,बम बहादुर मगर,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,85,पुरुष,38,कोशी प्रदेश,उदयपुर,2,,,,
13,पुर्ण बहादुर बुढाथोकी,नेपाल मजदुर किसान पार्टी,मादल,40,पुरुष,41,कोशी प्रदेश,उदयपुर,2,,,,
