Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,बिश्‍व राज पोखरेल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,13953,पुरुष,59,Elected,कोशी प्रदेश,ओखलढुंगा,1,एम. ए.,"क) २९ वर्ष नेपाल प्रहरी सेवा
ख) ५ वर्ष न्याय सेवा
ग) २ वर्ष प्रशासन सेवा",,त्रिभुवन विश्वविद्यालय
2,कुमार लुईटेल,नेपाली काँग्रेस,रुख,13948,पुरुष,52,,कोशी प्रदेश,ओखलढुंगा,1,स्नातकोत्तर,,,त्रिभुवन विश्वविद्यालय
3,अम्विर बाबु गुरुङ्ग,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,11296,पुरुष,60,,कोशी प्रदेश,ओखलढुंगा,1,एस.एल.सी.,"क) प्रदेश सभा सदस्य, भौतिक पूर्वाधार मन्त्री",,
4,अस्मिता थापा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10720,महिला,30,,कोशी प्रदेश,ओखलढुंगा,1,स्नातक,"क) समाजसेवा
ख) स्थानिय तह उपाध्यक्ष (लिखु गाउँपालिका)
ग) ने.क.पा. एमाले केन्द्रिय सदस्य
घ) अनेरास्ववियु सचिवालय सदस्य",समाजसेवाको भावनाले अभिप्रेरित भई अनेरास्ववियुमा संगठित भई लिखु गाउँपालिकाको उपाध्यक्षको जिम्मेवारी पुरा गरी राष्ट्रको विकास र ओखलढुंगा जिल्लाको समग्र विकासको लागि युवा महिलाहरुको प्रतिनिधित्व गर्दै नेकपा (एमाले) बाट सुर्य ध्वजावाहक उम्मेदवार ।,त्रिभुवन विश्वविद्यालय
5,उद्धव कुमार राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,3858,पुरुष,41,,कोशी प्रदेश,ओखलढुंगा,1,ज्योतिषशास्त्र विद्यावारिधी,"क) सामाजिक कार्य
ख) ज्योतिष विद्या सम्बन्धी कार्यहरु",,Vishwo Jyotish Vidyapith Kolkata
6,किशोरी कार्की,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,965,महिला,26,,कोशी प्रदेश,ओखलढुंगा,1,स्नातक,"क) पत्रकारिता, उद्घोषक, समाज सेवी
ख) राजनिती गरेको
ग) कानून सम्बन्धी काम गरेको",,ब्राइट भिजन ल क्याम्पस
7,वजेन्द्र राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,223,पुरुष,45,,कोशी प्रदेश,ओखलढुंगा,1,एस. एल. सी.,"क) राजनैतिक
ख) शैक्षिक
ग) आर्थिक
घ) सामाजिक","नेपाली आम जनताहरुलाई आत्म अधिकार सुरक्षित गरी दिने, भेदभाव, अन्त्य गरि दिने । भाइ मातृत्वको उच्च मुल्यांकन गरि दिने र सबै मानिसहरु एकै हो भनि दिगो विकास शान्तिको स्थायित्वमा विशेष जोडका साथ देख निर्माण र वेरोजगारको मुक्ति दिलाउने ।",श्री भगवती मा.वि. मानेभन्ज्याङ
8,डिक प्रसाद बास्तोला,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,178,पुरुष,53,,कोशी प्रदेश,ओखलढुंगा,1,आइ. ए.,सामाजिक क्षेत्र,,रुम्जाटार उ.मा.वि.
9,पिंकी राई (बेगु राम राई),समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,100,अन्य,32,,कोशी प्रदेश,ओखलढुंगा,1,एस.एल.सी.,,,"श्री मालिका माध्यमिक विद्यालय, खोटाङ"
10,नेत्र बहादुर नेम्वाङ,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),92,पुरुष,48,,कोशी प्रदेश,ओखलढुंगा,1,१०+२,"क) राजनिती
ख) व्यापार व्यवसाय
ग) खेलकुद
घ) पत्रकारिता",नेपाली नागरिकले आत्म निर्भर भई अघि बढ्ने । भ्रष्टाचार मुक्त राष्ट्र हुनेमा विशेष जोड दिने । विकास निर्माण कार्य प्रभावकारी होस। कृषिमा लगानी भै कृषकको मनोबल उच्च होस भन्ने चाहना ।,पशुपति कलेज चावहिल काठमाण्डौ
