Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,आरेन राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,16612,पुरुष,29,कोशी प्रदेश,खोटाङ,1,+2,विगत  निकै लामो समय देखि राजनीतिक समाजिक क्षेत्रमा काम गर्दै आएको । समाज देखिएको विभिन्न मुद्दाहरुको लागि काम गर्दै आएको । ,,कितिनी कलेज ललितपुर
2,देव विक्रम राई,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,12714,पुरुष,56,कोशी प्रदेश,खोटाङ,1,एम‍.ए. (स्नातकोत्तर),,,त्रिभुवन विश्व विद्यालय
3,वीर काजी राई,नेपाली काँग्रेस,रुख,11957,पुरुष,51,कोशी प्रदेश,खोटाङ,1,,,,
4,हरि रोका,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9443,पुरुष,67,कोशी प्रदेश,खोटाङ,1,विधावारिधि,"जिल्ला इन्चार्ज जिल्ला सचिव केन्द्रिय समिती
स.सचिव सहकारी विकास बोर्ड
प्रतिनिधि सभा सदस्य अन्तरिम प्रतिनिधि 2063
संविधान सभा संस्करण लेखक",मुलुको आर्थिक सामाजिक रुपान्तरणको आवश्यकता लाई सबैले संवोधन गर्ने आवश्यक छ।,जवाराहाल नेहरु विश्वाविधालय नयाँ दिल्ली
5,रुद्र गिरी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,5704,पुरुष,54,कोशी प्रदेश,खोटाङ,1,प्रमाण पत्र तह,"नेपाली नेत्रज्योति संघ खोटाङ पूर्वसभापति
खोटाङ उधोग वाणिज्य संघ पूर्व अध्यक्ष
होटल हलेसी भिलेज संचालक",,दिक्तेल बहुमुखि क्याम्पस
6,मिरेश राई,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,947,पुरुष,25,कोशी प्रदेश,खोटाङ,1,बि.एड,,,महेन्द्र रत्न क्याम्पस ताहचल
7,दिपक तामाङ्ग,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,477,पुरुष,43,कोशी प्रदेश,खोटाङ,1,,नेपाली सेनामा १६ वर्ष १३ दिन  सेवा गरेको,सुशासन कायम गर्न,
8,राकेश राई,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),337,पुरुष,60,कोशी प्रदेश,खोटाङ,1,एस.एल.सी,,,चम्मावति मा.वि बईपा
9,चन्द्र बहादुर बुढाथोकी,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,182,पुरुष,47,कोशी प्रदेश,खोटाङ,1,स्नातक तह,,,त्रि.वि.वि(भोजपुर बहुमुखी क्याम्पस भोजपुर)
10,सुनिल चाम्लिङ,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,111,पुरुष,40,कोशी प्रदेश,खोटाङ,1,एस.एल.सी,,,श्री मा.वि. मझुवा बास्बोटे
11,तिलक चन्द्र राई,स्वतन्त्र,कैंची,43,पुरुष,42,कोशी प्रदेश,खोटाङ,1,एस.एल.सी,,,
12,प्रयाग राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,32,पुरुष,35,कोशी प्रदेश,खोटाङ,1,माध्यमिक तह,,,श्री सबित्रा माध्यमिक विधालय
13,राज कुमार राई,स्वतन्त्र,मुढा,27,पुरुष,63,कोशी प्रदेश,खोटाङ,1,पि.एच.डि.,शिक्षण प्राध्यापन ३० वर्ष भन्दा माथी,"अध्ययन अनुसन्धान तथा लेखन कार्यमा रुची
समाज सेवा प्रति ",The University of Tenessee Knoxville USA
14,ध्यान प्रसाद ढकाल,नेपाल मजदुर किसान पार्टी,मादल,26,पुरुष,53,कोशी प्रदेश,खोटाङ,1,एस.एल.सि.,,देश जनताको सेवा गर्ने,सरस्वती मा.वि. मात्तिम
15,केशर मान चाम्लिङ,मितेरी पार्टी नेपाल,घोडा,26,पुरुष,47,कोशी प्रदेश,खोटाङ,1,एस.एल.सि.,,,
