Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,निशा डाँगी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,45680,महिला,29,कोशी प्रदेश,झापा,1,स्नातकोत्तर,"पूर्व पत्रकार
पूर्व प्रतिनिधि सभा संसद",म देश बनाउँछु।,TU
2,केशव राज पाण्डे,नेपाली काँग्रेस,रुख,10550,पुरुष,54,कोशी प्रदेश,झापा,1,स्नातक,"पार्टीमा (ने.का) विभिन्‍न तहमा बसी काम गरेको।
विभिन्‍न संघ संस्थाको नेतृत्व गरेको।",,TU
3,केवलराम राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,10004,पुरुष,48,कोशी प्रदेश,झापा,1,slc,"समाजसेवी
कृषि बंगुर पालन 10 बर्षे अनुभव
विभिन्न संस्थामा अध्‍यक्ष भई काम गरेको",2007 सालको जनक्रान्तीमा बाजे तिर्थ बहादुर राई मुक्ति सेनाको सिपाही भई काम गरेको 2046 सालको प्रजातान्त्रिक आन्दोल‍नमा पिताजी बलविर राई पन्चायतको विरुद्ध आन्दोलनमा भूमिगत भई निर्वासन पर्नु भएको र म स्वयं 2062/63 को जन आन्दोलनमा घाइते भएको हुँ। प्राजातन्त्र हुँदै संघीय लोकातान्त्रिक गणतन्त्र प्राप्तीमा मेरो 3 पुस्ते परिवारले योगदान गरेको अवगत गराउँदछु।,ज्ञानोदय शिक्षा निकेदन धुलाबारी झापा
4,रामचन्द्र उप्रेती,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7659,पुरुष,67,कोशी प्रदेश,झापा,1,कक्षा 12,अध्‍यक्ष नेपाल बहुउद्देश्‍यीय सहकारी संस्था लि. झापा,,काँकरभिट्टा मा.वि. झापा
5,हेमराज कार्की,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1612,पुरुष,60,कोशी प्रदेश,झापा,1,स्नातकोत्तर,"प्राध्‍यापक त्रि.वि
परराष्ट्र ममिला अध्‍ययन प्रतिष्ठान, उपनिर्देशक (2072-73)",,TU
6,सन्तोष तामाङ्ग,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,971,पुरुष,42,कोशी प्रदेश,झापा,1,स्नातक,"स्वास्थ्‍य कर्मी, औषधी व्यवसायी",,"मेची बहुमुखी क्याम्पस, भद्रपुर झापा"
7,अशेष घिमिरे,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,922,पुरुष,40,कोशी प्रदेश,झापा,1,स्नातकोत्तर,"संगठन
इन्जिनियरिङ",,TU
8,नरेश कुमार लावती,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,485,पुरुष,46,कोशी प्रदेश,झापा,1,SLC ,"सामाजिक क्रियाकलापमा लामो समय काम गरेको।
खेलकुद विभाग तर्फ धेरै योगदान",समाजलाई यसको विविधतालाई साच्‍चै नै साझा फुलबारी बनाउने संकल्प सहित।,श्री जन विकास मा.वि. विराटनगर मोरङ
9,ओलीन राजवंशी,नेपाल सद्भावना पार्टी,पञ्जा छाप,109,पुरुष,60,कोशी प्रदेश,झापा,1,,,,
10,मान बहादुर साँवा(लिम्बु),संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,99,पुरुष,53,कोशी प्रदेश,झापा,1,कक्षा 10 पास,"नवज्योति वन उपभोक्ता समुह शान्तिनगर 4-2 अध्यक्ष 
गणेश मा.वि.बुद्धशान्ति-4  व्यवस्थापन समिति अध्यक्ष 
बर्ने स्किम खानेपानी बुद्धशान्ति -4 सल्लाहकार",,
11,दुर्गा प्रसाद साँवा लिम्वु,स्वतन्त्र,क्याप,84,पुरुष,40,कोशी प्रदेश,झापा,1,+ 2,...,,श्री सरस्वती मा.वि. हाङपाङ ताप्लेजुङ
12,रमा मेचे,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,43,महिला,57,कोशी प्रदेश,झापा,1,साधारण,,,श्री शहिद दशरथचन्द्र मा.वि. चारआली झँपा
13,गणेश कुमार खरेल,स्वतन्त्र,क्यामरा,33,पुरुष,48,कोशी प्रदेश,झापा,1,SLC पास,"देवकोटा पार्क व्यवस्थापन समिति अध्‍यक्ष - 6 बर्ष
श्री सुरेन्द्रगरन/घैलाडुब्‍बा मन्दिर संरक्षण समिति अध्‍यक्ष - 2 बर्ष
मेचीनगर -8 मेलमिलापकर्ता
पूर्व विद्यार्थी समाज काँकरभिट्टा मा.वि. सचिव- वर्तमान",,काँकरभिट्टा मा.वि.
14,हिरण्य प्रसाद भट्टराई,नेपाल मजदुर किसान पार्टी,मादल,23,पुरुष,83,कोशी प्रदेश,झापा,1,SLC (पूर्व मध्‍यमा),"कृषि,
प्राथमिक विद्यालयमा संस्थापक अध्‍यक्ष भई काम गरेको। ",बैदेशिक हस्तक्षेप विरुद्ध संघर्स गर्दै सर्वभौम सत्ताको रक्षाको लागि निरन्तर संघर्स गर्दै देश भ्रष्टाचार मुक्त गरी सुशासन कायम गर्ने उदेश्‍यले म उमेद्वार बनी निर्वाचित हुन चाहेको हो।,"नेपाली संस्कृत विद्यालय बनारस, भारत"
15,खान्द्रु करुवा,नेपाल जनमुक्ति पार्टी,घर,17,पुरुष,61,कोशी प्रदेश,झापा,1,साधारण,मजदुर नेतृत्‍व,,
