Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,प्रकाश पाठक,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,38674,पुरुष,37,कोशी प्रदेश,झापा,3,स्‍नात्तकोतर,विभिन्न संचार माध्यममा विभिन्न भुमिकामा १४ वर्ष काम गरेको।,छैन,TU
2,राजेन्द्र प्रसाद लिङ्देन,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,17294,पुरुष,60,कोशी प्रदेश,झापा,3,स्‍नातक,,,TU
3,राजेन्द्र कुमार घिमिरे,नेपाली काँग्रेस,रुख,8199,पुरुष,64,कोशी प्रदेश,झापा,3,डिप्लोमा,,,TU
4,हरी बहादुर राजवंशी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7492,पुरुष,66,कोशी प्रदेश,झापा,3,प्रविणता प्रमाण पत्र तह,"३७ वर्षको शिक्षण पेशा अनुभव
विभिन्न सामाजिक संस्थाको नेतृत्वको अनुभव
२०७० सालको संविधान सभा सदस्य",,
5,दिपक तिम्सिना,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,7339,पुरुष,48,कोशी प्रदेश,झापा,3,BA,,,TU
6,डिल्लीराम घिमिरे,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1450,पुरुष,45,कोशी प्रदेश,झापा,3,आइ. ए,,,TU
7,अभय राजवंशी,स्वतन्त्र,आँप,531,पुरुष,44,कोशी प्रदेश,झापा,3,आई एड,,,PU
8,श्यामकृष्ण पाठक,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,388,पुरुष,50,कोशी प्रदेश,झापा,3,स्‍नातक,,नेपालको संविधान २०७२ को परिधि भित्र रहेर जन आकंशा अनुरुप जनताको हितको पक्षपोषण गर्ने जनताका पिरमर्का सुन्ने देशलाई समृद्ध बनाउन प्रयत्‍नशिल रहने।,TU
9,याम कुमार श्रेष्ठ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,380,पुरुष,43,कोशी प्रदेश,झापा,3,SLC,,,
10,हरसलाल राजवंशी,जनमत पार्टी,लाउड स्पिकर,354,पुरुष,71,कोशी प्रदेश,झापा,3,,,,
11,विनिता कुमारी राजवंशी,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),126,महिला,45,कोशी प्रदेश,झापा,3,‌+2,"शिक्षक तालिम प्राप्‍त/ मेची टेक्निकल ट्रेडिङ एकेडेमी बिर्तामोड झापा
अ.न.मि. तालिम प्राप्‍त CMA CTEVT Nepal","सामाजिक न्याय, समानता, जन सहभागितामुलक लोकतन्त्र स्वसाशन, सुशासन, समृद्धि नवप्रवर्तनमुखी निर्माण",
12,सन्तोष कटुवाल,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,76,पुरुष,39,कोशी प्रदेश,झापा,3,आइ ए,राजनैतिक सामाजिक संघ संस्था,म नेपालको ने क पा मओवादी २०५८ साल देखि हाल ने क पा माओवादी उमेदवार दिउजेल सम्म हाल पार्टी के प्र नि सदस्य,
13,मानप्रकाश संग्रौला,स्वतन्त्र,सारङ्‌गी,74,पुरुष,44,कोशी प्रदेश,झापा,3,स्‍नातक तह,,,TU
14,कर्ण लाल राजवंशि,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,48,पुरुष,39,कोशी प्रदेश,झापा,3,SLC,,,
15,जयेन मगर,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,38,पुरुष,38,कोशी प्रदेश,झापा,3,+2,,,HSEB
16,चन्द्रकला सावा,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,33,महिला,44,कोशी प्रदेश,झापा,3,साधारण,,,
17,धर्म लक्ष्मी दुवाल (लघु),नेपाल मजदुर किसान पार्टी,मादल,10,महिला,57,कोशी प्रदेश,झापा,3,,जन प्रतिनिधी भई ५ वर्ष कार्य गरेको,वैदेशिक हस्तक्षेपको विरोध गर्दै सार्वभौमिकताको रक्षा गर्न निरन्तर संघर्ष गर्ने र भ्रष्ट्रचार मुक्त समाज निर्माण गरी सुशासन कायम गर्ने निर्वाचित हुन चाहेको।,
