Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,शम्भु प्रसाद ढकाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,43631,पुरुष,50,Elected,कोशी प्रदेश,झापा,4,एम ए राजनीति शास्त्र,,,
2,लाल प्रसाद साँवा लिम्बू,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,11986,पुरुष,58,,कोशी प्रदेश,झापा,4,एम ए,पूर्व शिक्षक र प्रतिनिधि सभा २ कार्यकाल,,त्रि वि
3,देउ कुमार थेवे,नेपाली काँग्रेस,रुख,9434,पुरुष,63,,कोशी प्रदेश,झापा,4,एस एल सि,"२ कार्यकाल झापा गापा को अध्यक्ष
हेटौडा सिमेन्ट उद्योगको सदस्य ए कार्यकाल
नेपाली काग्रेस जिल्ला सभापति",,
4,अमृता देवि राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,7161,महिला,61,,कोशी प्रदेश,झापा,4,एस एल सी (अन्डर),,,
5,भक्ति प्रसाद सिटौला,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2080,पुरुष,64,,कोशी प्रदेश,झापा,4,स्नातक,,,त्रि वि वि
6,पुरुषोतम चुडाल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1362,पुरुष,42,,कोशी प्रदेश,झापा,4,स्नातक,सामाजिक कार्य र पार्टी संचालन,,त्रिवि
7,सन्तोष तामाङ्ग,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,432,पुरुष,32,,कोशी प्रदेश,झापा,4,इन्जिनियर,सिनियर इन्जिनियर इन रोमन कन्सट्रक्सन,,एसिमि इन्जिनियरिङ कलेज
8,लोथ्रो हेमरम,जनमत पार्टी,लाउड स्पिकर,260,पुरुष,61,,कोशी प्रदेश,झापा,4,सामान्य लेखपढ,,,
9,किरण लिम्वु  लिङदेन,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,141,पुरुष,49,,कोशी प्रदेश,झापा,4,एस एल सी,"शान्ति समाज सेवा क्लबको आजिवन सदस्य
जातिय संघ संस्थामा आवद्ध
यहि पार्टीको स्थापनाकाल देखि निरन्तर हाल",,राष्ट्रिय रमणिय मा वि दुधे झापा
10,तारा बहादुर थापा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,125,पुरुष,37,,कोशी प्रदेश,झापा,4,एस एल सी पास,"२० वर्षदेखि राजनीतिमा क्रियाशिल
समाज सेवामा आवद्ध
कृषि व्यवसायमा क्रियाशिल",,
11,दिलिप धिमाल,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,120,पुरुष,41,,कोशी प्रदेश,झापा,4,प्रविणता प्रमाण पत्र तह,पत्रकारिता,,
12,त्रीनारायण राजवंशी,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),98,पुरुष,64,,कोशी प्रदेश,झापा,4,एस एल सी,,,आदर्श मा वि घैलाडुब्बा
13,टेक बहादुर अधिकारी,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,74,पुरुष,52,,कोशी प्रदेश,झापा,4,साधारण,,,
14,साजन माझी,स्वतन्त्र,हेल्मेट,57,पुरुष,28,,कोशी प्रदेश,झापा,4,प्लस टु,,,
15,पलटन ताजपुरिया,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,54,पुरुष,54,,कोशी प्रदेश,झापा,4,साधारण,,,
16,तुल्सी लक्ष्मी दुमरु (बाटी),नेपाल मजदुर किसान पार्टी,मादल,39,महिला,43,,कोशी प्रदेश,झापा,4,एम एड,दश वर्षदेखि शिक्षण सेवामा,,
