Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,क्षितिज थेबे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,13962,पुरुष,38,कोशी प्रदेश,ताप्लेजुङ,1,स्नातक,0,0,TU
2,गजेन्द्र प्रसाद तुम्याङ लिम्बु,नेपाली काँग्रेस,रुख,11711,पुरुष,46,कोशी प्रदेश,ताप्लेजुङ,1,स्नातक,0,0,पाथीभरा वहुमुखी क्याम्पस
3,खेल प्रसाद बुडाक्षेत्री,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6775,पुरुष,50,कोशी प्रदेश,ताप्लेजुङ,1,I.s.c,0,0,TU
4,सन्तोष राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,5209,पुरुष,49,कोशी प्रदेश,ताप्लेजुङ,1,कक्षा ८,0,0,गणेश मा.वि. खेवाङ
5,बिरेन्द्र श्रेष्ठ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,4155,पुरुष,55,कोशी प्रदेश,ताप्लेजुङ,1,ईन्जिनेरिङ ग्राजुएड,0,0,युनिभर सिटी आर्मानिय
6,किर्ती मान मादेन,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,232,पुरुष,65,कोशी प्रदेश,ताप्लेजुङ,1,SLC,0,0,भानु जन मा.वि.
7,"मुकसाम लाबुङ, लिम्बु",संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,221,पुरुष,44,कोशी प्रदेश,ताप्लेजुङ,1,SEE,-,-,सरस्वती मा.वि. 
8,ईन्द्र प्रसाद थापा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,185,पुरुष,63,कोशी प्रदेश,ताप्लेजुङ,1,आई.ए.,0,0,पाथीभरा वहुमुखी क्याम्पस
9,नरपती पौडेल,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,155,पुरुष,61,कोशी प्रदेश,ताप्लेजुङ,1,SLC,0,0,जनता मावि हाङदेवा
10,अरुन सुब्बा (लेछर्वो),जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),141,पुरुष,48,कोशी प्रदेश,ताप्लेजुङ,1,एस.एल.सी,0,0,सिवा माद्यमिक विद्यालय
11,सूर्य गुरुङ,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,55,पुरुष,66,कोशी प्रदेश,ताप्लेजुङ,1,एम.ए.,0,0,BHM
12,सन्त बहादुर लिम्बु,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,50,पुरुष,57,कोशी प्रदेश,ताप्लेजुङ,1,कक्षा १०,-,-,-
13,इन्द्र कुमार लिम्बू,नेपाल जनमुक्ति पार्टी,घर,46,पुरुष,48,कोशी प्रदेश,ताप्लेजुङ,1,साक्षर,0,0,0
