Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सन्तोष सुब्वा,नेपाली काँग्रेस,रुख,11561,पुरुष,48,कोशी प्रदेश,तेह्रथुम,1,एल.एल.बि,,,महेन्द्र मोरङ विराटनगर
2,भानु भक्त ढकाल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10682,पुरुष,64,कोशी प्रदेश,तेह्रथुम,1,बि.एड. एम.ए समाज शास्त्र,,,त्रि.वि.वि.
3,सुरेन्द्र कार्की,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,7737,पुरुष,28,कोशी प्रदेश,तेह्रथुम,1,,,,
4,सुविन्द्र  कुमार  लिम्वु ,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,5200,पुरुष,46,कोशी प्रदेश,तेह्रथुम,1,स्नातक तह,,,
5,रनध्वज लिम्वु,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,919,पुरुष,67,कोशी प्रदेश,तेह्रथुम,1,,,,
6,उषा लक्ष्‍मी तुम्वाहाङफे,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,283,महिला,26,कोशी प्रदेश,तेह्रथुम,1,+2 pass,,,
7,शंकर मान लिम्बु,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,136,पुरुष,46,कोशी प्रदेश,तेह्रथुम,1,,,,
8,होमभक्त लिम्बु (कुरुम्वाङ),राष्ट्रिय प्रजातन्त्र पार्टी,हलो,125,पुरुष,65,कोशी प्रदेश,तेह्रथुम,1,,,,
9,मन  कुमार  लिम्वू,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,71,पुरुष,30,कोशी प्रदेश,तेह्रथुम,1,,,,
10,गंगा वहादुर चोङवाङ् लिम्बु,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,41,पुरुष,39,कोशी प्रदेश,तेह्रथुम,1,एस.एल.सि,,,श्री ईसिबू मा.वि
11,सागर नाथ रेग्मी,नेपाल जनमुक्ति पार्टी,घर,23,पुरुष,67,कोशी प्रदेश,तेह्रथुम,1,,,,
12,टंक प्रसाद भट्टराई,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,17,पुरुष,63,कोशी प्रदेश,तेह्रथुम,1,,,,
