Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,राजेन्द्र कुमार राई,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,18132,पुरुष,59,कोशी प्रदेश,धनकुटा,1,आई.ए.,"२०७४ र २०७९ मा सम्पन्न प्रतिनिधि सभा सदस्य निर्वाचन विजयी
दुई पटक संघीय मन्त्रीको जिम्मेवारी 
२०४९ मा जि.वि.स. सदस्य र २०५४ मा जि.वि.स. उपसभापति",,त्रि.वि.
2,दिनेश राई,नेपाली काँग्रेस,रुख,14257,पुरुष,45,कोशी प्रदेश,धनकुटा,1,आई.एड.,"किरात आठपहरिया समाजको संयोजक 
जनजाती युवा मंहासघ धनकुटाको जिल्ला अध्यक्ष
सहकारी संस्थाको अध्यक्ष
",नेपाली कांग्रेसको जिल्ला सभापति,त्रि.वि.
3,सान बहादुर​ राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,11932,पुरुष,46,कोशी प्रदेश,धनकुटा,1,एस.एल.सि.,,,एस.एल.सि. बोर्ड
4,दिनेश भण्डारी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,9944,पुरुष,37,कोशी प्रदेश,धनकुटा,1,स्नातक,,,त्रि.वि.
5,धर्म राज पौडेल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1665,पुरुष,65,कोशी प्रदेश,धनकुटा,1,एम.ए,जि.वि.स.धनकुटाको पूर्वसभापति २०४९-२०५४,,त्रि.वि.
6,लाक्‍पा तामाङ्ग,स्वतन्त्र,जीप,1181,पुरुष,36,कोशी प्रदेश,धनकुटा,1,स्नातकोत्तर,,,त्रि.वि.
7,बिभत्सु थापा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,703,पुरुष,30,कोशी प्रदेश,धनकुटा,1,वि.एड. डब्लु,U-19 राष्ट्रिय क्रिकेट,,त्रि.वि.
8,आइत राज लिम्‍वु,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,432,पुरुष,50,कोशी प्रदेश,धनकुटा,1,आई.एड,,,त्रि.वि.
9,निशान राई,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),238,पुरुष,35,कोशी प्रदेश,धनकुटा,1,+२,,,राष्ट्रिय परिक्षा बोर्ड
10,शालिक राम राई,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,221,पुरुष,25,कोशी प्रदेश,धनकुटा,1,+2,,,राष्ट्रिय परिक्षा बोर्ड
11,रविन कुमार राई,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,132,पुरुष,37,कोशी प्रदेश,धनकुटा,1,एल.एल.सी,,,एल.एल.सी बोर्ड
12,जीतेन्द्र राई,स्वतन्त्र,आँप,91,पुरुष,54,कोशी प्रदेश,धनकुटा,1,एस.एल.सी,,,एस.एल.सी बोर्ड
13,सागर राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,82,पुरुष,31,कोशी प्रदेश,धनकुटा,1,व्याचुलर डिग्री,,,
14,बाल कुमार ताम्ली,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,65,पुरुष,37,कोशी प्रदेश,धनकुटा,1,+२,,,राष्ट्रिय परिक्षा बोर्ड
15,मन कुमार योञ्जन,स्वतन्त्र,ढिकी,56,पुरुष,31,कोशी प्रदेश,धनकुटा,1,एस.एल.सि.,,,एस.एल.सि. बोर्ड
16,प्रेम वहादुर थापा,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,55,पुरुष,34,कोशी प्रदेश,धनकुटा,1,साधरण लेखपढ,,,
17,उत्तम साखकर्मी,नेपाल मजदुर किसान पार्टी,मादल,22,पुरुष,40,कोशी प्रदेश,धनकुटा,1,स्नातक,,,त्रि.वि.
