Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,नरेन्द्र कुमार केरुङ,नेपाली काँग्रेस,रुख,17233,पुरुष,53,Elected,कोशी प्रदेश,पाँचथर,1,स्नात्तकोतर व्यवस्थापन,नेपाली काग्रेस केन्द्रिय सदस्य २०८२ नेपाली कांग्रेस पाँचथर सभापति २०६७-७८ प्रदेश सभा सदस्य उमेद्वार पाँचथर २०७४ संविधान सभा सदस्य उमेद्वार २०७० प्रजान्त्र वादी प्रध्यापक संघको केन्द्रीय सदस्य।,देशमा सुसासन कायम निति निर्माण कार्यमा सक्रिय सहभागीता जनताको दुःख सुखमा सधै तप्परताका साथ सक्रिय रहि रहने सामाजिक आर्थिक विकासमा सथै लागि रहेने।,त्रि.वी क्रितिपुर
2,हस्त राज शेर्मा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,14734,पुरुष,40,,कोशी प्रदेश,पाँचथर,1,SLC,गायन तथा बाध्यवादन,म २२ ‌वर्ष भयो विभिन्न स्थापित राष्टिय गायक तथा कलाकार हु र विभिन सामाजिक कार्यामा सहयोगी भुमिकामा रहदै आएको छु।,श्री सिद्ध सरस्वती मा.वि
3,अइन्द्र सुन्दर नेम्वाङ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,14534,पुरुष,48,,कोशी प्रदेश,पाँचथर,1,I.A,राजनिति कृयाशिल २५ वर्ष बाट,स्वतन्त्र निष्पक्ष र भैयरहित निर्वाचनको अपेक्षा राख्दछु म आवद दल र मेरो व्यक्तिगत भावना एवम् कृयाकलाप समेत निष्पक्ष र भयरहित निर्वाचनका लागि प्रतिवद्धता जायर गर्दछु।,त्रि.वि
4,हर्क बहादुर नेम्बाङ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,11443,पुरुष,45,,कोशी प्रदेश,पाँचथर,1,आ.ए,२०५७ साले देखि कम्युनिष्ट आनदोलनमा लागि विभागिय क्षेत्रीय उत्पीडनका बारेमा ग्रामीण बस्तीहरुमा प्रत्यक्ष अनुभव गरेको।,सामाजिक न्याय सुसासन र संवृधिका लागि अधित्म प्रयत्न गर्ने।,महेन्द्र रत्न क्याम्पस इलाम
5,महेन्द्र विक्रम थाम्सुहाङ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,4197,पुरुष,57,,कोशी प्रदेश,पाँचथर,1,आ.ए,समाजिक अभियन्ता राजनितिक निखारता खेलकुद विभिन्न संघ सस्था,,त्रि.वि.वि.
6,टेकबहादुर सुब्बा,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,2825,पुरुष,42,,कोशी प्रदेश,पाँचथर,1,+12,राजनिति समाजसेवा संघ सस्था,,
7,तेज कुमार कुरुम्वाङ्ग,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,925,पुरुष,62,,कोशी प्रदेश,पाँचथर,1,आई .कम,,,पाँचथर क्याम्पस
8,मचिन्द्र प्रसाद बेघा,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,247,पुरुष,69,,कोशी प्रदेश,पाँचथर,1,साक्षर,,,
9,भानु भक्त फियाक,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,180,पुरुष,50,,कोशी प्रदेश,पाँचथर,1,बि.ए,समाज सेवा,,दमक बहुमुखी क्याम्पस
10,राम कुमार तुम्रोक,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,162,पुरुष,47,,कोशी प्रदेश,पाँचथर,1,सामान्य,कृषि,,श्री सिद्ध कालीका मा.वि
11,मित्र लिङदेन,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),143,पुरुष,52,,कोशी प्रदेश,पाँचथर,1,बि.ए,फिल्म लेखन,,पाँचथर बहुमुखी क्याम्पस
12,प्रकाश काफ्ले,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,115,पुरुष,38,,कोशी प्रदेश,पाँचथर,1,12+,,,पृथ्वी उच्च मा.वि
13,विजय नेम्वाङ,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,90,पुरुष,43,,कोशी प्रदेश,पाँचथर,1,साक्षर,श्री तिनचुले जरिबुट्टी सहकारी राजनितिक क्षेत्रमा लामो समयदेखि योगदान,,कृष्ण मा.वि
14,नरेन्द्र प्रसाद कुरुम्‍वाङ,नेपाल जनमुक्ति पार्टी,घर,61,पुरुष,68,,कोशी प्रदेश,पाँचथर,1,SLC,,,
15,लक्षुमान तामाङ,नेपाल मजदुर किसान पार्टी,मादल,32,पुरुष,40,,कोशी प्रदेश,पाँचथर,1,SLC,,,श्री जलसी मा.वि
