Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,ध्रुवराज राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,16663,पुरुष,43,Elected,कोशी प्रदेश,भोजपुर,1,,,,
2,शेरधन राई,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,14750,पुरुष,55,,कोशी प्रदेश,भोजपुर,1,,,,
3,वालकृष्ण थापा,नेपाली काँग्रेस,रुख,8670,पुरुष,73,,कोशी प्रदेश,भोजपुर,1,,,,
4,रमेश प्रसाद ओझा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,6102,पुरुष,51,,कोशी प्रदेश,भोजपुर,1,,,,
5,अजम्बर राई काङमाङ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,5728,पुरुष,58,,कोशी प्रदेश,भोजपुर,1,,,,
6,जितेन्द्र  राई ,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,812,पुरुष,29,,कोशी प्रदेश,भोजपुर,1,,,,
7,गोपाल कुमार राई,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),256,पुरुष,66,,कोशी प्रदेश,भोजपुर,1,,,,
8,चन्द्र प्रसाद राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,246,पुरुष,47,,कोशी प्रदेश,भोजपुर,1,,,,
9,देवान राज राई,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,203,पुरुष,49,,कोशी प्रदेश,भोजपुर,1,,,,
10,जनक नेपाल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,197,पुरुष,42,,कोशी प्रदेश,भोजपुर,1,,,,
11,राजा राम बासी,नेपाल मजदुर किसान पार्टी,मादल,66,पुरुष,47,,कोशी प्रदेश,भोजपुर,1, एस एल सी,,,.
12,युवराज थापा,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,35,पुरुष,32,,कोशी प्रदेश,भोजपुर,1,,,,
