Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,कृष्ण कुमार कार्की,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,40924,पुरुष,40,कोशी प्रदेश,मोरङ,2,,,,
2,दिलीप कुमार अग्रवाल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15624,पुरुष,59,कोशी प्रदेश,मोरङ,2,,,,
3,मिनेन्द्र प्रसाद रिजाल,नेपाली काँग्रेस,रुख,12764,पुरुष,68,कोशी प्रदेश,मोरङ,2,,,,
4,अबुहो रैरह,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1822,पुरुष,37,कोशी प्रदेश,मोरङ,2,,,,
5,चन्द्र वीर राई,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1366,पुरुष,70,कोशी प्रदेश,मोरङ,2,,,,
6,कन्स राज राजवंशी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,766,पुरुष,41,कोशी प्रदेश,मोरङ,2,,,,
7,घनश्याम चौधरी,जनमत पार्टी,लाउड स्पिकर,310,पुरुष,44,कोशी प्रदेश,मोरङ,2,,,,
8,धन वहादुर सुनुवार,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,277,पुरुष,38,कोशी प्रदेश,मोरङ,2,,,,
9,धन बहादुर लिम्बु,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,270,पुरुष,35,कोशी प्रदेश,मोरङ,2,,,,
10,विनोद कुमार सिंह गनगाई,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,87,पुरुष,53,कोशी प्रदेश,मोरङ,2,,,,
11,मेघेन्द्र कुमार रोक्का,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,82,पुरुष,43,कोशी प्रदेश,मोरङ,2,,,,
12,माधव प्रसाद राजवंशी,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),80,पुरुष,53,कोशी प्रदेश,मोरङ,2,,,,
13,मनोज कुमार राजवंशी,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),74,पुरुष,34,कोशी प्रदेश,मोरङ,2,,,,
14,अनिल कुमार साह,स्वतन्त्र,झोला,56,पुरुष,42,कोशी प्रदेश,मोरङ,2,,,,
15,राजन निरौला,स्वतन्त्र,आँप,48,पुरुष,41,कोशी प्रदेश,मोरङ,2,,,,
16,बुधु रिषिदेव,स्वतन्त्र,कैंची,35,पुरुष,57,कोशी प्रदेश,मोरङ,2,,,,
17,नरेश कुमार साह,स्वतन्त्र,क्यामरा,18,पुरुष,54,कोशी प्रदेश,मोरङ,2,,,,
