Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,आशा झा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,30434,महिला,42,Elected,कोशी प्रदेश,मोरङ,5,स्नातक,नागरिक समाज भै काम गरेको,,"लक्ष्मीवल्लभ नर्सिङ मल्टिपल कलेज, सप्तरी"
2,फुल कुमार लालवानी,नेपाली काँग्रेस,रुख,9415,पुरुष,64,,कोशी प्रदेश,मोरङ,5,स्नातक,"संघसंस्थामा कार्यरत,समाजसेवा",,पटना युनिभरसिटी
3,राज कुमार यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,8747,पुरुष,53,,कोशी प्रदेश,मोरङ,5,एस.एल.सि.,समाजसेवी,,पव्लिक मा.वि.
4,शिव कुमार मंडल (केवट),नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,8614,पुरुष,50,,कोशी प्रदेश,मोरङ,5,प्रविणता प्रमाण पत्र तह,पूर्व मन्त्रि भै काम गरेको,,महेन्द्र मोरङ क्याम्पस
5,मनोज कुमार अग्रवाल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6945,पुरुष,47,,कोशी प्रदेश,मोरङ,5,एस.एल.सि.पास,समाजिक संस्थामा काम गरेको,,पव्लिक मा.वि.
6,योगेन्द्र मण्डल,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),4199,पुरुष,54,,कोशी प्रदेश,मोरङ,5,वि.सए.सि.,समाजसेवी,,त्रिभुवन विश्वविद्दालय
7,कुमोद राय,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,549,पुरुष,45,,कोशी प्रदेश,मोरङ,5,प्रविणता प्रमाणपत्र तह,समाजसेवा,,सरस्वती उ.मा.वि. धनपालथान
8,मोहमद रेजा हुसैन,स्वतन्त्र,ट्रफी,523,पुरुष,51,,कोशी प्रदेश,मोरङ,5,एस.एल.सि. पास,समाजसेवा,,सेन्ट जोसेफ
9,परमेश्वर मुर्मु,जनमत पार्टी,लाउड स्पिकर,364,पुरुष,46,,कोशी प्रदेश,मोरङ,5,प्रविणता प्रमाणपत्र तह,समाजसेवी,,महेन्द्र मोरङ क्याम्पस
10,अमर कुमार यादव,स्वतन्त्र,केराको काइँयो,363,पुरुष,25,,कोशी प्रदेश,मोरङ,5,स्नातक,कानून विद्दार्थी,,पूर्वाञ्चन विश्व विद्दालय
11,गंगा प्रसाद गिरी,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,117,पुरुष,70,,कोशी प्रदेश,मोरङ,5,साधारण लेखपढ,राजनिति,,
12,राजेन्द्र प्रसाद मण्डल केवट,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,82,पुरुष,46,,कोशी प्रदेश,मोरङ,5,एस.एस.सि.पास,भुपु प्रहरी ,,पव्लिक मा.वि.रंगेली
13,राज कुमार राजवंशी,स्वतन्त्र,आँप,47,पुरुष,57,,कोशी प्रदेश,मोरङ,5,प्रविणता प्रमाणपत्र तह,समेजसेवा,,इन्जिनियरिङ क्यामपस धरान
14,मंगल ऋषिदेव,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,34,पुरुष,42,,कोशी प्रदेश,मोरङ,5,एस.एल.सि.पास,"समाजसेवा, राजमिस्त्रि",,लक्ष्मिनिया मा.वि.मोरङ
15,नरेश कुमार लाभ,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),28,पुरुष,43,,कोशी प्रदेश,मोरङ,5,सामान्य लेखपढ,समाजसेवा,,
16,सुजित कुमार साह,स्वतन्त्र,त्रिभुज,28,पुरुष,27,,कोशी प्रदेश,मोरङ,5,स्नातक,शिक्षक,,शैलेजा आचार्य पोलि टेकनिकल
17,गंगा कुमारी राजवंशी,नेपाल मजदुर किसान पार्टी,मादल,22,महिला,25,,कोशी प्रदेश,मोरङ,5,स्नातक,शिक्षण पेशा गरेको,,नेशनस एकेडेमी
18,सकुन्तला श्रेष्‍ठ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,17,महिला,34,,कोशी प्रदेश,मोरङ,5,प्रविणता प्रमाणपत्र ,शिक्षण पेशा,,सरस्वती उ.मा.वि.
19,ममता यादव,स्वतन्त्र,दूरबिन,13,महिला,41,,कोशी प्रदेश,मोरङ,5,एस.एल.सि.,समाजसेवा,,केरोन मा.वि.
20,विकाश श्रेष्‍ठ,स्वतन्त्र,जीप,11,पुरुष,60,,कोशी प्रदेश,मोरङ,5,ऐस.एल.सि.,समाजसेवा,,आदर्श मा.वि.
21,सूर्य नारायण ठाकुर,स्वतन्त्र,भँगेरा,5,पुरुष,45,,कोशी प्रदेश,मोरङ,5,एस.एल.सि.,समाजसेवा,,पव्लिक मा.वि.रंगेली
22,जय नारायण शर्मा,स्वतन्त्र,स्टुल,3,पुरुष,54,,कोशी प्रदेश,मोरङ,5,सामान्य लेखपढ,समाजसेवा,,
