Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रुबिना आचार्य,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,55513,महिला,31,कोशी प्रदेश,मोरङ,6,MBA,,,
2,डा शेखर कोइराला,नेपाली काँग्रेस,रुख,12850,पुरुष,75,कोशी प्रदेश,मोरङ,6,MS/MD स्नातकोत्तर,,,
3,विनोद प्रसाद ढकाल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,8317,पुरुष,57,कोशी प्रदेश,मोरङ,6,स्नातक तह,,,
4,मातृका पौडेल,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,3400,पुरुष,49,कोशी प्रदेश,मोरङ,6,10,,,
5,सविन निरौला,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2092,पुरुष,27,कोशी प्रदेश,मोरङ,6,स्नातक,,,
6,ओपेन्द्र कुमार राय,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1716,पुरुष,48,कोशी प्रदेश,मोरङ,6,SLC,,,
7,सुध राम माझी,जनमत पार्टी,लाउड स्पिकर,420,पुरुष,54,कोशी प्रदेश,मोरङ,6,SLC,,,
8,बसन्त बुढाथोकि,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,243,पुरुष,25,कोशी प्रदेश,मोरङ,6,10+2,,,
9,प्रिती झा,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,200,महिला,46,कोशी प्रदेश,मोरङ,6,10+2,,,
10,राजु मण्डल राजवंशी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,148,पुरुष,54,कोशी प्रदेश,मोरङ,6,,,,
11,कुमार प्रसाद खतिवडा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,126,पुरुष,40,कोशी प्रदेश,मोरङ,6,स्नातक,,,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस विराटनगर
12,बलराम खवास,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),118,पुरुष,50,कोशी प्रदेश,मोरङ,6,SLC,,,
13,बद्री पासवान,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,97,पुरुष,54,कोशी प्रदेश,मोरङ,6,साधारण,,,
14,उत्तम दाहाल,स्वतन्त्र,मसी,79,पुरुष,45,कोशी प्रदेश,मोरङ,6,SLC,,,
15,अनु मगर,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,62,महिला,48,कोशी प्रदेश,मोरङ,6,SLC,,,
16,किरण खडका,स्वतन्त्र,झोला,39,पुरुष,47,कोशी प्रदेश,मोरङ,6,,,,
17,खडा नन्द रिजाल,स्वतन्त्र,मुढा,35,पुरुष,63,कोशी प्रदेश,मोरङ,6,SLC,,,
