Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,अर्जुन कुमार कार्की,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15636,पुरुष,62,कोशी प्रदेश,संखुवासभा,1,बिद्यावारीधि,"संयुक्त राज्य अमेरिका तथा ल्याटिन अमेरिका र क्यारिवियन क्षेत्रका बिभिन्ने देशहरूमा नेपालको राजदुतको रुपमा सेवा गर्दै नेपालको सार्वभौमिकता, राष्ट्रिय हित र अन्तर्राष्ट्रिय सम्बन्ध सुदृढ गर्ने कार्यमा नेपालको तर्फबाट नेतृत्वदायी भूमिकासमेत।",,"university of east anglia, school of development studies, UK"
2,मिङमा शेर्पा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,15000,पुरुष,47,कोशी प्रदेश,संखुवासभा,1,कक्षा ७ उत्तीर्ण,"पर्वतारोहण
पर्यटन व्यवसाय
सामाजिक कार्य
राजनीति",,
3,दिपन कुमार श्रेष्ठ,नेपाली काँग्रेस,रुख,13271,पुरुष,46,कोशी प्रदेश,संखुवासभा,1,एम.ए,"केन्द्रिय सदस्य ने.वि.सं
पूर्व सभापति ने.का, संस
केन्द्रिय सदस्य ने.का.",,त्रिभूवन विश्वविद्यालय
4,उमा कुमारी राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,9857,महिला,43,कोशी प्रदेश,संखुवासभा,1,बि.एड,"जिल्ला उसु प्रशिक्षक संखुवासभा
राष्ट्रिय उसु प्रशिक्षक
समाजसेवी
राष्ट्रिय कोच",,त्रिभुवन विश्वविद्यालय
5,सरिता थापा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2812,महिला,51,कोशी प्रदेश,संखुवासभा,1,एम.एड.,"शिक्षण १७ वर्ष
प्रदेश सांसद ५ वर्ष
प्रदेश सामाजिक विकास समिति सभापति",,पूर्वाञ्चल विश्वविद्यालय
6,घनश्याम वालिङ राई,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,1352,पुरुष,49,कोशी प्रदेश,संखुवासभा,1,BBS,,,त्रिभूवन विश्वविद्यालय
7,पुष्प कोईराला,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,265,पुरुष,54,कोशी प्रदेश,संखुवासभा,1,एम.एड.,"राजनैतिक पार्टिमा 2041 सालदेखि निरन्तर सक्रिय, शिक्षण पेशा पनि गरेको।","समाज परिवर्तन गर्ने अभियानमा 2041 सालदेखि आजसम्म निरन्तर लागिरहेको छु। अग्राधिकार सहितको समाजवादी, संघियता स्थापना गर्ने महान अभियान जारी।",त्रिभूवन विश्वविद्यालय
8,पदम बहादुर तामाङ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,199,पुरुष,58,कोशी प्रदेश,संखुवासभा,1,आई.ए,,,
9,भरत कुमार राई (याक्खा),"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,135,पुरुष,43,कोशी प्रदेश,संखुवासभा,1,स्नातकोत्तर,"याक्खा मतृभाषाको विशेषज्ञ
खानेपानी संस्था पाँच वर्ष
याक्खा मातृसाक्षरता कार्यक्रम 
किरात याक्खा छुम्मा संस्थाको उपमहासचिव",,त्रिभूवन विश्वविद्यालय
10,हेम कुमार गुरुङ्ग,राष्ट्रिय जनमोर्चा,गिलास,107,पुरुष,69,कोशी प्रदेश,संखुवासभा,1,साधारण लेखपढ,समाजसेवा तथा राजनीतिक ज्ञानसमेत,,
11,कृष्ण बहादुर राई,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,89,पुरुष,44,कोशी प्रदेश,संखुवासभा,1,एम. एड,"सामाजिक सेवा
देशको सेवा राष्ट्रिय अन्तर्राष्टिय समन्वय",,पूर्वाञ्चल विश्वविद्यालय
12,देवेन्द्र कुमार (रिल्ली) घले,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,63,पुरुष,59,कोशी प्रदेश,संखुवासभा,1,अन्डर एस.एल.सी.,,"विभेदरहित समाज, समानता, भातृत्व, हामीलाई आफु को हो भनेर चिन्न सक्ने चेतनाको खाँचो छ।",
13,वासुदेब दाहाल,स्वतन्त्र,कैंची,29,पुरुष,56,कोशी प्रदेश,संखुवासभा,1,SLC/CMA,,,
14,केशर सिं राई,नेपाल जनमुक्ति पार्टी,घर,27,पुरुष,70,कोशी प्रदेश,संखुवासभा,1,प्राथमिक तह,"वडा अध्यक्ष
राजनीतिक दल पार्टी सभापति
समाजसेवा",,
15,रन माया राई(चाम्लिङ्ग),संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,24,महिला,53,कोशी प्रदेश,संखुवासभा,1,९ कक्षा,सामाजिक सञ्जाल अभियान्ता समेत,,हेदाङना माध्यमिक विद्यालय
16,राज कुमार लघु,नेपाल मजदुर किसान पार्टी,मादल,22,पुरुष,51,कोशी प्रदेश,संखुवासभा,1,एम.ए. राजनौतिक शास्त्र,,,त्रिभूवन विश्वविद्यालय
