Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,हर्क राज राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,35741,पुरुष,43,कोशी प्रदेश,सुनसरी,1,स्‍नातक,"अङ्गेजी भाषा तथा कम्प्युटरमा तालिक गराएको, प्रशासनिक काम गरेको, यातायात देवा व्यवस्थापन, नगर प्रमुखको पदमा रही जनताको सेवा गरेको।","सामाजिक अनियान र जागरणमा धेरै वर्ष काम गरेको।
श्रम अभियान सञ्‍चालन।",टि.यु.
2,गोमा तामाङ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,27249,महिला,52,कोशी प्रदेश,सुनसरी,1,एस.एस.सी. ,समाजसेवा।,प्रतिनिधिसभा 2079 सुनसरी क्षेत्र नं. १ को उपविजेता,चक्र जनता सहिद गंगा मा.वि. सर्लाही
3,टिका राम लिम्बु,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6463,पुरुष,41,कोशी प्रदेश,सुनसरी,1,स्‍नातकोत्तर,"2060 देखि 2071 सम्म अनेरास्वीयू पदाधिकारी, पार्टी जिल्ला कमिटिमा तीन कार्याकाल, नेपाल रेडक्रश सोसाइटीमा रही सामाजिक काम गरेको।",--,टि.यु.
4,सूर्य बहादुर भट्टराई,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6185,पुरुष,42,कोशी प्रदेश,सुनसरी,1,एस.एस.सी. पास,"दुई पटक वडा अध्यक्षमा निर्वाचित, धरान खानेपानी बोर्डको सदस्य।",--,ज्ञानोदय मा.वि. धरान
5,सुजेन्‍द्र तामाङ,नेपाली काँग्रेस,रुख,3970,पुरुष,49,कोशी प्रदेश,सुनसरी,1,स्‍नातक,"राजनैतिक, सांस्कृतिक, धार्मिक, सामाजिक संस्थाको नेतृत्व, प्रशासनिक।",-,टियू
6,उद्धव श्रेष्‍ठ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1419,पुरुष,66,कोशी प्रदेश,सुनसरी,1,एम.ए.,"पूर्वान्चल क्याम्पस, सुनसरी बहुमुखी क्याम्पस, सुनसरी टेक्निकल क्याम्पस, महेन्द्र बहुमुखी क्याम्पसमा समेत अध्यापन।",-,टि.यु.
7,डम्वर लावती,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,590,पुरुष,38,कोशी प्रदेश,सुनसरी,1,एम.ए./एल.एल.वि.,समाजसेवी/व्यवसायी,-,टि.यु.
8,नगेन्द्र बहादुर लिम्वु,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),202,पुरुष,51,कोशी प्रदेश,सुनसरी,1,स्‍नातक,2074 मा लेटाङ्ग 1 मा वडाध्यक्ष उम्मेदवार।,2074 को प्रदेश सभामा उम्मेदवार।,टि.यु.
9,भुपी राई,राष्ट्रिय साझा पार्टी,ढाका टोपी,191,पुरुष,68,कोशी प्रदेश,सुनसरी,1,उच्च शिक्षा,समाजसेवी,-,भारत इलावाबाद
10,नरेश वि.क.,संयुक्त नागरिक पार्टी,गितार,125,पुरुष,39,कोशी प्रदेश,सुनसरी,1,एस.एस.सी. ,समाजसेवी,-,--
