Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,लाल बिक्रम थापा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,57348,पुरुष,39,कोशी प्रदेश,सुनसरी,2,डिप्लोमा इन सिभिल इन्जिनियरिङ्ग,"सामाजिक तथा राजनितिक
होराईजन इन्जिनियरिङ्ग कलेजमा संस्थापकको रुपमा काम गरेको",,पूर्वाञ्चल क्याम्पस
2,राजीव कोइराला,नेपाली काँग्रेस,रुख,16071,पुरुष,63,कोशी प्रदेश,सुनसरी,2,स्नातक,"प्रदेश सदस्य, कोशी प्रदेश (संसदिय दलको नेता ने.का.) पू्व नेपाली काग्रेस केन्द्रिय सदस्य , पूर्व नेपाली काँग्रेस जिल्ला सभापति, पूर्व जेसीस अध्यक्ष १९९७",,निजी/ सरकारी
3,सुजन लामा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,8303,पुरुष,38,कोशी प्रदेश,सुनसरी,2,एस.एल.सी.,"युवा संघ, कोशी प्रदेश कमिटी संयोजक
सामाजिक कार्यकर्ता",,भासी मा.वि. रामधुनी
4,चेतन राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,7484,पुरुष,33,कोशी प्रदेश,सुनसरी,2,एस.एल.सी,वैदेशिक रोजगार,"कुनै पनि राजनितिक दलमा आवद्ध नरहेको,
श्रम सस्कृति पाटी नै मेरो पछिल्लो राजनितिक दल हो निस्वार्थसाथ काम गर्छु",पाथीभारा कलेज
5,राम कुमारी चौधरी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1816,महिला,40,कोशी प्रदेश,सुनसरी,2,स्नातक,,,पूर्वाञ्चल विश्व विद्यालय
6,दिने‍श कुमार बस्‍नेत,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1287,पुरुष,53,कोशी प्रदेश,सुनसरी,2,आई.ए.,,,
7,गोपाल  तामाङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,734,पुरुष,27,कोशी प्रदेश,सुनसरी,2,स्नाकोत्तर ,"शैक्षिक संस्थामा कार्य गरेको
सञ्चार क्षेत्रमा कार्य गरेको",,निजी
8,अदित्य आचार्य,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,536,पुरुष,26,कोशी प्रदेश,सुनसरी,2,स्नातक,"अटो मोवाइल इन्जिनियर
विद्युतिय सवारीमा अनुभव",,टि.यू.
9,रामचन्द्र मेहता,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,380,पुरुष,42,कोशी प्रदेश,सुनसरी,2,एस. एल. सी.,,,भगवती मा.वि
10,महाविर मेहता,जनमत पार्टी,लाउड स्पिकर,329,पुरुष,32,कोशी प्रदेश,सुनसरी,2,व्याचलर,,,टि.यू.
11,ताजिना  विष्ट,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,176,महिला,31,कोशी प्रदेश,सुनसरी,2,+2,,,
12,सन्तोष कुमार मेहता,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),169,पुरुष,42,कोशी प्रदेश,सुनसरी,2,व्याचलर,"2058 देखि राजनितिमा प्रवेश
राजनितिक",,टि.यू.
13,इफतखार हसन (इकवाल),स्वतन्त्र,कैंची,155,पुरुष,46,कोशी प्रदेश,सुनसरी,2,स्‍नातक,"30 वर्ष पत्रकारिता
2 वर्ष न्यूनतम पारिश्रमिक निर्धारण समिति",,निजी
14,सन्‍तहिरा राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,152,महिला,42,कोशी प्रदेश,सुनसरी,2,एस एल सी,,,सरकारी
15,कृष्ण कुमारी दनुवार,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,125,महिला,40,कोशी प्रदेश,सुनसरी,2,+2,,,निजी/सरकारी
16,नुनु राम चौधरी,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,107,पुरुष,50,कोशी प्रदेश,सुनसरी,2,बि.कम.,,,
17,तुलसा लिम्बु,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,75,महिला,41,कोशी प्रदेश,सुनसरी,2,एस.एल.सी.,,,
18,नवराज पौडेल,स्वतन्त्र,त्रिभुज,45,पुरुष,54,कोशी प्रदेश,सुनसरी,2,वि.एड.,,,धनकुटा बहुमुखी क्याम्पस
19,अतित नेपाल,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,31,पुरुष,31,कोशी प्रदेश,सुनसरी,2,स्नातक,,,त्रि.वि.
20,निरन्जन ठाकुर,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,28,पुरुष,42,कोशी प्रदेश,सुनसरी,2,एस.एल.सी.,व्यपार,,
21,देवेन्‍द्र पौडेल,स्वतन्त्र,ह्विल चेयर,20,पुरुष,35,कोशी प्रदेश,सुनसरी,2,स्नातक तह ,"कलाकार
शिक्षक
कृषक
राजनितिक","सामाजिक रुपान्तरण, आर्थिक सवलिकरण र भौतिक पूर्वाधार निर्माणका कार्यहरु निश्पक्ष रुपमा काम गर्ने",टि.यू.
22,अन्जना देवी गुप्ता,स्वतन्त्र,पंखा,18,महिला,53,कोशी प्रदेश,सुनसरी,2,आठ पास,,,
23,गिता मैया बजिको,नेपाल मजदुर किसान पार्टी,मादल,14,महिला,47,कोशी प्रदेश,सुनसरी,2,एस.एल.सि.,,,सरकारी
24,राज कुमार खत्री,स्वतन्त्र,जुवा,14,पुरुष,49,कोशी प्रदेश,सुनसरी,2,एस.एल.सी.,समाज सेवा,"समाज परिवर्तन, समाज सेवा",सरकारी
25,सत्य नारायण पंडित,स्वतन्त्र,केराको काइँयो,10,पुरुष,66,कोशी प्रदेश,सुनसरी,2,साधारण,सामाजिक सेवा,समाज परिवर्तन विकाशका योजना,
26,डम्‍बर बहादुर बराइली,स्वतन्त्र,कप र प्लेट,6,पुरुष,56,कोशी प्रदेश,सुनसरी,2,+2,,,
27,भीम बहादुर दाहाल,स्वतन्त्र,जीप,6,पुरुष,63,कोशी प्रदेश,सुनसरी,2,एस.एल.सी.,समाजसेवा,,सरकारी
28,रोसनी राई,स्वतन्त्र,स्टुल,2,महिला,49,कोशी प्रदेश,सुनसरी,2,आई.ए.,सामाजिक सेवा,,टि.यू.
