Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,दीपक कुमार साह,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,42771,पुरुष,49,Elected,कोशी प्रदेश,सुनसरी,4,स्तानक मेकानिकल इन्जिनियरिङ्ग,23 वर्ष सम्म हाइड्रो पावरमा काम गरेको ,"पुलचौक इन्जिनियरिङ्ग क्याम्पसबाट मेकानिकल इन्जिनियरीङ्ग 
प्राकृतिक श्रोत विकासमा स्नातकोत्तर
राजिनितिकः अध्यक्ष सर्वोदय पार्टी/जनस्वराज पार्टी
उपाध्यक्षः जनमत पार्टी
व्यवसायिकः जलविद्युत क्षेत्रका इन्जिनियर तथा विज्ञ",त्रि.यु पुलचौक इन्जिनियरिङ्ग क्याम्पस पुलचौक ललितपुर
2,ज्ञानेन्द्र बहादुर कार्की,नेपाली काँग्रेस,रुख,16587,पुरुष,69,,कोशी प्रदेश,सुनसरी,4,स्नातोकत्तर(राजनैतिक शास्त्र),-,-,त्रि.वि.वि.
3,जगदिश प्रसाद कुसियैत,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,8631,पुरुष,66,,कोशी प्रदेश,सुनसरी,4,एस.एल.सी.,राजनिति,-,हनुमान मा.वि. हनुमाननगर
4,महमद महफुज अंसारी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3432,पुरुष,56,,कोशी प्रदेश,सुनसरी,4,स्नातक,-,-,त्रि.वि.वि
5,विष्‍णु राना,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,2763,पुरुष,49,,कोशी प्रदेश,सुनसरी,4,कक्षा १२ पास,-,-,आर्दश उच्च मा.वि. बराहक्षेत्र-२
6,प्रेम प्रसाद भट्टराई,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,821,पुरुष,72,,कोशी प्रदेश,सुनसरी,4,आई.ए,-,-,त्रि.वि.वि
7,समिद खान,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,735,पुरुष,44,,कोशी प्रदेश,सुनसरी,4,एस.एल.सी,व्यापार,-,जनता मा.वि मधुवन
8,कपलेश्वर यादव,जनमत पार्टी,लाउड स्पिकर,558,पुरुष,41,,कोशी प्रदेश,सुनसरी,4,+2 ,-,-,त्रिचन्द्र क्याम्पस
9,सबिता यादव,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,486,महिला,51,,कोशी प्रदेश,सुनसरी,4,एस.एल.सी.,-,-,भगवती मा.वि. सुनसरी
10,हरि पराजुली,स्वतन्त्र,ट्रफी,356,पुरुष,30,,कोशी प्रदेश,सुनसरी,4,+2 पास,सामाजिक अभियन्ता,-,श्री प्रकाश मा.वि.
11,मो. तजमुल मियाँ,स्वतन्त्र,रिक्सा,198,पुरुष,46,,कोशी प्रदेश,सुनसरी,4,SLC,"राजनैतिक
ठेकेदार
समाजसेवी",-,मध्यमा विहार
12,एयुव अंसारी,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,168,पुरुष,54,,कोशी प्रदेश,सुनसरी,4,कक्षा ५ पास,-,-,-
13,भेषराज बजगाई,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,153,पुरुष,50,,कोशी प्रदेश,सुनसरी,4,+२ पास,-,-,आर्दश उच्च मा.वि.
14,रोजन विश्‍वकर्मा,स्वतन्त्र,पानीको जार,146,पुरुष,32,,कोशी प्रदेश,सुनसरी,4,एस.एल.सी,"वैदेशिक रोजगार
दलित अभियन्ता",देश विकास गर्नू,श्री प्रकाश माध्यमिक विद्यालय बराहक्षेत्र-10
15,मो गुलाब अंसारी,स्वतन्त्र,क्याप,123,पुरुष,26,,कोशी प्रदेश,सुनसरी,4,+2 पास,-,-,शिक्षा दिप मा.वि
16,तवरेज आलम अंसारी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,87,पुरुष,35,,कोशी प्रदेश,सुनसरी,4,+2,"समाजसेवी
राजनैतिक
",-,श्रि बालकृष्ण मा.वि
17,मनकुमार राई,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,74,पुरुष,50,,कोशी प्रदेश,सुनसरी,4,कक्षा ८ पास,भारतीय सैनिक,-,-
18,रमेश कुमार साह,नेपाल जनता पार्टी,कमलको फूल,63,पुरुष,46,,कोशी प्रदेश,सुनसरी,4,lab Assitant,-,-,national institute of Technology
19,अंकीत  कार्की ,स्वतन्त्र,फिरफिरे,49,पुरुष,28,,कोशी प्रदेश,सुनसरी,4,+2 पास,सामाजिक सेवमा निरन्तर सहभागी भई न्याय संविधानको पालना गर्दै परोपकारमा संलग्न,म निरन्तर सामाजिक सेवमा कार्यरत भई समाजको उत्थानमा संलग्न भई सामाजिक अहोरात्र खटी आएको छु।  देश र जनताको विकासमा म निरन्तर खटिरहने छु। राष्ट्र राष्ट्रियता प्रति म सधै बफादार रहने प्रतिबद्धता प्रकट गर्दछु।,कस्तुरी कलेज इटहरी 
20,सत्य नारायण लहुटिया,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,39,पुरुष,63,,कोशी प्रदेश,सुनसरी,4,एस.एल.सी,-,-,-
21,तेज नारायण गोईत ,स्वतन्त्र,मुढा,34,पुरुष,52,,कोशी प्रदेश,सुनसरी,4,प्रमाणपत्र तह,सामाजिक अध्ययन,-,कुवार ससिन्दर महता विद्यालय विरपुर
22,कुन्दन कौसिक,स्वतन्त्र,सिरिन्ज,33,पुरुष,52,,कोशी प्रदेश,सुनसरी,4,+2 पास,-,-,कोशी राजकिय उच्च विद्यालय विरपुर (भारत)
23,मो.सदिक मियाँ,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,29,पुरुष,54,,कोशी प्रदेश,सुनसरी,4,साधारण लेखपढ,-,-,-
24,उपेन्द्र कुमार साह,स्वतन्त्र,हेल्मेट,25,पुरुष,44,,कोशी प्रदेश,सुनसरी,4,एस.एल.सी,-,-,जनता मा.वि. नरसिंह
25,देव नारायण महतो,स्वतन्त्र,जीप,16,पुरुष,66,,कोशी प्रदेश,सुनसरी,4,साधारण लेखपढ,-,-,-
