Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,प्रकाश सिंह कार्की,नेपाली काँग्रेस,रुख,13166,पुरुष,62,कोशी प्रदेश,सोलुखुम्बु,1,+2,,,
2,अशिम राई,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9414,पुरुष,42,कोशी प्रदेश,सोलुखुम्बु,1,विविएस,,,
3,कल्पना राई,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,8228,महिला,37,कोशी प्रदेश,सोलुखुम्बु,1,,,,
4,ऋषि धन थुलुङराई,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,3642,पुरुष,44,कोशी प्रदेश,सोलुखुम्बु,1,पिएच डि,,,
5,वियस राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,3363,पुरुष,42,कोशी प्रदेश,सोलुखुम्बु,1,,,,
6,पेम्बा छिरी शेर्पा,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,278,पुरुष,29,कोशी प्रदेश,सोलुखुम्बु,1,+2,,,
7,लाक्पा शेर्पा,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,203,पुरुष,44,कोशी प्रदेश,सोलुखुम्बु,1,,,,
8,राजेन्द्र वस्नेत,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,157,पुरुष,37,कोशी प्रदेश,सोलुखुम्बु,1,+2,,,मञ्जु देवी बस्नेत
9,गुणराज एफ भट्टराई,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,41,पुरुष,36,कोशी प्रदेश,सोलुखुम्बु,1,+2,,,
10,मन कुमार गुरुङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,34,पुरुष,63,कोशी प्रदेश,सोलुखुम्बु,1,साक्षरता,,,श्री त्रिभुवन विद्योदय प्रा.वि.
11,कमल बहादुर मगर,नेपाल मजदुर किसान पार्टी,मादल,31,पुरुष,37,कोशी प्रदेश,सोलुखुम्बु,1,+2,जेटिए,,सोलुखुम्बु बहुमुखी कम्यापस
12,श्रीध्वज तामाङ्ग,मितेरी पार्टी नेपाल,घोडा,9,पुरुष,48,कोशी प्रदेश,सोलुखुम्बु,1,साक्षरता,,,
