Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,खडक राज पौडेल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,39883,पुरुष,46,गण्डकी प्रदेश,कास्की,1,,,,
2,तिलक बहादुर रानाभाट,नेपाली काँग्रेस,रुख,11214,पुरुष,58,गण्डकी प्रदेश,कास्की,1,,,,
3,वैन बहादुर क्षेत्री(अधिकारी),नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10429,पुरुष,53,गण्डकी प्रदेश,कास्की,1,,,,
4,राजकाजी गुरुङ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2479,पुरुष,48,गण्डकी प्रदेश,कास्की,1,,,,
5,विल बहादुर तमाङ लामा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1141,पुरुष,42,गण्डकी प्रदेश,कास्की,1,,,,
6,बाबु राम थापा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,978,पुरुष,59,गण्डकी प्रदेश,कास्की,1,,,,
7,मनिषा द्धा,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,670,महिला,38,गण्डकी प्रदेश,कास्की,1,,,,
8,श्री मान थापा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,109,पुरुष,49,गण्डकी प्रदेश,कास्की,1,,,,
9,कृष्ण बहादुर राउत,स्वतन्त्र,त्रिभुज,84,पुरुष,46,गण्डकी प्रदेश,कास्की,1,,,,
10,रवि मोहन ढकाल,राष्ट्रिय जनमोर्चा,गिलास,82,पुरुष,60,गण्डकी प्रदेश,कास्की,1,,,,
11,कुमार परियार,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,81,पुरुष,42,गण्डकी प्रदेश,कास्की,1,,,,
12,हर्क  बहादुर  थापा,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,79,पुरुष,48,गण्डकी प्रदेश,कास्की,1,,,,
13,कर्ण बहादुर गुरुङ,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,78,पुरुष,40,गण्डकी प्रदेश,कास्की,1,,,,
14,यज्ञ वहादुर गुरुङ्ग,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,35,पुरुष,41,गण्डकी प्रदेश,कास्की,1,,,,
15,आश बहादुर दमै,नेपाल मानवतावादी पार्टी,इनार,25,पुरुष,63,गण्डकी प्रदेश,कास्की,1,,,,
16,राम काजी चर्माकार,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,22,पुरुष,48,गण्डकी प्रदेश,कास्की,1,,,,
17,मिन बहादुर दर्जी,नेपाल जनमुक्ति पार्टी,घर,21,पुरुष,67,गण्डकी प्रदेश,कास्की,1,,,,
