Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,बिना गुरुङ्ग,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,37750,महिला,53,Elected,गण्डकी प्रदेश,कास्की,3,+2,"व्यवसाय
 समाजसेवा 
लगानी","राजनितिलाई पेशा नभई सेवाको रुपमा अगाडि बढाउने ।
देशको विकृति र भष्ट्राचारको विरुद्ब सशक्त अभियान चलाउने ।
विधिको शासन स्थापित गराउने ।",Prithivi Narayan Campus
2,मनोज गुरुङ्ग,नेपाली काँग्रेस,रुख,12780,पुरुष,58,,गण्डकी प्रदेश,कास्की,3,एस.एल.सी,पार्टी,समाजसेवा,-
3,दामोदर पौडेल वैरागी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7906,पुरुष,59,,गण्डकी प्रदेश,कास्की,3,साक्षर,राजनिति,-,-
4,गोपाल गिरी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1456,पुरुष,70,,गण्डकी प्रदेश,कास्की,3,आइ एल,"कानून व्यवसायी
सामाजिक अभियन्ता
अध्यापन",,पृथ्वी नारायण क्याम्पस
5,अर्जुन प्रसाद खनाल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1406,पुरुष,36,,गण्डकी प्रदेश,कास्की,3,स्नाकोत्तर,"व्यवसाय
कानून
राजनिति",-,त्रि.वि.वि
6,हित काजी गुरुङ्ग,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,586,पुरुष,61,,गण्डकी प्रदेश,कास्की,3,10,पुर्व सैनिक,-,श्र बराह मा.वि
7,तर्क बहादुर गुरुङ्ग,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,462,पुरुष,63,,गण्डकी प्रदेश,कास्की,3,एस.एल.सी,-,-,गौरी शंकर मा.वि
8,कमल खड्‍का विश्‍वकर्मा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,91,पुरुष,46,,गण्डकी प्रदेश,कास्की,3,साक्षर,-,-,-
9,जीवन बहादुर गुरुङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,76,पुरुष,52,,गण्डकी प्रदेश,कास्की,3,+2,-,-,नारायण उच्च मा.वि
10,टेक बहादुर सार्की,संयुक्त नागरिक पार्टी,गितार,63,पुरुष,62,,गण्डकी प्रदेश,कास्की,3,कक्षा ६,"खेतिपाती
","आफूमा भएको सिप समाजमा विकास गर्ने
विद्यालयको स्तरोन्नती गर्ने",प्रगति शिक्षा सदन मा.वि
11,ओम प्रकाश विश्वकर्मा,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,23,पुरुष,50,,गण्डकी प्रदेश,कास्की,3,स्नातक,"वैदेशिक रोजगार
अन्तराष्ट्रिय व्यवसाय",म मेरो मातृभुमिलाई एक सक्षम देश बनाउन चाहन्छु ।,त्रि.वि.वि.
12,मिन बहादुर थापा,नेपाल जनमुक्ति पार्टी,घर,20,पुरुष,40,,गण्डकी प्रदेश,कास्की,3,+2,-,-,भैरहवा साईन्स हार्यर सेकेन्डरी स्कुल
13,तिरथ गुरुङ्ग,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,13,महिला,42,,गण्डकी प्रदेश,कास्की,3,+2,"समाजसेवा
खेलकुद",-,भारत
14,कुसल थापा क्षेत्री,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,12,पुरुष,53,,गण्डकी प्रदेश,कास्की,3,कक्षा १०,"कृषि
व्यापार",-,-
15,मिना न्हिसुतु,नेपाल मजदुर किसान पार्टी,मादल,5,महिला,45,,गण्डकी प्रदेश,कास्की,3,+ २ उत्तिण,"जेष्ठ नागरिक हेरचाह तालिम
सिलाई",नेपाल मजुदुर किसान पाटीको घोषणापत्र अनुसार देश र जनताको सेवा गर्न चाहन्छु ।,वागेश्वरी मा.वि.भक्तपुर
