Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,कविन्द्र बुर्लाकोटी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,26660,पुरुष,46,Elected,गण्डकी प्रदेश,गोरखा,2,,,,
2,प्रकाश चन्‍द्र दवाडी,नेपाली काँग्रेस,रुख,11700,पुरुष,50,,गण्डकी प्रदेश,गोरखा,2,,,,
3,लेखनाथ न्यौपाने,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,11073,पुरुष,52,,गण्डकी प्रदेश,गोरखा,2,,,,
4,मिलन गुरुङ्ग,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,3087,पुरुष,53,,गण्डकी प्रदेश,गोरखा,2,,,,
5,बलराम तामाङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,639,पुरुष,55,,गण्डकी प्रदेश,गोरखा,2,,,,
6,कुल बहादुर बस्नेत,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,292,पुरुष,58,,गण्डकी प्रदेश,गोरखा,2,,,,
7,सोम बहादुर गुरुङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,290,पुरुष,43,,गण्डकी प्रदेश,गोरखा,2,,,,
8,टेक बहादुर प्रधान,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,130,पुरुष,42,,गण्डकी प्रदेश,गोरखा,2,,,,
9,प्रसाद गुरुङ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,111,पुरुष,54,,गण्डकी प्रदेश,गोरखा,2,,,,
10,चूडा प्रसाद ढकाल,स्वतन्त्र,सारङ्‌गी,80,पुरुष,63,,गण्डकी प्रदेश,गोरखा,2,,,,
11,कल्पना कुमाल,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,41,महिला,44,,गण्डकी प्रदेश,गोरखा,2,,,,
12,राम शरण बुढाथोकी,नेपाल मजदुर किसान पार्टी,मादल,30,पुरुष,56,,गण्डकी प्रदेश,गोरखा,2,,,,
13,हरि पोखरेल,स्वतन्त्र,मुसो,14,पुरुष,38,,गण्डकी प्रदेश,गोरखा,2,,,,
