Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,स्वर्णिम वाग्ले,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,38040,पुरुष,51,गण्डकी प्रदेश,तनहुँ,1,phd,,,अष्ट्रेलियन नेशनल युनिभर्सिटी
2,गोविन्द भट्टराई,नेपाली काँग्रेस,रुख,16231,पुरुष,62,गण्डकी प्रदेश,तनहुँ,1,स्नातकोक्तर,,,त्रि.वि
3,भगवती न्यौपाने,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,5830,महिला,49,गण्डकी प्रदेश,तनहुँ,1,एम एड,,,महेन्द्र रत्न क्याम्पस काठमाडौं
4,विद्या नाथ ढकाल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2393,पुरुष,65,गण्डकी प्रदेश,तनहुँ,1,स्नातक,,,त्रिभुवन विश्वविद्यालय
5,काशीराम गुरुङ,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,967,पुरुष,41,गण्डकी प्रदेश,तनहुँ,1,८ पास,,,राम शाह मा.वि
6,रामदत्त जोशी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,826,पुरुष,35,गण्डकी प्रदेश,तनहुँ,1,B.A,,,T.U
7,मन्‍जिल राना,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,508,पुरुष,37,गण्डकी प्रदेश,तनहुँ,1,एम ए,,,पाटन क्याम्पस
8,प्रेम बहादुर थापा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,170,पुरुष,44,गण्डकी प्रदेश,तनहुँ,1,साधारण,,,
9,दिपक राज जोशी,स्वतन्त्र,कैंची,113,पुरुष,56,गण्डकी प्रदेश,तनहुँ,1,स्नातकोक्तर,"सिस्टम परफरमेन्स इन्जिनियरको ५ वर्ष 
एप्लिकेसन डेभलपर",,कोलोराडो टेक्निकल युनिभरसीटी (यूएसएस)
10,ओम विक्रम पन्त,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,112,पुरुष,58,गण्डकी प्रदेश,तनहुँ,1,एस एल सी,,,
11,याम बहादुर आले,नेपाल जनमुक्ति पार्टी,घर,76,पुरुष,68,गण्डकी प्रदेश,तनहुँ,1,म्याट्रिक,"२८ वर्ष भारतीय सेनामा कार्य गरेको 
निर्माण स्वरोजगार समितिमा कार्य गरेको ।",, आर्मि स्कूल भारत
12,सन्देश रानाभाट लौडारी,स्वतन्त्र,माना पाथी,73,पुरुष,29,गण्डकी प्रदेश,तनहुँ,1,ब्याचलर,,,पोखरा युनिर्भिसिटी
13,राम लक्ष्मी दुवाल,नेपाल मजदुर किसान पार्टी,मादल,29,महिला,39,गण्डकी प्रदेश,तनहुँ,1,मास्टर डिग्री,,,ख्वप कलेज
14,सुमन थापा मगर,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,23,पुरुष,41,गण्डकी प्रदेश,तनहुँ,1,एस एल सी,,,
15,लेख नाथ खनाल,स्वतन्त्र,आँप,18,पुरुष,71,गण्डकी प्रदेश,तनहुँ,1,साक्षर,,,
16,चिजा माया अधिकारी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,10,महिला,43,गण्डकी प्रदेश,तनहुँ,1,,,,
