Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,श्रीराम न्यौपाने,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,32687,पुरुष,56,Elected,गण्डकी प्रदेश,तनहुँ,2,जलस्रोत ईन्जिनियरिङमा डिग्री,"क) नेपाल सरकार खानेपानी विभागको इन्जिनियर
ख) इन्जिनियरिङ शिक्षा क्षेत्रमा प्राध्यापन
ग) मेलम्ची खानेपानी र नागढुङ्गा सुरुङ मार्गको सुरुङ निर्माणमा आयोजना निर्देशक
घ) जलविद्य‍ुत आयोजनाको प्रवर्द्वक र निर्माण व्यवसायी",,"पुल्चोक क्याम्पस, इ.अ.सं., त्रि.वि.वि."
2,शंकर भण्डारी,नेपाली काँग्रेस,रुख,14135,पुरुष,57,,गण्डकी प्रदेश,तनहुँ,2,स्‍नातक,,,"त्रिचन्द्र क्याम्पस, काठमाडौं"
3,केदार सिग्देल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,11668,पुरुष,62,,गण्डकी प्रदेश,तनहुँ,2,स्‍नातकोत्तर,"क) राजनिति-वैचारिक राजनैतिक र सांगठनिक काम
ख) समाज सेवा- विभिन्‍न सामाजिक संघसंस्थामा आवद्ध
ग) विकास निर्माण- सडक तथा पुर्वाधार विकासमा कृयाशिल
घ) श्रमप्रति आस्था, उत्पादन कार्यमा रुची",,त्रिभुवन विश्वविद्यालय
4,सोम बहादुर थापा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1953,पुरुष,49,,गण्डकी प्रदेश,तनहुँ,2,पी.एच.डी. स्कलर,,,त्रिभुवन विश्वविद्यालय
5,याम बहादुर ठकुरी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1117,पुरुष,58,,गण्डकी प्रदेश,तनहुँ,2,I.A.,"क) शिक्षण पेशा
ख) राजनिती/समाजसेवा",,त्रिभुवन विश्वविद्यालय
6,सुस्मा आले,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,495,महिला,28,,गण्डकी प्रदेश,तनहुँ,2,बि.एड.,,,"श्री आदिकवी भानुभक्त क्याम्पस, तनहुँ"
7,पुर्ण बहादुर राना,नेपाल जनमुक्ति पार्टी,घर,172,पुरुष,46,,गण्डकी प्रदेश,तनहुँ,2,एम.ए.,"क) खेती किसानी
ख) शिक्षण
ग) कुकिङ्ग
घ) राजनिती",,त्रिभुवन विश्वविद्यालय
8,गणेश बहादुर लामगादे,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,122,पुरुष,49,,गण्डकी प्रदेश,तनहुँ,2,S.L.C,"क) सामाजिक काम
ख) सवारी चालक",,"श्री जनप्रेमी मा.वि., फिरफिरे, तनहुँ"
9,नम बहादुर राना,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,105,पुरुष,48,,गण्डकी प्रदेश,तनहुँ,2,१० पास,,,श्री खैरेनीटार माध्यमिक विद्यालय
10,लाल बहादुर सार्की (गोतामे),राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,95,पुरुष,40,,गण्डकी प्रदेश,तनहुँ,2,SLC,"क) कृषि
ख) शिक्षक
ग) कलाकारिता
घ) हाउस वायरिङ",,श्री जनज्योती उच्च माध्यमिक विद्यालय
11,लक्ष्मण अधिकारी,नेपाल मजदुर किसान पार्टी,मादल,30,पुरुष,64,,गण्डकी प्रदेश,तनहुँ,2,दश कक्षा उत्तीर्ण,"क) विद्यालय संचालक समिति अध्यक्ष/सदस्य
ख) वन समिति सदस्य
ग) बाटो निर्माण समिति
घ) लेखापढी व्यवसायी",,"श्री महेन्द्र ज्योती मा.वि., शिशाघाट, तनहुँ"
