Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,राजन गौतम,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,50945,पुरुष,39,Elected,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
2,बाल कृष्ण घिमिरे,नेपाली काँग्रेस,रुख,16293,पुरुष,52,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
3,भागिरथ सापकोटा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,9131,पुरुष,54,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
4,भिम चन्‍द्र गुरुङ्ग,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1702,पुरुष,44,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
5,लोक प्रसाद भुर्तेल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1245,पुरुष,61,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
6,दिपक चन्द्र बस्ताकोटी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1221,पुरुष,53,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
7,बेल बहादुर सारु,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,235,पुरुष,47,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
8,विष्णुमान विक,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,216,पुरुष,26,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
9,पार्वती गुरुङसेनी,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,191,महिला,66,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
10,चन्द्रदत्त सापकोटा,राष्ट्रिय जनमोर्चा,गिलास,174,पुरुष,58,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
11,शत्रुघन थापा,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,117,पुरुष,51,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
12,छवीलाल मगर,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),35,पुरुष,69,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
13,राजु गुरुङ्ग,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,25,पुरुष,48,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
14,गोकुल शर्मा,स्वतन्त्र,डस्ट बिन,11,पुरुष,46,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
15,विन्दु के.सी.,स्वतन्त्र,दूरबिन,10,महिला,37,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
16,अविनास सुनार,स्वतन्त्र,झोला,7,पुरुष,27,,गण्डकी प्रदेश,नवलपरासी (बर्दघाट सुस्ता पूर्व),1,,,,
