Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सागर भुसाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,26561,पुरुष,44,गण्डकी प्रदेश,पर्वत,1,SLC,,,भवानी विद्यापिठ मा.वि. फलेवास
2,अर्जुन प्रसाद जोशी,नेपाली काँग्रेस,रुख,15954,पुरुष,69,गण्डकी प्रदेश,पर्वत,1,एम.ए.,,प्रतिबन्धित काल २०३४ सालदेखि नेपाली काँग्रेसको पार्टी सदस्यता लिई २०४८ सालदेखि १६ वर्ष नेपाली काँग्रेस पर्वतको पार्टी सभापतिका रुपमा काम गरेको। २०५६ साल देखि २०७४ सालसम्म प्रतिनिधि सभा सदस्य र संविधान सभा सदस्यका रुपमा काम गरेको र झण्डै २२ वर्ष नेपाली काँग्रेसको केन्द्रीय कार्यसमिति सदस्यका रुपमा काम गरेको ।,
3,पदम गिरी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15075,पुरुष,48,गण्डकी प्रदेश,पर्वत,1,स्नातकोत्तर,"गत २ कार्यकाल प्रतिनिधि सभा सदस्य, २ पटक संघीय सरकारको मन्त्री","देश र जनता प्रति समर्पित रहि ""सम्बृद्ध नेपाल, सुखी नेपाली"" का ने.क.पा. एमालेले अगाडी सारेको कार्यक्रम सञ्चालन गर्ने",त्रि.वि.
4,मनहरि शर्मा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4557,पुरुष,41,गण्डकी प्रदेश,पर्वत,1,स्नातकोत्तर,"(क) नेपाल सरकारको प्रधानमन्त्रीको पुर्व प्रेस विज्ञ सल्लाहकार,
(ख) नेपा प्रज्ञा प्रतिष्ठान, दर्शन विभाग सदस्य, 
(ग) विभिन्न सञ्चार माध्यममा लेखन एवं सम्पादन, 
(घ) लेखक एवं अनुसन्धाता",भौतिक र मानवीय विकासको सन्तुलन कायम गर्दै पर्वत जिल्लालाई नमुना जिल्ला बनाउन सम्पुर्ण रुपले क्रियाशिल हुनेछु,त्रिभुवन विश्वविद्यालय
5,दुर्गा बहादुर मल्ल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,525,पुरुष,71,गण्डकी प्रदेश,पर्वत,1,साक्षर,,,
6,यम बहादुर चोचाङ्गी पुन,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,122,पुरुष,45,गण्डकी प्रदेश,पर्वत,1,10,"(क) लामो समय राजनैतिक क्षेत्रमा कृयाशिल,
(ख) माटो जोगाऔ अभियान्त २५०० कि.मि. ७९ दिनमा पुरा गरेको,
(ग) विभिन्न संघ संस्थाहरुमा काम गरेको
(घ) प्रविधि आविष्कार गरेको (WARMET) उर्जा उत्पादको लागि",,जननेत्र मा.वि.
7,कृष्‍ण बहादुर वि क,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,118,पुरुष,53,गण्डकी प्रदेश,पर्वत,1,१० पास,,,महेन्द्र शिखर माध्यामिक विद्यालय
8,वीर वहादुर गुरुङ्ग,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,98,पुरुष,43,गण्डकी प्रदेश,पर्वत,1,साक्षरता,कृषि,,महेन्द्र शिखर मा.वि.
9,भिमलाल न्यौपाने,राष्ट्रिय जनमोर्चा,गिलास,87,पुरुष,64,गण्डकी प्रदेश,पर्वत,1,आई.एड.,,,त्रि.वि.वि. (बुटवल बहुमुखी क्याम्पस)
10,लाल कुमारी थापा राना,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,41,महिला,39,गण्डकी प्रदेश,पर्वत,1,+2 पास,"राजनितीक, जागिर र व्यवसाय",,"नवोदिन कलेज (सामाखुशी, काठमाण्डौं)"
