Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सोम शर्मा,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,12647,पुरुष,34,गण्डकी प्रदेश,बाग्लुङ,2,स्नातक,,,
2,टेक राज पौडेल,नेपाली काँग्रेस,रुख,11868,पुरुष,50,गण्डकी प्रदेश,बाग्लुङ,2,"M.A., Bad",,,
3,ज्ञामनाथ गैरे,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,10709,पुरुष,45,गण्डकी प्रदेश,बाग्लुङ,2,10+2,,,
4,मन्जु शर्मा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7864,महिला,52,गण्डकी प्रदेश,बाग्लुङ,2,स्नातक तह,,,
5,हर्क बहादुर पुन,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,564,पुरुष,50,गण्डकी प्रदेश,बाग्लुङ,2,स्नातकोत्तर,,,TU
6,पूर्ण बहादुर घर्ती मगर,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),315,पुरुष,40,गण्डकी प्रदेश,बाग्लुङ,2,,,,
7,अञ्चल शाही,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,243,पुरुष,33,गण्डकी प्रदेश,बाग्लुङ,2,,,,
8,नर बहादुर बुढा,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,197,पुरुष,73,गण्डकी प्रदेश,बाग्लुङ,2,,,,
9,लोकेन्द्र घिमिरे,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,79,पुरुष,40,गण्डकी प्रदेश,बाग्लुङ,2,12,,,
10,टेक प्रसाद कामी,नेपाल मानवतावादी पार्टी,इनार,76,पुरुष,59,गण्डकी प्रदेश,बाग्लुङ,2,,,,
11,पदम बहादुर कुवँर,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,43,पुरुष,40,गण्डकी प्रदेश,बाग्लुङ,2,S.L.C,,,
12,जुन बहादुर थापा मगर,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,21,पुरुष,52,गण्डकी प्रदेश,बाग्लुङ,2,S.L.C.,,,
