Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,महावीर पुन,स्वतन्त्र,त्रिभुज,22850,पुरुष,71,Elected,गण्डकी प्रदेश,म्याग्दी,1,Master Degree,"१. शिक्षक १३ वर्ष
२. समाज सेवा ३२ वर्ष","देशको अर्थतन्त्रमा सुधार गर्नका लागि विज्ञान प्रविधि, नवप्रवर्तन, अनुसन्धान, आविस्कारलाई उच्च प्राथमिकता दिने","युनिभर्सिटी अफ नेब्रास्का कर्नी, अमेरिका"
2,हरीकृष्ण श्रेष्ठ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7919,पुरुष,60,,गण्डकी प्रदेश,म्याग्दी,1,प्रविणता प्रमाणपत्र तह,"१. गा.वि.स. अध्यक्ष
२. म्याग्दी पुस्तकालयऽ बेनीको सचिव/अध्यक्ष
३. नेपाल रेडक्रस म्याग्दी शाखाको मन्त्री/सभापति
४. बेनी खानेपानी उपभोक्ता संस्थाको अध्यक्ष","2036 सालदेखि राजनीतिक जीवन शुरु गरी 2047 सालमा पार्टी सदस्यता प्राप्त गरी वडा गाउँ इलाका हुँदै 2051 सालमा जिल्ला कमिटिको सदस्य ।
2078 देखि 2082 सम्म प्रदेश कमिटीको सदस्य र 2082/09/03 देखि केन्द्रीय सदस्यमा निर्वाचित ।",त्रि.वि.वि.
3,कर्ण बहादुर भण्डारी,नेपाली काँग्रेस,रुख,6676,पुरुष,57,,गण्डकी प्रदेश,म्याग्दी,1,B.L.,"१. कानुनी परामर्श
२. टेक्नोलोजी आइटी",,Nepal Law Campus
4,अर्जुन बहादुर थापा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3529,पुरुष,41,,गण्डकी प्रदेश,म्याग्दी,1,M.A.,"१. सामाजिक सेवा २० वर्ष
२. विज्ञ नेतृत्व
३. विकाशप्रेमी दृष्टिकोण","समग्र म्याग्दी जिल्लाको विकासलाई नयाँ उचाइमा पुर्‍याउन, भ्रष्टाचारमुक्त सुशासन कायम गर्न, युवाहरुको सपनालाई संसदमा वुलन्द पार्न तथा आधुनिक विश्वको आर्थिक राजनैतिक चेत र सुझवुझ साथै राजनीतिलाई पेशा होइन सेवा ठान्न र सदैव म्याग्देली जनताको सुखदुःखमा साथ रहने तत्परताका साथ मेरो उम्मेदवार रहेको ।",T.U.
5,युवराज रोका,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,1530,पुरुष,34,,गण्डकी प्रदेश,म्याग्दी,1,10+2,,,New West Point Secondary School Beni
6,डम्भर बहादुर सुवेदी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,252,पुरुष,40,,गण्डकी प्रदेश,म्याग्दी,1,स्नातक,"१. विभिन्न सामाजिक संघ संस्थामा आवद्ध भै गरेको कार्यसम्पादन ।
२. व्यापार तथा व्यवसाय रुपमा गर्ने र गरेका कार्य ।",,म्याग्दी वहुमुखी क्याम्पस बेनी
7,क्षेत्रवहादुर घिमिरे,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,185,पुरुष,48,,गण्डकी प्रदेश,म्याग्दी,1,प्रविणता प्रमाणपत्र तह,,,म्याग्दी बहुमुखी क्याम्पस बेनी
8,विनोद राना,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,127,पुरुष,44,,गण्डकी प्रदेश,म्याग्दी,1,प्रविणता प्रमाणपत्र तह,"१. कृषि
२. शिक्षक",,"म्याग्दी बहुमुखी क्याम्पस, बेनी"
9,देवेन्द्र कामी,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,38,पुरुष,70,,गण्डकी प्रदेश,म्याग्दी,1,साधारण लेखपढ,,"देशमा शान्ति, सुशासन कायम गर्नको लागि दलित, गरिब, विपन्न वर्गलाई गाँस, बाँस, कपास तथा रोजगारको  दिगो विकास गर्न ।",
10,तुल प्रसाद गर्बुजा,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,27,पुरुष,41,,गण्डकी प्रदेश,म्याग्दी,1,S.L.C.,,,अमर मा.वि. चिमखोला
11,छेम बहादुर वि.क,राष्ट्रिय जनमोर्चा,गिलास,22,पुरुष,51,,गण्डकी प्रदेश,म्याग्दी,1,प्रमाणपत्र तह,१. राष्ट्रिय जनमोर्चा जिल्ला समिति म्याग्दीको अध्यक्ष,प्रतिनिधि सभा सदस्यमा निर्वाचित भएमा निस्पक्ष र इमान्दारीपूर्वक जनाताको सेवा गर्न चाहेको ।,म्याग्दी बहुमुखी क्याम्पस
12,भिम बहादुर लामा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,5,पुरुष,52,,गण्डकी प्रदेश,म्याग्दी,1,साक्षर,,,
