Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,धर्म राज के.सी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,33898,पुरुष,45,गण्डकी प्रदेश,लमजुङ,1,स्नातकोत्तर,"कलाईमेट एडभोकेसी इन्टरनेशनल
इको आई कोरिया
इको सियान कोरिया",,आजु विश्वविद्यालय द.कोरिया
2,पृथ्‍वी सुव्वा गुरुङ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,16876,पुरुष,68,गण्डकी प्रदेश,लमजुङ,1,स्नातक,"माध्यमिक विद्यालयमा अध्यापन 
संस्कृति पर्यटन तथा नागरिक उड्यन मन्त्री
संविधान सभा सदस्य-५ वर्ष
गण्डकी प्रदेश संस्थापक मुख्य मन्त्री-३ वर्ष
संचार तथा सुचना प्रविधि मन्त्री -१ वर्ष",,अमृत साइन्स क्याम्पस त्रि.वी
3,गम प्रसाद गुरुङ,नेपाली काँग्रेस,रुख,16569,पुरुष,54,गण्डकी प्रदेश,लमजुङ,1,स्नातक,"शिक्षण पेशा ८ वर्ष
सामाजिक संघ संस्था (रेडियो , गैर सरकारी संस्था)
जडिबुटी तथा कृषि (कृषक)",,त्रि.वी
4,हरि जंग तमाङ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3371,पुरुष,35,गण्डकी प्रदेश,लमजुङ,1,स्नातकोत्तर,प्रदेश अस्पतालमा व्यवस्थापन समितिको अध्यक्ष,,त्रि.वी
5,केबिन्द्र जंग गुरुङ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1000,पुरुष,74,गण्डकी प्रदेश,लमजुङ,1,८ कक्षा उत्तीर्ण,"ब्रिटिस सेनामा नोकरी गरी निवृत्त भएको
राष्ट्रिय प्रजातन्त्र पार्टीमा भू पू सैनिक केन्द्रीय उपाध्यक्ष
हाल रा.प्र.पा लमजुङ जिल्ला अध्यक्ष",,श्री अमर मा.वि
6,कोषलाल गुरुङ,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,565,पुरुष,37,गण्डकी प्रदेश,लमजुङ,1,+12,"व्यवसायी 
कृषी
वैदेशिक रोजगार
समाजसेवा ",,सहिद रामनाथ दाहाल क्याम्पस
7,विकास गुरुङ्ग,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,351,पुरुष,50,गण्डकी प्रदेश,लमजुङ,1,एस.एल.सी,,,भद्रकाली उ.मा.वि (एस.एल.सी बोर्ड)
8,रविन्द्र नखोला,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,144,पुरुष,39,गण्डकी प्रदेश,लमजुङ,1,एस.एल.सी,समाजसेवा,,शैलपुत्री माध्यामिक विधालय (एस.एल.सी बोर्ड)
9,सन्तोष घिमिरे,स्वतन्त्र,केबल कार,130,पुरुष,35,गण्डकी प्रदेश,लमजुङ,1,स्नातक,कृषि कार्य,,त्रिभुवन विश्वविद्यालय
10,मिलन  वास्कोटा ,जनादेश पार्टी नेपाल(एकल चुनाव चिन्ह),मोबाइल,53,पुरुष,28,गण्डकी प्रदेश,लमजुङ,1,स्नातक,,,नवोदित बिधाकुञ्ज त्रि.वी 
11,भरत गुरुङ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,41,पुरुष,59,गण्डकी प्रदेश,लमजुङ,1,एस.एल.सी,,,एस.एल.सी बोर्ड
12,गुजेश्वरी प्रजापति मगजु,नेपाल मजदुर किसान पार्टी,मादल,12,महिला,39,गण्डकी प्रदेश,लमजुङ,1,एस.एल.सी,,,वागेश्वरी मा.वि
