Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,धनन्जय रेग्मी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,29071,पुरुष,50,Elected,गण्डकी प्रदेश,स्याङजा,1,PHD ,-,-,Hokkaido University japal 
2,भरत राज ढकाल,नेपाली काँग्रेस,रुख,18857,पुरुष,52,,गण्डकी प्रदेश,स्याङजा,1,MBA,,,Sikkim manipal university
3,मिन प्रसाद गुरुङ्ग,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,16804,पुरुष,62,,गण्डकी प्रदेश,स्याङजा,1,MA LLB,,,T U
4,शैलेन्‍द्र घिमिरे,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1552,पुरुष,51,,गण्डकी प्रदेश,स्याङजा,1,B.A,राजनीतिक दलमा लामो समय देखी आबद्ध,-,T.U
5,हुकुम बहादुर राना,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,698,पुरुष,55,,गण्डकी प्रदेश,स्याङजा,1,S.L.C,,,Hich School
6,पिरन गुरुङ्ग,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,489,पुरुष,49,,गण्डकी प्रदेश,स्याङजा,1,SLC,,,High School
7,याम बहादुर गुरुङ्ग,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,216,पुरुष,53,,गण्डकी प्रदेश,स्याङजा,1,8 Pass,,,High School
8,रविन्द्र मल्ल,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,176,पुरुष,59,,गण्डकी प्रदेश,स्याङजा,1,+2,,,TU
9,अर्जुन कुमार गुरुङ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,61,पुरुष,57,,गण्डकी प्रदेश,स्याङजा,1,8 pass ,,,High School
10,सोम बहादुर परियार,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,57,पुरुष,42,,गण्डकी प्रदेश,स्याङजा,1,Simple,,,
11,रन बहादुर विश्‍वकर्मा,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,30,पुरुष,54,,गण्डकी प्रदेश,स्याङजा,1,MA,,,TU
12,अशोक विष्ट,स्वतन्त्र,मुढा,25,पुरुष,28,,गण्डकी प्रदेश,स्याङजा,1,M.A,,,T.U
