Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रन्‍जु न्‍यौपाने,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,15455,महिला,30,Elected,बागमती प्रदेश,काठमाडौं,1,स्नातकोत्तर,,,
2,प्रबल  थापा क्षेत्री ,नेपाली काँग्रेस,रुख,6364,पुरुष,42,,बागमती प्रदेश,काठमाडौं,1,स्नातकोत्तर,,,
3,रवीन्द्र मिश्र,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,3972,पुरुष,60,,बागमती प्रदेश,काठमाडौं,1,स्नातकोत्तर,,,
4,मोहन राज रेग्मी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,1618,पुरुष,56,,बागमती प्रदेश,काठमाडौं,1,स्नातक,,,
5,मंग लाल श्रेष्‍ठ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,466,पुरुष,55,,बागमती प्रदेश,काठमाडौं,1,MSC/BE Civil,,,
6,समिर  लामा तामाङ ,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,426,पुरुष,39,,बागमती प्रदेश,काठमाडौं,1,स्नातक,,,
7,मेनुका भण्डारी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,345,महिला,38,,बागमती प्रदेश,काठमाडौं,1,स्नातक,,,
8,कुशल खत्री,स्वतन्त्र,प्रेसर कुकर,84,पुरुष,39,,बागमती प्रदेश,काठमाडौं,1,स्‍नातक,,,
9,सागर जोशी,स्वतन्त्र,ट्रफी,60,पुरुष,40,,बागमती प्रदेश,काठमाडौं,1,M Pharmacy,,,
10,सुरेन्द्र प्रसाद ढकाल,स्वतन्त्र,आरी,52,पुरुष,67,,बागमती प्रदेश,काठमाडौं,1,DR. MA,,,
11,असिम मान सिंह वस्नयात,स्वतन्त्र,त्रिभुज,50,पुरुष,41,,बागमती प्रदेश,काठमाडौं,1,BBS,,,
12,रमिला ज्याख्व(सुवाल),नेपाल मजदुर किसान पार्टी,मादल,45,महिला,41,,बागमती प्रदेश,काठमाडौं,1,स्‍नातक,,,
13,सबिन सिग्देल,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,31,पुरुष,33,,बागमती प्रदेश,काठमाडौं,1,स्‍नाकोत्तर,,,
14,प्रकाश नायजु,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,27,पुरुष,47,,बागमती प्रदेश,काठमाडौं,1,प्रविणता प्रमाणपत्र तह,,,
15,धनराज शाही,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,20,पुरुष,38,,बागमती प्रदेश,काठमाडौं,1,विएड,,,
16,इन्द्र प्रसाद श्रेष्ठ,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),15,पुरुष,65,,बागमती प्रदेश,काठमाडौं,1,डिप्लोमा,,,
17,कुमार शाही,स्वतन्त्र,सारङ्‌गी,15,पुरुष,34,,बागमती प्रदेश,काठमाडौं,1,+2,,,
18,कमल कोइराला,स्वतन्त्र,क्याप,11,पुरुष,39,,बागमती प्रदेश,काठमाडौं,1,स्नातकोत्तर,,,पूर्वाञ्चल विश्व विधालय
19,शम्भु पोखरेल,स्वतन्त्र,केबल कार,7,पुरुष,42,,बागमती प्रदेश,काठमाडौं,1,PHD,,,
20,सुरेन्‍द्र पाण्‍डे,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,5,पुरुष,28,,बागमती प्रदेश,काठमाडौं,1,एसएलसी,,,
21,राज कुमार बजगाई,स्वतन्त्र,क्याल्कुलेटर,3,पुरुष,36,,बागमती प्रदेश,काठमाडौं,1,प्रविणता प्रमाणपत्र तह,,,
22,राज कुमार लिम्‍बु,मितेरी पार्टी नेपाल,घोडा,2,पुरुष,45,,बागमती प्रदेश,काठमाडौं,1,साक्षर,,,
23,कमल सुवेदी,जनादेश पार्टी नेपाल(एकल चुनाव चिन्ह),मोबाइल,2,पुरुष,34,,बागमती प्रदेश,काठमाडौं,1,व्याचलर कर्मश,,,
24,किरण शाह,स्वतन्त्र,व्याडमिन्टन कर्क,2,पुरुष,54,,बागमती प्रदेश,काठमाडौं,1,स्‍नातक,,,
25,रमेश प्रसाद जोशी,स्वतन्त्र,कैंची,2,पुरुष,49,,बागमती प्रदेश,काठमाडौं,1,स्‍नातकोत्तर,,,
26,राजु भुजेल,स्वतन्त्र,टायर,1,पुरुष,40,,बागमती प्रदेश,काठमाडौं,1,साक्षर,,,
27,शान्ती श्रेष्ठ,स्वतन्त्र,क्यामरा,1,महिला,52,,बागमती प्रदेश,काठमाडौं,1,साक्षर,,,
28,संगित बम्म,स्वतन्त्र,खसीको टाउको,1,पुरुष,29,,बागमती प्रदेश,काठमाडौं,1,+2,,,
29,अर्जुन बहादुर शाही,नेपाल जनसेवा पार्टी,सेतो र कालो रङगको जुत्ता,0,पुरुष,27,,बागमती प्रदेश,काठमाडौं,1,स्नातकोत्तर,,,
