Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सस्मित पोखरेल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,30737,पुरुष,29,बागमती प्रदेश,काठमाडौं,5,स्नातक,"पूर्व सहायक विज्ञ, शहरी योजना आयोग, का.म.पा.
पूर्व सल्लाहकार, का.म.पा. प्रमुख",,Kathmandu University
2,प्रदीप पौडेल,नेपाली काँग्रेस,रुख,9159,पुरुष,50,बागमती प्रदेश,काठमाडौं,5,स्नाकोत्तर,पूर्व स्वास्थ्य मन्त्री,,त्रिभुवन विश्वविद्यालय
3,इश्वर पोखरेल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4701,पुरुष,72,बागमती प्रदेश,काठमाडौं,5,स्नातक,,,त्रिभुवन विश्‍वविद्यालय
4,कमल थापा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1922,पुरुष,70,बागमती प्रदेश,काठमाडौं,5,स्नाकोत्तर,,,
5,श्रीराम गुरुङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,1228,पुरुष,43,बागमती प्रदेश,काठमाडौं,5,स्नाकोत्तर,15 years in Media in Hospitality Management.,,पूर्वाञ्‍चल विश्‍वविद्यालय
6,अमित थापा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,769,पुरुष,38,बागमती प्रदेश,काठमाडौं,5,+2,,,
7,कल्पना शर्मा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,574,महिला,48,बागमती प्रदेश,काठमाडौं,5,"स्नाकोत्तर (LL.M., MPA)",,,"त्रिभुवन विश्‍वविद्यालय, पूर्वाञ्‍चल विश्‍वविद्यालय"
8,शाेभा लाल श्रेष्ठ,नेपाल मजदुर किसान पार्टी,मादल,574,पुरुष,54,बागमती प्रदेश,काठमाडौं,5,SLC,,,
9,नीशा अधिकारी,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,91,महिला,39,बागमती प्रदेश,काठमाडौं,5,स्नाकोत्तर,"कार्यक्रम प्रस्तोता, कान्तिपुर टिभी
चलचित्र निर्माता
सामाजिक, राजनीतिक अभियान्ता",,त्रिभुवन विश्‍वविद्यालय
10,धर्म डंगोल,स्वतन्त्र,क्याप,77,पुरुष,49,बागमती प्रदेश,काठमाडौं,5,स्नाकोत्तर,,,त्रिभुवन विश्‍वविद्यालय
11,ज्ञानेन्द्र प्रजापती,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,71,पुरुष,42,बागमती प्रदेश,काठमाडौं,5,SLC,,,
12,विष्‍णु श्रेष्‍ठ,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,50,पुरुष,48,बागमती प्रदेश,काठमाडौं,5,आई.कम.,,,त्रिभुवन विश्‍वविद्यालय
13,अशोक विक्रम जि सी,राष्ट्रिय जनमोर्चा,गिलास,49,पुरुष,54,बागमती प्रदेश,काठमाडौं,5,"MA., M.Sc.",,,Delhi University
14,स्याम काजी सुनुवार,संयुक्त नागरिक पार्टी,गितार,45,पुरुष,36,बागमती प्रदेश,काठमाडौं,5,प्रविणता तह,,,
15,बसन्त राज कुँवर,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,33,पुरुष,66,बागमती प्रदेश,काठमाडौं,5,स्नातक,,,त्रिभुवन विश्‍वविद्यालय
16,क्यामुना मिजार,स्वतन्त्र,त्रिभुज,29,महिला,38,बागमती प्रदेश,काठमाडौं,5,SLC,,,
17,निमेस खनाल,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,27,पुरुष,53,बागमती प्रदेश,काठमाडौं,5,स्नातक,,, त्रिभुवन विश्‍वविद्यालय
18,युवराज काफ्ले,नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी)(एकल चुनाव चिन्ह),कोदालो,16,पुरुष,54,बागमती प्रदेश,काठमाडौं,5,स्नातक (आर्युवेद),चिकित्सा क्षेत्र,,
19,दानिन्द्र जोशी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,15,पुरुष,49,बागमती प्रदेश,काठमाडौं,5,स्नातक,,,त्रिभुवन विश्‍वविद्यालय
20,कोमल  पौडेल,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,10,महिला,64,बागमती प्रदेश,काठमाडौं,5,एम्.फिल. (अन्तर्राष्ट्रिय सम्बन्ध),,,त्रिभुवन विश्‍वविद्यालय
21,मिरा गुरुङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,6,महिला,46,बागमती प्रदेश,काठमाडौं,5,+2,,,
22,रमेश तामाङ,त्रिमूल नेपाल,ओदान,6,पुरुष,47,बागमती प्रदेश,काठमाडौं,5,,,,
23,ढक बहादुर कार्की,स्वतन्त्र,कैंची,6,पुरुष,55,बागमती प्रदेश,काठमाडौं,5,स्नाकोत्तर,"सामाजिक, शिक्षण, पर्यटन क्षेत्रको अनुभव",,त्रिभुवन विश्‍वविद्यालय
24,रमिता सापकोटा,स्वतन्त्र,सेलरोटी,5,महिला,37,बागमती प्रदेश,काठमाडौं,5,स्नाकोत्तर,,,त्रिभुवन विश्‍वविद्यालय
25,प्रभा श्रेष्‍ठ,स्वतन्त्र,क्यामरा,3,महिला,46,बागमती प्रदेश,काठमाडौं,5,प्रविणता तह,,,
