Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,शिशिर  खनाल ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,27916,पुरुष,47,बागमती प्रदेश,काठमाडौं,6,स्नातकोत्तर,"सर्वोदय श्रमदान अभियान (श्रीलंका, नेपाल, अमेरिका) २००५-२०१२
टिच फर नेपाल २०१२-२०१९
नीतिशाला/तुलसीपुर उपमहानगरपालिका २०२३-२०२५
प्रतिनिधि सभा सदस्य काठमाडौं ६ २०२३-२०२५",नेपाली राजनीतिमा एक प्रखर नेताको रुपमा चिनिने शिशिर खनाल राष्ट्रिय स्वतन्त्र पार्टीका केन्द्रीय सचिवालय सदस्य पार्टीको विदेश विभाग र पर्यटन विभागका प्रमुख खनालले २०७९ को संघिय निर्वाचनमा प्रतिनिधि सभा सदस्यको रुपमा विजय हुनु भएको उहाँले अमेरिकाको यूनिभर्सिटि अफ वीसकन्सिन म्याडिसनबाट सार्वजनिक नीतिमा स्नातकोत्तर र वज्रपोर्ट विश्वविद्यालयबाट अन्तराष्ट्रिय राजनीतिक अर्थ शास्त्रमा स्नातक गर्नु भएको छ ।,"University of Wishconsin, USA"
2,कृष्‍ण वानियाँ क्षेत्री,नेपाली काँग्रेस,रुख,6667,पुरुष,61,बागमती प्रदेश,काठमाडौं,6,प्रविणता पत्र तह,समाजसेवा,,त्रिभुवन विश्वविद्यालय
3,अमन कुमार मास्के,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4518,पुरुष,53,बागमती प्रदेश,काठमाडौं,6,स्नातकोत्तर,,,त्रिभुवन विश्वविद्यालय
4,उद्धव राज भेटुवाल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1321,पुरुष,36,बागमती प्रदेश,काठमाडौं,6,स्नातकोत्तर,,,
5,हेम लाल शर्मा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1260,पुरुष,56,बागमती प्रदेश,काठमाडौं,6,Master,"क) २०७० मा काठमाडौं क्षेत्र नं. ६ को उम्मेदवार
ख) स्ववियू सभापती २०६५, त्रि.वि.
ग) राजनैतिक क्षेत्रमा संलग्न
घ) विभिन्न सामाजिक संघ संस्थामाा आवध्दता",,Tribhuvan University
6,वारिस धरेल,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,857,पुरुष,36,बागमती प्रदेश,काठमाडौं,6,स्नातक,पर्यटन क्षेत्रमा लामो अनुभव,देशको समग्र विकास र समुन्नतिको लागि मेरो योगदान रहने छ।,
7,लवली थापा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,448,महिला,42,बागमती प्रदेश,काठमाडौं,6,"MBBS, Master","समाजिक अभियान्ता 
व्यवसाय",म सामाजिक अभियान्ता भएर २०७५ साल देखि देश र विदेशमा रहेका नेपालीहरुलाई सहयोग गर्दै आइरहेको छु ।,"Noron Sichuan Medical College,LISU"
8,इन्द्र कुमारी बज्राचार्य,नेपाल मजदुर किसान पार्टी,मादल,230,महिला,47,बागमती प्रदेश,काठमाडौं,6,SLC,,सामाजिक कार्यकर्ता एवंम महिला अधिकार कर्मी,SLC Board
9,सुक्र बहादुर लामा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,24,पुरुष,44,बागमती प्रदेश,काठमाडौं,6,slc,"समाजसेवा
",विगत लामो समय देखि समाज सेवा र राजनीतिमा मैले विभिन्न उलेखनिय काम गरेको छु । समाजमा शिक्षा स्वास्थ्य र रोजगारी सृजना गर्नमा मैले ठुलो भुमिका खेलेको छु । ,shakti Ma vi Nuwakot
10,जगत प्रसाद रेग्मी,राष्ट्रिय जनमोर्चा,गिलास,20,पुरुष,50,बागमती प्रदेश,काठमाडौं,6,12 pass,२०५० साल देखि निरन्तर समाज सेवामा समर्पित,,
11,गिरी राज अर्याल,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,19,पुरुष,50,बागमती प्रदेश,काठमाडौं,6,educated,,,
12,रोम लाल गिरी,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,18,पुरुष,61,बागमती प्रदेश,काठमाडौं,6,Bsc. Ag.,"२१ वर्ष कृषि बैंकमा जागिर
१३ वर्ष नेपाल भ्रमण
(आत्मनिर्भर र योजनामा नेपाल) लेखक",,IAASTV
13,अम्‍विका कुमारी कार्की,स्वतन्त्र,सारङ्‌गी,17,महिला,47,बागमती प्रदेश,काठमाडौं,6,SLC,समाज सेवा,,प्रयागेश्वर मा. वि. रामेछाप
14,सफलता बोगटी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,8,महिला,31,बागमती प्रदेश,काठमाडौं,6,स्नातकोत्तर,,,त्रिभुवन विश्वविद्यालय
15,सरोज थपलिया,स्वतन्त्र,सिरिन्ज,7,पुरुष,37,बागमती प्रदेश,काठमाडौं,6,स्नातकोत्तर,,,त्रिभुवन विश्वविद्यालय
16,उद्धव प्रसाद मिश्र,प्रजातान्त्रिक पार्टी नेपाल,रथ,6,पुरुष,49,बागमती प्रदेश,काठमाडौं,6,IA,"राजनीतिक
चलचित्र्
टेलिचलचित्र
निर्देशक",देशको वर्तमान स्थिति देख्दा साह्रै भावुक हुन मन लाग्छ कसरी यो देश विकासको लागि इमान्दारीबाट देश र जनताको काम गर्न सकिन्छ भन्ने चिन्तामा अहोरात्र खटिरहेको हुँदा स्वच्छ तरिकाले सबैको मान्य हुने काम गर्न चाहन्छु ।  ,Amarjyoti Ma vi Nuwakot
17,बल बहादुर के.सी,स्वतन्त्र,क्यामरा,6,पुरुष,68,बागमती प्रदेश,काठमाडौं,6,slc,भूमि सम्बन्धी अनुभव,,ग्राम सेवा मा. वि.
18,इन्दिरा थापा,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),5,महिला,61,बागमती प्रदेश,काठमाडौं,6,SLC,समाजसेवा,,
19,संगम अर्याल,स्वतन्त्र,क्याप,5,पुरुष,30,बागमती प्रदेश,काठमाडौं,6,स्नातक,समाज सेवा,,
20,राम कुमार घिमिरे,स्वतन्त्र,कैंची,3,पुरुष,56,बागमती प्रदेश,काठमाडौं,6,Master,,"राष्ट्र राष्ट्रियता सवालमा काम गरेको अनुभव ।
सामाजिक कार्य सकृियता । ",Trichandra
