Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,मधु कुमार चौलागाई,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,29618,पुरुष,56,Elected,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,स्नातक,,,
2,गुणराज मुक्तान,नेपाली काँग्रेस,रुख,19166,पुरुष,40,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,M phill,,,
3,दिन नाथ गौतम,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,14184,पुरुष,62,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,+२,,,
4,अमि तामाङ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,13814,पुरुष,44,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,+2,,,
5,योगेन्द्र  लामा ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,7403,पुरुष,38,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1, SLC,,,
6,नवराज सत्याल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,699,पुरुष,44,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,स्नातक,,,
7,धिराज लामा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,287,पुरुष,45,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,slc,,,
8,राजेश कुमार श्रेष्ठ,स्वतन्त्र,आँखीझ्याल,169,पुरुष,60,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,+2,,,
9,कमल बहादुर  लामा (तामाङ) ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,156,पुरुष,41,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,slc,,,slc board
10,कान्छा तामाङ,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,149,पुरुष,47,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,स्नातक,,,
11,रत्‍न लामा,संयुक्त नागरिक पार्टी,गितार,114,पुरुष,41,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,+२,,,
12,जीवन लामा,स्वतन्त्र,क्याप,94,पुरुष,37,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,+२,,,
13,मान बहादुर तामाड,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,71,पुरुष,45,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,simple,,,
14,ज्ञानेन्द्र कुमार श्रेष्ठ,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,56,पुरुष,46,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,+2,,,
15,राजु  तामाङ ,नेपाल मजदुर किसान पार्टी,मादल,52,पुरुष,26,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,,,,
16,बिनोद लामा,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,50,पुरुष,43,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,bachlor,,,tu
17,भरत तामाङ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,35,पुरुष,34,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,slc,,,slc board
18,युवराज चौलागाई,स्वतन्त्र,ड्रम सेट,7,पुरुष,55,,बागमती प्रदेश,काभ्रेपलाञ्चोक,1,I.Com,,,
