Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,बदन कुमार भण्डारी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,53344,पुरुष,33,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,+2,पत्रकारिता/ ब्यवसायी,ई कमर्स विधयेक निर्माणमा भुमिका निभाउने,HSEB
2,मधु प्रसाद आचार्य,नेपाली काँग्रेस,रुख,17868,पुरुष,61,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,स्नातकोत्तर,पार्टीको पोलिसि र ट्रनिङमा,राम्रो दलको निर्माण गरी राम्रो देशको भविश्य कोर्ने,TU
3,अशोक कुमार ब्याञ्जु श्रेष्ठ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,13940,पुरुष,54,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,BA,पुर्व मेयर,सुखि नेपाल खुसी नेपाली अभि‍‍यान,TU
4,बसुन्धरा हुमागाई,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,8107,पुरुष,55,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,I A,प्रदेश सभा सदस्य,लोकतन्त्रलाई मजबुद बनाउन,TU
5,ज्योत्सना सैजु,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,3749,महिला,41,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,BA कम्प्युटर इन्जिनियरिङ ,ब्यवसाय,सुशासन समृद्धि र सामाजिक न्याय,KU
6,रन्जीव श्रेष्ठ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1125,पुरुष,43,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,स्नातकोत्तर,दैवि प्रकोप सम्वन्धी,राजसंस्था सहितको हिन्दु राष्ट्र स्थापना प्रदेश खारेजी ,TU
7,मुना तामाङ,नेपाल मजदुर किसान पार्टी,मादल,428,महिला,37,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,MA,शिक्षण,निर्वाचित भएमा देश र जनता प्रति समर्पित भइ काम गर्ने, TU
8,टंक बहादुर लामा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,400,पुरुष,45,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,स्नातकोत्तर,शिक्षण,समाजसेवा /राष्ट्र निर्माण,TU
9,कान्छा राम घिसिङ,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,146,पुरुष,37,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,साधारण लेखपढ,कृषी,देश र जनताको लागि निस्वार्थ निरन्तर समाज रुपान्तरण समाजबादी ब्यवस्था गर्नको लागि,-
10,रमेश बहादुर घर्ति क्षेत्री,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,144,पुरुष,35,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,साक्षर,कृषी,समाज सेवा,-
11,आसा तामाङ,स्वतन्त्र,भँगेरा,59,महिला,29,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,+2,राजनीती,जनताको सेवा,HSEB
12,सूवर्ण विक्रम थापा,राष्ट्रिय जनमोर्चा,गिलास,39,पुरुष,54,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,SLC,सामाजिक सेवा,सामाजिक सेवा र सुशासन,SLC BOard
13,रकम लामा (तामाङ),"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,32,पुरुष,40,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,SLC,ब्यवसाय,पहिचान कायम गराउने,SLC Board
14,राजन थापा,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,32,पुरुष,56,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,I L,पर्यटन,भ्रष्टाचार निर्मुल गरी सुशासन कायम गर्न,TU
15,डिल्लीप्रसाद न्यौपाने,स्वतन्त्र,मसी,31,पुरुष,38,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,स्नातकोत्तर,कानून ब्यवसायी,आम जनताको चाहानलाई सम्वोधन गर्ने,TU
16,उमेश तामाङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,28,पुरुष,28,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,९ कक्षा,सेफ,जनताको सेवा गर्ने,श्री कालिका माध्यामिक विद्यालय
17,उमेस थापा,स्वतन्त्र,ठेकी,26,पुरुष,30,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,स्नातक,पत्रकारिता,समाजसेवा,TU
18,सीता राम मैनाली,स्वतन्त्र,खसीको टाउको,21,पुरुष,42,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,SLC,कृषी,समाज सेवा,SLC Board
19,सुकमान  तामाड,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,15,पुरुष,54,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,साधारण लेखपढ,बैदेशिक रोजगारी,नेपाल रिपक्लिक गर्ने,-
20,विष्णु कुमार श्रेष्‍ठ,स्वतन्त्र,प्रेसर कुकर,13,पुरुष,52,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,साक्षर,कृषी,समाज सेवा,-
21,गणेश प्रसाद अधिकारी,स्वतन्त्र,आँखीझ्याल,11,पुरुष,36,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,स्नातक,--,सामाजिक सेवा,TU
22,हरी बहादुर थापा,मितेरी पार्टी नेपाल,घोडा,10,पुरुष,41,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,साक्षर,पुर्व प्रहरी ,समाजसेवा,-
23,लेनिन  विष्‍ट ,स्वतन्त्र,कप र प्लेट,8,पुरुष,38,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,MA,सामाजिक अभियन्ता/पुर्व वालसेना,समाज सेवा,TU
24,केशवराज तिमल्सिना,स्वतन्त्र,आँप,4,पुरुष,28,बागमती प्रदेश,काभ्रेपलाञ्चोक,2,SLC,सामाजिक कार्य,समाज सेवा,SLC BOARD
