Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,हरि ढकाल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,58208,पुरुष,42,Elected,बागमती प्रदेश,चितवन,1,स्नातक,,,रत्नराज्य लक्ष्मि क्याम्पस
2,राजेन्द्र प्रसाद वुर्लाकोटी,नेपाली काँग्रेस,रुख,13033,पुरुष,66,,बागमती प्रदेश,चितवन,1,10,,,
3,दावा दोर्जे लामा,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10899,पुरुष,66,,बागमती प्रदेश,चितवन,1,साक्षर,,,
4,कृष्ण राज पन्त,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4081,पुरुष,61,,बागमती प्रदेश,चितवन,1,विध्यावारिधी,सरकारको अर्थ निति सम्बन्धमा 15 वर्ष भन्दा बढी अनुभव हासिल ,,JNU DILHI
5,वलराम शर्मा खनाल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2302,पुरुष,56,,बागमती प्रदेश,चितवन,1,I Com,,,सहिद स्मृिति बहुमुखि क्याम्पस
6,अनिल तामाङ,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1165,पुरुष,50,,बागमती प्रदेश,चितवन,1,साक्षर,,,
7,धन बहादुर गुरुङ्ग,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,903,पुरुष,62,,बागमती प्रदेश,चितवन,1,साक्षर,,,
8,संजय रिजाल,स्वतन्त्र,चेसगोटी,784,पुरुष,30,,बागमती प्रदेश,चितवन,1,10,,,नेसनल बोरडिङ स्कुल
9,प्रेम लाल चौधरी,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,123,पुरुष,42,,बागमती प्रदेश,चितवन,1,एसएलसी ,,,नेपाल मा वि
10,सीता देवी क्षेत्री,राष्ट्रिय जनमोर्चा,गिलास,91,महिला,50,,बागमती प्रदेश,चितवन,1,साक्षर,,,
11,गणेश बहादुर श्रेष्ठ,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,87,पुरुष,48,,बागमती प्रदेश,चितवन,1,10,,,भण्डारा मा वि
12,बिकाश कामी,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,76,पुरुष,25,,बागमती प्रदेश,चितवन,1,12,,,सप्तगण्डकी
13,अर्जुन प्रजा,नेपाल मजदुर किसान पार्टी,मादल,60,पुरुष,29,,बागमती प्रदेश,चितवन,1,12,,,Bal Kumari College
14,इश्‍वरी गुरुड‍्ग,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,24,महिला,45,,बागमती प्रदेश,चितवन,1,साक्षर,,,
15,हरि प्रसाद रेग्मी,स्वतन्त्र,क्यामरा,20,पुरुष,57,,बागमती प्रदेश,चितवन,1,10,,,जनजाग्रिति मा वि
16,दुर्गा दत्त अर्याल,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,18,पुरुष,57,,बागमती प्रदेश,चितवन,1,10,,,Patana
17,अजय ठाकुर हजाम,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,16,पुरुष,39,,बागमती प्रदेश,चितवन,1,12,,,
18,सौरव कडेल,स्वतन्त्र,पेन्चिस,9,पुरुष,28,,बागमती प्रदेश,चितवन,1,12,,,डेजि स्कुल
