Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रवि लामिछाने,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,54402,पुरुष,50,बागमती प्रदेश,चितवन,2,प्रमाणपत्र तह,,,रत्न राज्य लक्ष्मी क्याम्पस
2,मिना कुमारी खरेल,नेपाली काँग्रेस,रुख,14564,महिला,54,बागमती प्रदेश,चितवन,2,स्नातकोत्तर,,,त्रिचन्द्र कलेज
3,अस्‍मिन घिमिरे,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6992,पुरुष,38,बागमती प्रदेश,चितवन,2,स्नातकोत्तर,,,सप्तगण्डकी क्याम्पस
4,प्रताप गुरुङ्ग,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4969,पुरुष,44,बागमती प्रदेश,चितवन,2,slc,,,ज्ञानमार्ग  मा.वि.
5,मिलन थापा मगर,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,751,पुरुष,34,बागमती प्रदेश,चितवन,2,डिग्री,,,पुर्व अञ्‍चलक विश्व विद्यालय
6,जगदिश्वर अधिकारी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,707,पुरुष,57,बागमती प्रदेश,चितवन,2,,,,
7,इन्द्र बहादुर स्याङतान,स्वतन्त्र,चेसगोटी,590,पुरुष,48,बागमती प्रदेश,चितवन,2,10+2,,,
8,नि.कुमार पाख्रीन,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,533,पुरुष,60,बागमती प्रदेश,चितवन,2,slc,,,
9,ऋषा गोले,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,191,महिला,28,बागमती प्रदेश,चितवन,2,एमवियस,,,वीरेन्द्र बहुमुखी क्याम्पस
10,देवी शर्मा,राष्ट्रिय जनमोर्चा,गिलास,123,महिला,47,बागमती प्रदेश,चितवन,2,,,,
11,दिर्शना कुमारी शाही,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,106,महिला,38,बागमती प्रदेश,चितवन,2,slc,,,शक्तिखोर मा.वि.
12,निर्मला कुमारी ठाकुर,जनमत पार्टी,लाउड स्पिकर,104,महिला,32,बागमती प्रदेश,चितवन,2,slc,,,
13,प्रकाश बहादुर पाण्‍डे,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,58,पुरुष,42,बागमती प्रदेश,चितवन,2,,,,
14,शोभा बासुकला,नेपाल मजदुर किसान पार्टी,मादल,32,महिला,36,बागमती प्रदेश,चितवन,2,,,,
15,शक्ति राज गुरुङ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,23,पुरुष,55,बागमती प्रदेश,चितवन,2,,,,
16,कमान सिंह चौधरी,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,22,पुरुष,62,बागमती प्रदेश,चितवन,2,,,,
17,देवी कुमारी मगर,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,16,महिला,40,बागमती प्रदेश,चितवन,2,,,,
18,सुवास महतो,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),13,पुरुष,34,बागमती प्रदेश,चितवन,2,10+2,,,
19,कृष्ण प्रसाद चापागाई,स्वतन्त्र,हेल्मेट,12,पुरुष,30,बागमती प्रदेश,चितवन,2,,,,
20,शंकु प्रसाद जैसी,स्वतन्त्र,मसी,12,पुरुष,37,बागमती प्रदेश,चितवन,2,master,,,
21,रवि कुमाल,स्वतन्त्र,दूरबिन,5,पुरुष,29,बागमती प्रदेश,चितवन,2,slc,,,
22,प्रविन सापकोटा,स्वतन्त्र,क्यामरा,4,पुरुष,31,बागमती प्रदेश,चितवन,2,स्नातक,,,वीरेन्द्र बहुमुखी क्याम्पस
23,प्रताप सिंह तमाङ्ग,स्वतन्त्र,केराको काइँयो,3,पुरुष,63,बागमती प्रदेश,चितवन,2,,,,
