Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,सोविता गौतम,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,59277,महिला,30,बागमती प्रदेश,चितवन,3,स्नातकोत्तर (कानून),,,
2,रेणु दाहाल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,20615,महिला,49,बागमती प्रदेश,चितवन,3,,,,
3,टेक प्रसाद गुरुङ्ग,नेपाली काँग्रेस,रुख,8344,पुरुष,77,बागमती प्रदेश,चितवन,3,SLC,,,
4,शंकर राज थपलिया,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,5004,पुरुष,56,बागमती प्रदेश,चितवन,3,,,,
5,दिपक थापा (मगर),राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1226,पुरुष,47,बागमती प्रदेश,चितवन,3,स्नातक,,,
6,तोजमान गुरुङ्ग,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,650,पुरुष,38,बागमती प्रदेश,चितवन,3,SLC,,,
7,डम्बर बहादुर तमाङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,414,पुरुष,50,बागमती प्रदेश,चितवन,3,SLC,,,
8,इन्द्र माया पौडेल,स्वतन्त्र,चेसगोटी,398,महिला,58,बागमती प्रदेश,चितवन,3,स्नातक तह,,,विरेन्द्र बहुमुखी कलेज
9,बुध्दी राज तमाङ,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,246,पुरुष,43,बागमती प्रदेश,चितवन,3,+2,,,
10,आशिक प्रसाद महतो,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,110,पुरुष,36,बागमती प्रदेश,चितवन,3,स्नातक,,,
11,टेक बहादुर तामाङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,93,पुरुष,50,बागमती प्रदेश,चितवन,3,SLC,,,
12,रञ्जना पौडेल,स्वतन्त्र,ट्रफी,85,महिला,45,बागमती प्रदेश,चितवन,3,,,,
13,कृष्ण बहादुर के् सी,राष्ट्रिय जनमोर्चा,गिलास,62,पुरुष,67,बागमती प्रदेश,चितवन,3,SLC,,,
14,जित बहादुर बि.क.,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,29,पुरुष,48,बागमती प्रदेश,चितवन,3,,,,
15,सेती माया तमाङ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,27,महिला,55,बागमती प्रदेश,चितवन,3,,,,
16,हरि माया  महतो,"नागरिक उन्मुक्ति पार्टी, नेपाल(एकल चुनाव चिन्ह)",चकिया (जाँतो),18,महिला,36,बागमती प्रदेश,चितवन,3,,,,
17,मधु माया अधिकारी,स्वतन्त्र,पानीको जार,17,महिला,54,बागमती प्रदेश,चितवन,3,कक्षा 10,,,
18,बिजन गुरुङ, राष्ट्रिय नागरिक पार्टी,चङ्‌गा,12,पुरुष,30,बागमती प्रदेश,चितवन,3,SLC,,,
19,बद्री लक्ष्मी कवां,नेपाल मजदुर किसान पार्टी,मादल,8,महिला,49,बागमती प्रदेश,चितवन,3,प्रमाण पत्र तह,,,
20,थमन सिग सुनार,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,7,पुरुष,38,बागमती प्रदेश,चितवन,3,एस एल सि,,,
21,पार्वती पौडेल(काफ्ले),स्वतन्त्र,कैंची,7,महिला,52,बागमती प्रदेश,चितवन,3,,,,
22,रोल बहादुर गुरुङ्ग,स्वतन्त्र,ठेकी,5,पुरुष,37,बागमती प्रदेश,चितवन,3,,,,
23,कृष्ण प्रसाद अधिकारी,स्वतन्त्र,गमबुट,4,पुरुष,36,बागमती प्रदेश,चितवन,3,+2,,,
