Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,जगदीश खरेल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,32376,पुरुष,36,बागमती प्रदेश,दोलखा,1,Bachelor,,,Nepal
2,पार्वत गुरुङ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,17449,पुरुष,57,बागमती प्रदेश,दोलखा,1,Bachelor,,,Nepal
3,विशाल खड्का,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,13065,पुरुष,44,बागमती प्रदेश,दोलखा,1,bachelor,,,nepal
4,अजय बाबु शिवाकोटी,नेपाली काँग्रेस,रुख,12298,पुरुष,46,बागमती प्रदेश,दोलखा,1,Master,,,Nepal
5,निमा दोर्जे लामा,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,1663,पुरुष,43,बागमती प्रदेश,दोलखा,1,10+2,,,nepal
6,प्रविण कुमार थोकर/तामाङ्ग,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1010,पुरुष,44,बागमती प्रदेश,दोलखा,1,Bachelor,,,Nepal
7,कर्ण बहादुर फुयाल,स्वतन्त्र,चेसगोटी,388,पुरुष,42,बागमती प्रदेश,दोलखा,1,sLc,,,Nepal
8,हेप बहादुर थामी,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,381,पुरुष,56,बागमती प्रदेश,दोलखा,1,under slc,,,Nepal
9,शुदर्शन कार्की,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,356,पुरुष,37,बागमती प्रदेश,दोलखा,1,Bachelor,,,Nepal
10,राज कुमार लामिछाने,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,165,पुरुष,33,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
11,विनोद घिमिरे,स्वतन्त्र,ट्रफी,160,पुरुष,30,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
12,कुमार तामाङ्ग,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,103,पुरुष,39,बागमती प्रदेश,दोलखा,1,10+2,,,nepal
13,गोपाल नेपाली,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,64,पुरुष,31,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
14,कमल खत्री,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,60,पुरुष,34,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
15,विमला  श्रेष्ठ ,नेपाल मजदुर किसान पार्टी,मादल,40,महिला,53,बागमती प्रदेश,दोलखा,1,slc,,,nepal
16,माधव कोईराला खत्री,स्वतन्त्र,केबल कार,33,पुरुष,37,बागमती प्रदेश,दोलखा,1,slc,,,Nepal
17,पुर्ण बहादुर शिवाकोटी,स्वतन्त्र,पानीको जार,30,पुरुष,76,बागमती प्रदेश,दोलखा,1,साधारण,,,
18,सुक्र तमाङ्ग,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,24,पुरुष,44,बागमती प्रदेश,दोलखा,1,under slc,,,
19,सन्देश कोइराला,स्वतन्त्र,टायर,20,पुरुष,26,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
20,हरि बोल बस्नेत,स्वतन्त्र,फर्सी,15,पुरुष,49,बागमती प्रदेश,दोलखा,1,10+2,,,nepal
21,सुरेस उप्रेती,स्वतन्त्र,झोला,14,पुरुष,38,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
22,सर्मीला  फुयाल चौलागाई,स्वतन्त्र,कैंची,13,महिला,28,बागमती प्रदेश,दोलखा,1,slc,,,Nepal
23,प्रकाश दहाल,स्वतन्त्र,हजारी,12,पुरुष,38,बागमती प्रदेश,दोलखा,1,slc,,,nepal
24,संगीता श्रेष्‍ठ,स्वतन्त्र,प्रेसर कुकर,12,महिला,39,बागमती प्रदेश,दोलखा,1,साधारण,,,
25,सुदिप  खड्‍का ,स्वतन्त्र,पेट्रोल पम्प,10,पुरुष,33,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
26,रमिला सार्की,स्वतन्त्र,क्याप,9,महिला,50,बागमती प्रदेश,दोलखा,1,साधारण ,,,
27,पुस्कर कुमार अधिकारी,स्वतन्त्र,हेल्मेट,8,पुरुष,38,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
28,महेन्द्र खड्का,स्वतन्त्र,क्याल्कुलेटर,8,पुरुष,25,बागमती प्रदेश,दोलखा,1,Bachelor,,,Nepal
29,भरत  कुमार  श्रेष्ठ,स्वतन्त्र,पंखा,7,पुरुष,39,बागमती प्रदेश,दोलखा,1,Bachelor,,,Nepal
30,रामकाजी लामा,स्वतन्त्र,जीप,7,पुरुष,49,बागमती प्रदेश,दोलखा,1,Under SLC,,,Nepal
31,रिम बहादुर ओली,स्वतन्त्र,आँखीझ्याल,5,पुरुष,33,बागमती प्रदेश,दोलखा,1,10+2,,,Nepal
32,लुक दोर्जे शेर्पा,स्वतन्त्र,पाण्डा,5,पुरुष,33,बागमती प्रदेश,दोलखा,1,10,,,Nepal
33,सुमन थापा,स्वतन्त्र,क्यामरा,5,पुरुष,48,बागमती प्रदेश,दोलखा,1,slc,,,nepal
