Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,आसिका तामाङ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,39128,महिला,37,Elected,बागमती प्रदेश,धादिङ,1,नर्सिङ,,,ग्रिनतारा नर्सिङ क्याम्पस
2,भुमि प्रसाद त्रिपाठी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15032,पुरुष,60,,बागमती प्रदेश,धादिङ,1,MA/BL,"अधिवक्‍ता, संसदिय अनुभव ","ने.क.पा एमाले धादिङको अध्यक्ष 12 वर्ष, 11 औं राष्ट्रिय महादिवेशनबाट केन्द्रिय सदस्य निर्वाचित भई हाल धादिङ जिल्ला इन्चार्ज",TU
3,राजेन्द्र प्रसाद पाण्डे,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,14709,पुरुष,69,,बागमती प्रदेश,धादिङ,1,स्‍नातकोत्तर,2078 वागमती प्रदेश मुख्यमन्त्री ,2079 मा प्रतिनिधी सभामा निर्वाचित भई काम गरेको।,त्रिभुवन विस्व विद्यालय
4,कृष्ण रिजाल,नेपाली काँग्रेस,रुख,10080,पुरुष,43,,बागमती प्रदेश,धादिङ,1,स्‍नातकोत्तर,उप-प्राध्यापक,,नेपाल संस्कृत विश्‍व विद्यालय
5,सुमन तामाङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,468,पुरुष,32,,बागमती प्रदेश,धादिङ,1,HSEB,..,,कामना इन्टरनेशनल क्याम्पस
6,गिता प्रसाद आचार्य,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,425,पुरुष,69,,बागमती प्रदेश,धादिङ,1,SLC,,,महाकाली मा.वि.तसर्पु
7,श्‍यामराजा पाण्डे,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,274,पुरुष,56,,बागमती प्रदेश,धादिङ,1,स्‍नातक,"राजनितिक, सामाजिक, पत्रकारिता, उद्योगी/व्यावसायी",,TU
8,निरन्‍जन संजेल,स्वतन्त्र,ट्रफी,176,पुरुष,44,,बागमती प्रदेश,धादिङ,1,10,,,महेन्द्रोदय मा.वि. धुनिवेशी
9,प्रलाद सिलवाल,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,147,पुरुष,30,,बागमती प्रदेश,धादिङ,1,HSEB,,,हैटोडा स्कुल अफ म्यानेजमेन्ट
10,कुमार बहादुर तामाङ,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,116,पुरुष,53,,बागमती प्रदेश,धादिङ,1,SLC,समाज सेवा,,महेधर्म मा.वि. धुनिवेशी -3
11,डम्‍बर बहादुर लिम्‍बु,संयुक्त नागरिक पार्टी,गितार,60,पुरुष,61,,बागमती प्रदेश,धादिङ,1,10 कक्षा,,,
12,जालपा देवि रेग्‍मी,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,58,महिला,42,,बागमती प्रदेश,धादिङ,1,HSEB,,,मछिन्द्र मा.वि. धुनिवेशी
13,राजन प्रसाद रेग्मी,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,49,पुरुष,50,,बागमती प्रदेश,धादिङ,1,SLC,राजनिति,संघिय लोकतान्त्रिक गणतन्त्र स्थापनाको लागि अहम भुमिका,मछिन्द्र मा.वि. धुनिवेशी-7
14,राजेश भट्टराई,स्वतन्त्र,मुढा,38,पुरुष,25,,बागमती प्रदेश,धादिङ,1,स्नातकोत्तर,,,शंकरदेव
15,तपन उप्रेती,स्वतन्त्र,माना पाथी,23,पुरुष,49,,बागमती प्रदेश,धादिङ,1,master,,,TU
16,चन्द्र देवी बासुकला (लासिवा),नेपाल मजदुर किसान पार्टी,मादल,17,महिला,54,,बागमती प्रदेश,धादिङ,1,,,,
17,केशव प्रसाद रुपाखेती,स्वतन्त्र,काउली,17,पुरुष,44,,बागमती प्रदेश,धादिङ,1,HSEB,,,काठमाण्डौ क्याम्पस
18,हरि भण्डारी,स्वतन्त्र,नट बोल्ट,10,पुरुष,36,,बागमती प्रदेश,धादिङ,1,HSEB,,,बागेश्‍वरी मा.वि.
19,दिपक तामाङ,स्वतन्त्र,क्यामरा,4,पुरुष,46,,बागमती प्रदेश,धादिङ,1,SLC,,,कुशादेवी मा.वि. काभ्रे
20,धर्मराज नेपाल,स्वतन्त्र,कैंची,4,पुरुष,54,,बागमती प्रदेश,धादिङ,1,SLC,सामाजिक काम,,nepal army school
21,धुर्वप्रसाद पाण्‍डे,स्वतन्त्र,आँखीझ्याल,4,पुरुष,40,,बागमती प्रदेश,धादिङ,1,स्‍नातक,,,जनमैत्री बहुमुखी क्याम्पस
22,अर्जुन प्रसाद अर्याल,स्वतन्त्र,आँप,2,पुरुष,53,,बागमती प्रदेश,धादिङ,1,HSEB,,,सरस्वती क्याम्पस काठमाण्डौ
23,कृष्‍ण प्रसाद अधिकारी,स्वतन्त्र,क्याल्कुलेटर,0,पुरुष,35,,बागमती प्रदेश,धादिङ,1,MBS,,,शंकरदेेव
