Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,वोध नारायण श्रेष्‍ठ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,26145,पुरुष,56,बागमती प्रदेश,धादिङ,2,MS,,,
2,रमेश प्रसाद धमला,नेपाली काँग्रेस,रुख,20279,पुरुष,59,बागमती प्रदेश,धादिङ,2,स्नातक,"राजनितिक तथा सामाजिक क्षेत्रमा निरन्तर क्रियाशील, विगत ३० वर्षदेखि पर्यटन क्षेत्रमा सेवा र शिक्षा, स्वास्थ्य, बालबालिका र सामुदायिक क्षेत्रमा सेवा",,त्रिभुवन विश्वविद्यालय
3,धन बहादुर घले,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10084,पुरुष,51,बागमती प्रदेश,धादिङ,2,,,,
4,राम बहादुर भण्डारी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9036,पुरुष,66,बागमती प्रदेश,धादिङ,2,कक्षा १० पास,,,
5,सुरेश रिजाल,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1504,पुरुष,49,बागमती प्रदेश,धादिङ,2,+2,,,
6,अमिर तामाङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,886,पुरुष,39,बागमती प्रदेश,धादिङ,2,10+2,व्यापार,,VS niketan
7,दिपक अधिकारी,स्वतन्त्र,चेसगोटी,502,पुरुष,40,बागमती प्रदेश,धादिङ,2,10,,निस्वार्थ देशको लागि उपयुक्त नीति र नेतृत्व दिन चाहन्छु।,
8,सन्तोष कुमार तमाङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,462,पुरुष,34,बागमती प्रदेश,धादिङ,2,,"क.अध्यक्ष-मंगोल नेशनल अर्गनाइजेशन जिल्ला सथा धादिङ २०७५२०७७
ख. बागमती प्रदेश सदस्य- मंगोल नेशनल अर्गनाइजेशन बागमती प्रदेश समाज २०७७-२०८०
केन्द्रिय सदस्य-मंगोल नेशनल अर्गनाईजेशन केन्द्रिय सदस्य २०८०-२०८२",मैले गंगोल नेशनल अर्गनाइजेशनको चुनाव चिन्ह कुखुराको भालेमा भोट दिएर जनताले जिताउनु भयो भने म जनताकको आवश्यक अनुसारको विकाश म १००% गर्ने छु। र संसदको रोष्ट्रमबाट मंगोल नेशनल अर्गनाइजेशनको नाम संसारकै ईतिहासमा लेख्ने छ। सम्पुर्णलाई भोट खुकुराको भाले हाल्नु भनेर अनुरोध गर्दछु।,
9,टासी लामा तामाङ,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,269,पुरुष,52,बागमती प्रदेश,धादिङ,2,10+2,,,
10,विर बहादुर तामाङ,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,142,पुरुष,46,बागमती प्रदेश,धादिङ,2,माध्यमिक तह,,,निरञ्जाना माध्यमिक विद्यालय
11,कृष्ण बहादुर घतानी,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,121,पुरुष,36,बागमती प्रदेश,धादिङ,2,+2,राजनितिकमा लागेको १५ वर्ष।,,
12,देवेन्द्र गैरे,संयुक्त नागरिक पार्टी,गितार,116,पुरुष,43,बागमती प्रदेश,धादिङ,2,दिक्षीत ,"शिक्षा, कृषि, प्रचारक",,JSN College
13,सुसन तामाङ,मितेरी पार्टी नेपाल,घोडा,39,पुरुष,40,बागमती प्रदेश,धादिङ,2,,,"शिक्षा, स्वास्थ्य, यातायात कृषि, पर्यटनलाइ प्रर्वद्धन गर्ने, युवाहरुलाई रोजगार दिने, सडक पिच, गुम्बा बनाउने चर्च बनाउने, भ्युटावर सञ्चालन गर्ने, समाजमा परेकोलाई उद्धार गर्ने, एम्बुलेन्स किनदिने, जलविद्युत उत्पादन गर्ने, गोरेटो बाटो बनाउने, रोजगार सृजना गर्ने, महिला अधिकार सम्मान गर्ने, समाजलाई सूधार गर्ने, जाड रक्सी खान बन्द गर्ने, सरसफाईमा ध्यान दिने, मानव वेचविखन रोक्न महिला आर्थिक सम्पन्न गर्ने, Wifi दिने, खेलकुदलाई प्रोत्साहन गर्ने, मेलमिलापको कार्यक्रम गर्ने।",
14,प्रिया भट्ट,नेपाल मजदुर किसान पार्टी,मादल,35,महिला,29,बागमती प्रदेश,धादिङ,2,+2,शिक्षण पेशा,,प्रभात मा.वि.
15,रुद्र बहादुर गेलाङ मगर,स्वतन्त्र,मुढा,27,पुरुष,52,बागमती प्रदेश,धादिङ,2,स्नातक(व्यवस्थापन),"शिक्षण सेवा-१३ वर्ष(स्थायी),
१८ वर्ष राजनितिक(संघर्ष)","देशको साँस्कृतिक, आर्थिक, पर्यटकिय, वेरोजगारी संस्या भ्रष्टचारी नियन्त्रण, कृषि, शिक्षा स्वास्थ्य, सडक, शान्ति सुरक्षा तथा हरेक बिषयहरुको वयवस्थापन र प्रणालीमा मोडेल, Change अभियान। तथा समस्या केन्द्रित सोचकको अन्त्य केन्द्रित सोचको विकाश।","सरस्वती बहुमुखी क्याम्पस, ठमेल।"
16,नोरमान तामाङ,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,18,पुरुष,49,बागमती प्रदेश,धादिङ,2,SLC,"गहना निर्माण""सुन चाँदी""",आम नेपाली जनतालाई रोजगार दिलाउन र दक्ष अनुरुप आप्नो कर्तव्य पालना गर्नका लागि नेपालको संविधान र निर्वाचन आयोगको आचार संहिता अनुरुप काम गर्ने।,मुक्राप देवी मा.वि.
