Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,विक्रम तिमिल्सिना,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,22609,पुरुष,43,Elected,बागमती प्रदेश,नुवाकोट,1,बिध्यावारिधी,"अध्यापन, अनुसन्धान, मिडिया, समाजसेवा",पृथक राजनितिक अभ्यास,"ग्रिफित विश्वविध्यालय, अष्ट्रेलिया"
2,प्रकाश शरण महत,नेपाली काँग्रेस,रुख,18597,पुरुष,66,,बागमती प्रदेश,नुवाकोट,1,बिध्यावारिधी,"अर्थमन्त्री, उर्जामन्त्री योजना आयोगको सदस्य",-,युलिनियस युनिभर्सिटी अमेरिका
3,हित बहादुर तामाङ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,13377,पुरुष,62,,बागमती प्रदेश,नुवाकोट,1,एस.एल.सी,"40 सालदेखीको राजनिति, पुर्व मन्त्री",,slc
4,बद्री मैनाली,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,8932,पुरुष,49,,बागमती प्रदेश,नुवाकोट,1,स्नातक,"ब्यापार, व्यवसाय, समाजसेवा ।",-,टि.यु.
5,अमित तमाङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,2063,पुरुष,39,,बागमती प्रदेश,नुवाकोट,1,आठ कक्षा,ब्यवसाय,-,-
6,बिमल थापा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,756,पुरुष,60,,बागमती प्रदेश,नुवाकोट,1,प्लस टु,पुर्व जिल्ला विकास समितिको सदस्य,-,टि.यु.
7,दावा फेन्‍जु लामा / तामाङ,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,288,पुरुष,35,,बागमती प्रदेश,नुवाकोट,1,एस एल सि,bisiness,-,slc
8,कुमार राना मगर,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,159,पुरुष,32,,बागमती प्रदेश,नुवाकोट,1,प्लस टु,राजनिति,-,उच्च शिक्षा परिषद
9,महेन्द्र तामाङ,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,156,पुरुष,36,,बागमती प्रदेश,नुवाकोट,1,प्लस टु पास,राजनिति समाज सेवा,समाजवाद दारा नेपाली जनताको अधिकार सुनिश्चित गर्ने,टि.यु.
10,राजन गौतम,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,88,पुरुष,44,,बागमती प्रदेश,नुवाकोट,1,साक्षर,-,-,-
11,संजिव गुरुङ,स्वतन्त्र,मसी,63,पुरुष,43,,बागमती प्रदेश,नुवाकोट,1,साधारण लेखपढ,श्रम गर्न जानेको,-,-
12,रविन्द्र डंगोल,नेपाल मजदुर किसान पार्टी,मादल,50,पुरुष,39,,बागमती प्रदेश,नुवाकोट,1,स्नाकोत्तर,शिक्षण पेशा,सुशासन र भष्टाचार निवारण पहिलो प्राथमिकता,टि.यु.
13,राजु थापा,स्वतन्त्र,व्याडमिन्टन कर्क,49,पुरुष,36,,बागमती प्रदेश,नुवाकोट,1,प्लस टु,बैदेशिक व्यापार,-,टि.यु.
14,रामेश्‍वर भण्डारी,स्वतन्त्र,क्याप,29,पुरुष,50,,बागमती प्रदेश,नुवाकोट,1,स्नाकोत्तर,शिक्षण पेशा र वकालत,सुशासन र कानूनी पक्षमा सुधार गर्नुपर्ने।,टि.यु.
15,होम बहादुर राई,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,24,पुरुष,50,,बागमती प्रदेश,नुवाकोट,1,साक्षर,समाजसेवी,-,-
16,माधव थापा,स्वतन्त्र,मुढा,20,पुरुष,36,,बागमती प्रदेश,नुवाकोट,1,एस.एल.सी,-,-,slc
17,चेपे तामाङ,स्वतन्त्र,क्यामरा,14,महिला,48,,बागमती प्रदेश,नुवाकोट,1,साधारण लेखपढ,समाजसेवी,-,-
18,विबेक सिलवाल,मितेरी पार्टी नेपाल,घोडा,6,पुरुष,41,,बागमती प्रदेश,नुवाकोट,1,slc पास, कराते खेलाडी,,slc
