Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,रुकेश रन्जित,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,33436,पुरुष,46,बागमती प्रदेश,भक्तपुर,1,एम.बि.ए,"सेल्स म्यानेजर 
स्वरोजगार व्यापार तथा  व्यवसाय",सामाजिक गतिविधि गरी पहिचान स्थापित गर्ने,विनायका मिसन युनिभर्सिटि
2,प्रेम सुवाल,नेपाल मजदुर किसान पार्टी,मादल,28147,पुरुष,65,बागमती प्रदेश,भक्तपुर,1,एम.बि.एस. अध्ययन,"भक्तपुर नगरपालिका वडा नं. ९ वडा अध्यक्ष, २०३९ र २०४४
भक्तपुर न.पा. प्रमुख २०५४
संविधान सभा सदस्य, २०७०
प्रतिनिधिसभा सदस्य, २०७४ र २०७९",देश र जनताको निःस्वार्थ सेवा गर्ने। ,"शंकरदेव क्याम्पस, मीनभवन क्याम्पस, थापाथली क्याम्पस, बासु मावि, शारदा मावि"
3,किरण न्यौपाने,नेपाली काँग्रेस,रुख,4282,पुरुष,51,बागमती प्रदेश,भक्तपुर,1,एल.एल.बि.,कानुन व्यवसायी,.................,नेपाल ल क्याम्पस
4,सोम प्रसाद मिश्र,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,3721,पुरुष,62,बागमती प्रदेश,भक्तपुर,1,स्नातकोत्तर,"चाँगुनारायण नगरपालिकाको नगर प्रमुख (२०७४)
अध्यापन
सामाजिक अभियान
विविध",....................,त्रिभुवन विश्ववविद्यालय
5,भरत बहादुर खड्का,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2472,पुरुष,63,बागमती प्रदेश,भक्तपुर,1,स्नातकोत्तर(एम.पि.ए.),नेतृत्वकर्ता ,मिति २०३९ साल देखि २०७६ सालसम्म सैनिक सेवामा रही जर्नेल पदबाट अवकाश प्राप्त गत प्रतिनिधिसभाको निवार्चनमा पनि भक्तपुर क्षेत्र नं. १ बाट उम्मेदवार दर्ता गरी चुनावमा सरिक भएको। ,त्रिभुवन विश्वविद्यालय
6,हरि राम लवजू,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1177,पुरुष,52,बागमती प्रदेश,भक्तपुर,1,एल एल एम/ एम ए,कानून व्यवसायी अधिवक्ता भई २६ वर्ष ,राष्ट्रिय स्वाधिनता रक्षा सुशासन र सामाजिक न्याय सहित जनताको न्यायपूर्ण आवाजलाई व्यवहारमा अन्तउतार्ने उम्मेदवारी दिएको छ। ,पुर्वाञ्चल विश्वविद्यालय/ त्रिभुवन विश्वविद्यालय
7,रमेश बल्ल,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,558,पुरुष,44,बागमती प्रदेश,भक्तपुर,1,10+2 ,फर्निचर,.............,भक्तपुर बहुमुखी क्याम्पस
8,इश्‍वरी प्रसाद पैयानी,राष्ट्रिय जनमोर्चा,गिलास,334,पुरुष,63,बागमती प्रदेश,भक्तपुर,1,10 कक्षा उर्तीण,.........................,.........................,.............
9,बिष्णु हरि न्हिसुतु,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,310,पुरुष,47,बागमती प्रदेश,भक्तपुर,1,एस.एल.सी.,लेखापढी कानूनी ,......................,शिक्षा निकेतन मा.वि. भक्तपुर
10,श्याम सुन्दर शिल्पकार,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,124,पुरुष,46,बागमती प्रदेश,भक्तपुर,1,slc,..................,....................,विद्यार्थी निकेतन
11,रबि खाइजु,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,95,पुरुष,47,बागमती प्रदेश,भक्तपुर,1,एस.एल.सी,.....................,.......................,"सुर्योदय माध्यमिक विद्यालय, भक्तपुर"
12,चन्द्र मान कोजू,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,68,पुरुष,47,बागमती प्रदेश,भक्तपुर,1,एस.एल.सी. उत्तीर्ण,"सवारी चालक
कृषि उत्पादन 
सामाजिक संस्थामा नेतृत्वदायी भुमिका (समाजसेवा)",........................,सुर्यदय मा.वि. भक्तपुर
13,सुरेश कोजु,स्वतन्त्र,व्याडमिन्टन कर्क,43,पुरुष,35,बागमती प्रदेश,भक्तपुर,1,स्नातक ,हस्तकालको अनुभव,..................................,बागेश्वरी कलेज
14,देबेन्द्र ठाकुर,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,38,पुरुष,50,बागमती प्रदेश,भक्तपुर,1,slc,.................,....................,रौतहट पथरा बुधराम मा.वि.
15,दामोदर काफ्ले,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,26,पुरुष,48,बागमती प्रदेश,भक्तपुर,1,आई.ए. उत्तीर्ण,"व्यवसायिक 
सामाजिक संघसंस्था
३५ वर्षको राजनैतिक अमनुभव
",.....................,भक्तपुर क्याम्पस भक्तपुर
16,राजु श्रेष्ठ,स्वतन्त्र,मुढा,25,पुरुष,33,बागमती प्रदेश,भक्तपुर,1,स्नातक,........................,....................,त्रिभुवन विश्वविद्यालय
17,राजेश्वरी प्रजापती ,स्वतन्त्र,क्यामरा,23,महिला,29,बागमती प्रदेश,भक्तपुर,1,स्नातकतह,.................,..................,कादम्बरी ममोरियल कलेज
18,बाल कृष्ण खाइतु,स्वतन्त्र,पन्चिङ मेसिन,21,पुरुष,49,बागमती प्रदेश,भक्तपुर,1,मा.वि.,....................,............................,मा.वि.
19,दिपक कुमार पोखरेल,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,17,पुरुष,49,बागमती प्रदेश,भक्तपुर,1,एल.एल.बि.,..................,........................,त्रिभुवन विश्वविद्यालय
20,सुजिता बुढाथोकी,स्वतन्त्र,पानीको जार,12,महिला,37,बागमती प्रदेश,भक्तपुर,1,bachelor,.............,...................,.......
21,दशरथ थापा,स्वतन्त्र,त्रिभुज,11,पुरुष,52,बागमती प्रदेश,भक्तपुर,1,मा. वि.,"राजनीतिक
सामाजिक",.....................,सरस्वती विद्यागृह
22,सुदिप न्यौपाने,स्वतन्त्र,कैंची,9,पुरुष,44,बागमती प्रदेश,भक्तपुर,1,साधारण,"राजनीति
कृषि
व्यवसायी
सामाजिक सेवा ","विशंगती भ्रष्टाचारको विरुद्धमा संशक्त रुपमा आवाज उठाउने शिक्षा र स्वास्थ्यमा अग्रिम पहल कदमी, समाज सेवामा निरन्तर लागिरहने, खानेपानी, बिजुली, बपोदर महिलाको व्यवस्थापन आदि इत्यादि जस्ता देश परिवर्तनको निम्ती आफ्नो शरिरमा एक थोपा रगत हुन्जेल लागि रहने प्रतिबद्धता वा सम्पूर्ण चा.न.पा. ३ भक्तपुरको निम्ती लागि रहने छु। ",चा.न.पा. ३ भक्तपुर
23,विष्‍णु राम दुमरु,स्वतन्त्र,आँप,7,पुरुष,55,बागमती प्रदेश,भक्तपुर,1,कक्षा 9,..................,.....................,.................
24,पुन्य राम सुवाल,स्वतन्त्र,आँखीझ्याल,6,पुरुष,32,बागमती प्रदेश,भक्तपुर,1,7 pass ,.............................,...........................,..................................
