Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,राजीव खत्री,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,42334,पुरुष,39,बागमती प्रदेश,भक्तपुर,2,,,,
2,महेश बस्नेत,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,10996,पुरुष,51,बागमती प्रदेश,भक्तपुर,2,,,,
3,कविर राणा,नेपाली काँग्रेस,रुख,8401,पुरुष,58,बागमती प्रदेश,भक्तपुर,2,,,,
4,रमेश व‌ैद्य,नेपाल मजदुर किसान पार्टी,मादल,3753,पुरुष,39,बागमती प्रदेश,भक्तपुर,2,,,,
5,राम प्रसाद सापकोटा,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1323,पुरुष,45,बागमती प्रदेश,भक्तपुर,2,,,,
6,बिक्रम थापा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1224,पुरुष,37,बागमती प्रदेश,भक्तपुर,2,,,,
7,अर्जुन बासु,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,665,पुरुष,54,बागमती प्रदेश,भक्तपुर,2,,,,
8,जित राम लामा,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,619,पुरुष,51,बागमती प्रदेश,भक्तपुर,2,,,,
9,आनन्द कार्की,स्वतन्त्र,ट्रफी,175,पुरुष,41,बागमती प्रदेश,भक्तपुर,2,,,,
10,प्रकाश राज ढुङ्गेल,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,46,पुरुष,60,बागमती प्रदेश,भक्तपुर,2,,,,
11,साजन ढकाल,स्वतन्त्र,व्याडमिन्टन कर्क,41,पुरुष,32,बागमती प्रदेश,भक्तपुर,2,,,,
12,जन्मदेव जैसी,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,30,पुरुष,47,बागमती प्रदेश,भक्तपुर,2,,,,
13,जानुका पाठक ,नेपाल जनसेवा पार्टी,सेतो र कालो रङगको जुत्ता,23,महिला,33,बागमती प्रदेश,भक्तपुर,2,,,,
14,राजेश बाडे,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,20,पुरुष,38,बागमती प्रदेश,भक्तपुर,2,,,,
15,वाल कृष्ण थापा,स्वतन्त्र,दूरबिन,18,पुरुष,54,बागमती प्रदेश,भक्तपुर,2,,,,
16,अर्चना भट्टराई,स्वतन्त्र,त्रिभुज,17,महिला,54,बागमती प्रदेश,भक्तपुर,2,,,,
17,पेम्बा घले,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,15,पुरुष,27,बागमती प्रदेश,भक्तपुर,2,,,,
18,नबिन श्रेष्‍ठ,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,12,पुरुष,44,बागमती प्रदेश,भक्तपुर,2,,,,
19,देवकुमारी साह,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,10,महिला,48,बागमती प्रदेश,भक्तपुर,2,,,,
20,मनोज लामा,स्वतन्त्र,खाम,8,पुरुष,38,बागमती प्रदेश,भक्तपुर,2,,,,
21,सविन महत,स्वतन्त्र,मुढा,8,पुरुष,39,बागमती प्रदेश,भक्तपुर,2,,,,
22,सुर्वण थापा,स्वतन्त्र,सिरिन्ज,8,पुरुष,48,बागमती प्रदेश,भक्तपुर,2,,,,
23,राकेश श्रेष्‍ठ,त्रिमूल नेपाल,ओदान,7,पुरुष,47,बागमती प्रदेश,भक्तपुर,2,,,,
24,लोक कृष्ण दाहाल,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,5,पुरुष,34,बागमती प्रदेश,भक्तपुर,2,,,,
25,ओम कृष्ण कुटु,स्वतन्त्र,झोला,3,पुरुष,36,बागमती प्रदेश,भक्तपुर,2,,,,
26,रेणु श्रेष्ठ,स्वतन्त्र,आँखीझ्याल,3,महिला,40,बागमती प्रदेश,भक्तपुर,2,,,,
27,नविन कुमार महत,स्वतन्त्र,क्यामरा,2,पुरुष,39,बागमती प्रदेश,भक्तपुर,2,,,,
28,लक्ष्मी वास्तोला पौडेल,स्वतन्त्र,आँप,2,महिला,40,बागमती प्रदेश,भक्तपुर,2,,,,
29,अनिता भट्टराई,स्वतन्त्र,बाकस,1,महिला,45,बागमती प्रदेश,भक्तपुर,2,,,,
30,प्रदिप कुमार रुपाखेती,स्वतन्त्र,चुलेसी,1,पुरुष,43,बागमती प्रदेश,भक्तपुर,2,,,,
31,मधु प्रकाश साहुखल,स्वतन्त्र,स्टुल,1,पुरुष,40,बागमती प्रदेश,भक्तपुर,2,,,,
32,श्याम कृष्ण धुख्वा,स्वतन्त्र,कैंची,1,पुरुष,54,बागमती प्रदेश,भक्तपुर,2,,,,
