Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,प्रकाश गौतम,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,36033,पुरुष,37,Elected,बागमती प्रदेश,मकवानपुर,1,स्नातक,समाज सेवा र होटल व्यवसाय,,त्रिभुवन विश्वविद्यालय
2,महालक्ष्मी उपाध्याय(डिना),नेपाली काँग्रेस,रुख,14038,महिला,61,,बागमती प्रदेश,मकवानपुर,1,स्‍नातकोत्तर,-,,त्रि.वि.
3,रामेश्‍वर राना मगर,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,12783,पुरुष,63,,बागमती प्रदेश,मकवानपुर,1,प्रविणता प्रमाणपत्र तह,"समाजसेवा, पूर्व जिविस सभापति समेत",,त्रिभुवन विश्वविद्यालय
4,बिजय गौतम,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,10788,पुरुष,40,,बागमती प्रदेश,मकवानपुर,1,स्‍नात्तकोतर,,,त्रि.वि.
5,सुरेन्द्र लामा,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,10205,पुरुष,36,,बागमती प्रदेश,मकवानपुर,1,Computer Engineering,IT sector,,T.U.
6,दिपक बहादुर सिंह,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,4574,पुरुष,64,,बागमती प्रदेश,मकवानपुर,1,स्‍नातक,"जि.वि.स.सभापती
जलस्रोत उर्जा र सिंचाई राज्यमन्त्री
2079 प्रतिनिधि सभा निर्वाचित सदस्य",,त्रि.वि.
7,विद्या श्रेष्‍ठ (महर्जन),श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1024,महिला,49,,बागमती प्रदेश,मकवानपुर,1,स्नातकोतर,-,-,त्रिभुवन विश्वविद्यालय
8,टिका प्रसाद चौलागाई,स्वतन्त्र,चेसगोटी,534,पुरुष,64,,बागमती प्रदेश,मकवानपुर,1,SLC,-,-,BOARD OF NEPAL
9,युवराज लामा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,359,पुरुष,43,,बागमती प्रदेश,मकवानपुर,1,SLC,-,-,Board of Nepal
10,महेश नेपाली,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,108,पुरुष,38,,बागमती प्रदेश,मकवानपुर,1,साधरण लेखपढ,समाजसेवा र जनवादी गायक,-,-
11,रंजना सुवाल मगजु,नेपाल मजदुर किसान पार्टी,मादल,51,महिला,54,,बागमती प्रदेश,मकवानपुर,1,साक्षर,-,-,-
12,तेज प्रसाद उप्रेती,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,50,पुरुष,41,,बागमती प्रदेश,मकवानपुर,1,स्नातक,"NRN Korea उपाध्यक्ष
नेपाल जेसिज राष्ट्रिय उपाध्यक्ष समेत",,त्रिभुवन विश्वविद्यालय
13,मठु पुलामी मगर,स्वतन्त्र,फिरफिरे,30,पुरुष,51,,बागमती प्रदेश,मकवानपुर,1,साधारण लेखपढ,-,,-
14,दिपक सिन्तान,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),28,पुरुष,34,,बागमती प्रदेश,मकवानपुर,1,साधारण लेखपढ,कृषि,,
15,रुपक लामा,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,24,पुरुष,47,,बागमती प्रदेश,मकवानपुर,1,12 पास,-,-,HSEB
16,अमिक परियार,स्वतन्त्र,काउली,23,पुरुष,46,,बागमती प्रदेश,मकवानपुर,1,10+2,कृषी पशुपंक्षी तथा मत्स्य पालन तथा विक्री केन्द्र र गार्मेन्ट व्यवसाय,,Board of Nepal
17,प्रमिला कुमारी खतिवडा,स्वतन्त्र,ठेकी,23,महिला,42,,बागमती प्रदेश,मकवानपुर,1,+2 pass,-,-,HSEB
18,ज्ञान सागर लामा,स्वतन्त्र,कैंची,19,पुरुष,55,,बागमती प्रदेश,मकवानपुर,1,SLC,-,-,Board of Nepal
19,राजाराम बोगटी,स्वतन्त्र,जीप,9,पुरुष,38,,बागमती प्रदेश,मकवानपुर,1,10,"2074 सालमा मेयर उम्मेदवार
2070 समानुपाती सभासद् उम्मेदवार
",,Board of Nepal
20,अमर दंगाल,स्वतन्त्र,खसीको टाउको,8,पुरुष,41,,बागमती प्रदेश,मकवानपुर,1,12,"नेपाली सेनामा १८ वर्ष काम गरेको, संघिय क्षेत्रमा १५ वर्ष काम गरेको र व्यवसायिक क्षेत्रमा ५ वर्ष लगातार ५ वर्ष काम गरेको",-,नेपाल वोर्ड
21,सुशिला सुवेदी,स्वतन्त्र,झोला,8,महिला,39,,बागमती प्रदेश,मकवानपुर,1,स्‍नातक,सामाजिक कार्यमा संलग्‍नता समेत,,त्रि.वि.
22,राकेश कुमार शर्मा,स्वतन्त्र,आँप,5,पुरुष,55,,बागमती प्रदेश,मकवानपुर,1,S.L.C,"प्रशासनिक, समाजसेवासमेत  सम्बन्धी अनुभव",-,Board of Nepal
23,राज कुमार खड्का,स्वतन्त्र,प्रेसर कुकर,1,पुरुष,42,,बागमती प्रदेश,मकवानपुर,1,10+2,-,-,HSEB
