Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,मोहन आचार्य,नेपाली काँग्रेस,रुख,10656,पुरुष,48,Elected,बागमती प्रदेश,रसुवा,1,,,,
2,बसन्त भट्ट,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,5571,पुरुष,31,,बागमती प्रदेश,रसुवा,1,स्नातक,,,
3,प्रेम बहादुर तामाङ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4688,पुरुष,47,,बागमती प्रदेश,रसुवा,1,,,,
4,मान बहादुर तमाङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,1453,पुरुष,44,,बागमती प्रदेश,रसुवा,1,,,,
5,माधव प्रसाद लामिछाने,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,953,पुरुष,48,,बागमती प्रदेश,रसुवा,1,,,,
6,विनोद थिङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,474,पुरुष,26,,बागमती प्रदेश,रसुवा,1,+2,,,
7,हरि प्रसाद घिमिरे,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,57,पुरुष,68,,बागमती प्रदेश,रसुवा,1,,,,
8,होम प्रसाद आचार्य,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,50,पुरुष,40,,बागमती प्रदेश,रसुवा,1,,,,
9,सागर लामा,स्वतन्त्र,हेल्मेट,14,पुरुष,32,,बागमती प्रदेश,रसुवा,1,,,,
10,चित्र कुमारी देवकोटा,स्वतन्त्र,कैंची,12,महिला,39,,बागमती प्रदेश,रसुवा,1,,,,
11,दावा साङ्वो तामाङ,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,10,पुरुष,38,,बागमती प्रदेश,रसुवा,1,,,,
12,दावा मिङमर तामाङ्ग,स्वतन्त्र,पाण्डा,3,पुरुष,35,,बागमती प्रदेश,रसुवा,1,,,,
