Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,कृष्ण हरी बुढाथोकी,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,24808,पुरुष,44,Elected,बागमती प्रदेश,रामेछाप,1,Ph.D,वैकिङ्ग वित्तिय क्षेत्र सामाजिक मानवीय भूमिका अध्ययन अनुसन्धान,समग्र रामेछाप विकासमा भूमिका खेल्नेछु । विशेषतः निति निर्माण जनताको आवाज समावेश गर्नेछु ,त्रिभुवन वि.
2,माधव प्रसाद ढुंगेल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,17609,पुरुष,48,,बागमती प्रदेश,रामेछाप,1,स्नाकोत्तर,,,त्रि.वि.
3,राम चन्द्र खडका,नेपाली काँग्रेस,रुख,16307,पुरुष,65,,बागमती प्रदेश,रामेछाप,1,स्नातक,शिक्षण सामाजिक राजिनितिक,समग्रमा रामेछाप जिल्लाको प्रतिनिधि सभामा उम्मेदवार रहेको छु र आगामी दिनमा प्रतिनिधि सभा सदस्य निर्वाचित भई रामेछाप जिल्ला र समग्र नेपालको सेवा गर्न चाहन्छु,त्रि.वि.
4,श्याम कुमार श्रेष्‍ठ,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,13354,पुरुष,54,,बागमती प्रदेश,रामेछाप,1,M.A.,2048 सालदेखी राजनितिक सामाजिक क्षेत्रमा निरन्तर क्रियाशिल पार्टी केन्द्रीय कमिटिमा 13 वर्ष विभिन्न जिम्मेवारीमा रहेको,,
5,दिप बहादुर योञ्जन,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,7201,पुरुष,42,,बागमती प्रदेश,रामेछाप,1,+2,समाजसेवी सामाजिक अभियान्ता,,
6,ढाल बहादुर खपाङ्गी मगर,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1336,पुरुष,37,,बागमती प्रदेश,रामेछाप,1,स्नातक,,यदि मैले विजय प्राप्त गरेवापत नेपाल सरकारको प्रचलित नियममा रहि नेपाल र नेपाली जनताको लागी सदैव साथ रहनेछु ,
7,गोरे तामाङ,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,543,पुरुष,60,,बागमती प्रदेश,रामेछाप,1,साधारण,निर्माण व्यवसायी,,
8,अर्जुन बहादुर थापा मगर,राष्ट्रिय जनमोर्चा,गिलास,161,पुरुष,51,,बागमती प्रदेश,रामेछाप,1,साक्षर,,,
9,यमुन बहादुर बस्नेत,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,156,पुरुष,50,,बागमती प्रदेश,रामेछाप,1,slc,कानूनी राजनैतिक सामाजिक अनुभव,,गौरी शंकर
10,बिरेन्द्र श्रेष्ठ,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,115,पुरुष,43,,बागमती प्रदेश,रामेछाप,1,MAA-Phd M.Ed,व्यवसाय समाजसेवा शिक्षणपेशा IT,,त्रि.वि.
11,अरुण कार्की,स्वतन्त्र,केबल कार,98,पुरुष,29,,बागमती प्रदेश,रामेछाप,1,+2,,,श्री गौरीशंकर मा.वि.
12,यम बहादुर मोक्तान,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,75,पुरुष,35,,बागमती प्रदेश,रामेछाप,1,llm,,,
13,सन्तोष घिमिरे,स्वतन्त्र,त्रिभुज,61,पुरुष,34,,बागमती प्रदेश,रामेछाप,1,+2,,समृद्ध खुशी नेपाल बनाउने संकल्प भ्रष्ट्राचार मुक्त संस्थाको लागी,
14,केशरी श्रेष्‍ठ,नेपाल मजदुर किसान पार्टी,मादल,56,महिला,57,,बागमती प्रदेश,रामेछाप,1,वि.एड,,,
15,विनोद घिसिङ,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,56,पुरुष,35,,बागमती प्रदेश,रामेछाप,1,एस एल सि,,,
16,पदम बहादुर तामाङ,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,36,पुरुष,46,,बागमती प्रदेश,रामेछाप,1,एस एल सी,शिक्षा राजनिति,देश र जनतालाई समृद्ध नेपाल सुखि नेपाली भएको हेर्न चाहने,
17,बाबु काँजी खड्का,स्वतन्त्र,कैंची,22,पुरुष,40,,बागमती प्रदेश,रामेछाप,1,साधारण,,,
