Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,बुद्ध रत्न महर्जन,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,23373,पुरुष,47,बागमती प्रदेश,ललितपुर,1,वि.ए.,इन्जिनियरिङ्ग/सामाजिक संस्थामा काम गरेको,-,रत्न राज्य क्याम्पस
2,उदय शंशेर ज.ब.राणा,नेपाली काँग्रेस,रुख,13520,पुरुष,56,बागमती प्रदेश,ललितपुर,1,एम.ए.,पूर्व राज्यमन्त्री,-,"Cornell University, New York, USA)"
3,चेत नाथ संजेल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6546,पुरुष,60,बागमती प्रदेश,ललितपुर,1,एस.एल.सी.,प्रदेश सभा सदस्य,-,"सरस्वती मा.वि., ठेचो"
4,पदम कुमार लामा,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,2686,पुरुष,41,बागमती प्रदेश,ललितपुर,1,एस.एल.सी.,-,-,महेन्द्र मा.वि.
5,सुनिल महर्जन,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1964,पुरुष,50,बागमती प्रदेश,ललितपुर,1,स्नातक,-,-,एभरेष्‍ट थ्योलोजिकल इन्टिच्यूट
6,सजिना कार्की,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,652,महिला,35,बागमती प्रदेश,ललितपुर,1,-,-,-,-
7,गौतम थापा,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,221,पुरुष,44,बागमती प्रदेश,ललितपुर,1,साधारण,-,-,-
8,भिमसेन घिमिरे,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,173,पुरुष,44,बागमती प्रदेश,ललितपुर,1,आई.ए.,सामाजिक कार्य/हाइड्रो संचालन,-,पाटन संयुक्त क्याम्पस
9,सनोज महत,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,83,पुरुष,41,बागमती प्रदेश,ललितपुर,1,स्नातक,उद्‍मसिलता,-,"सेठ आनन्दराम जयप्रिया कलेज, कोलकत्ता, भारत"
10,सुरेश मार्पा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,59,पुरुष,38,बागमती प्रदेश,ललितपुर,1,८,-,-,महाङ्काल मा.वि.
11,सरिता गोसाई  देसार,नेपाल मजदुर किसान पार्टी,मादल,52,महिला,45,बागमती प्रदेश,ललितपुर,1,एस.एल.सी.,-,-,आदर्श आजाद मा.वि.
12,गणेश बहादुर वल तामाङ,स्वतन्त्र,कैंची,39,पुरुष,70,बागमती प्रदेश,ललितपुर,1,आई.कम,सामाजिक अभियन्ता,-,"महेन्द्ररत्न क्याम्पस, ताहाचल"
13,राधा कृष्ण बस्नेत,स्वतन्त्र,व्याडमिन्टन कर्क,39,पुरुष,42,बागमती प्रदेश,ललितपुर,1,१२,सामाजिक कार्य,-,उदय खर्क मा.वि.
14,अशोक थापा,स्वतन्त्र,केबल कार,35,पुरुष,42,बागमती प्रदेश,ललितपुर,1,१२,-,-,जनजागृति मा.वि.
15,रोहित कुमार बास्तोला,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,33,पुरुष,37,बागमती प्रदेश,ललितपुर,1,स्नातक,-,-,त्रिभुवन विश्वविद्यालय
16,संजय घिसिङ तामाङ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,33,पुरुष,38,बागमती प्रदेश,ललितपुर,1,12,संघ संस्थाको कार्य समितिमा रही कार्य गरेको,-,मगर गाउँ मा.वि.
17,सरोज कुमार बिष्ट,स्वतन्त्र,मुढा,17,पुरुष,36,बागमती प्रदेश,ललितपुर,1,स्नातक,विभिन्‍न संघ संस्थाहरूमा काम गरेको,-,त्रि.वि.
18,महाविर स्याङतान तामाङ,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,16,पुरुष,48,बागमती प्रदेश,ललितपुर,1,साधारण,होटल व्यवसायी,-,-
19,अमृत नाथ बजगाई,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,11,पुरुष,47,बागमती प्रदेश,ललितपुर,1,आई.ए.,"शिक्षण, व्यपार",जनताको सर्वाङ्गिण हितमा समर्पित,"नमुना मछिन्द्र क्याम्पस, लगनखेल"
20,धर्मराज बोहरा,स्वतन्त्र,क्याप,11,पुरुष,34,बागमती प्रदेश,ललितपुर,1,पि.एच.डि.,अध्ययन/अनुसन्धान,जनतासँग सहकार्य गरी विकासलाई अग्रगामी दिशा दिने,त्रि.वि.
21,विशाल तामाङ,स्वतन्त्र,झोला,9,पुरुष,46,बागमती प्रदेश,ललितपुर,1,साधारण,-,-,-
22,सर्मिला बुढाथोकी,स्वतन्त्र,तिलहरी,9,महिला,34,बागमती प्रदेश,ललितपुर,1,१२,-,-,वंशगोपाल उच्च मा.वि.
23,डाल नाथ तिमल्सिना,स्वतन्त्र,क्यामरा,6,पुरुष,50,बागमती प्रदेश,ललितपुर,1,एस.एस.सि.,स्थानीय जनप्रतिनिधि,-,महाङ्काल मा.वि.
24,किरण महर्जन,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,3,पुरुष,61,बागमती प्रदेश,ललितपुर,1,१०,-,-,बालकुमारी मा.वि.
25,भरत दुलाल,स्वतन्त्र,खसीको टाउको,3,पुरुष,47,बागमती प्रदेश,ललितपुर,1,एस.एल.सी.,सामाजिक अभियन्ता,-,सरस्वती मा.वि.
26,तिलक बहादुर भेालन,स्वतन्त्र,ग्याँस चुलो,2,पुरुष,39,बागमती प्रदेश,ललितपुर,1,वि.ए.,सामाजिक कार्य,-,जे.एम.सि.
27,राम खड्का,स्वतन्त्र,सेलरोटी,1,पुरुष,30,बागमती प्रदेश,ललितपुर,1,स्नाकोत्तर,सामाजिक अभियन्ता,-,त्रि.वि.
28,देबेन्द्र सिहं,स्वतन्त्र,हारमोनियम,0,पुरुष,26,बागमती प्रदेश,ललितपुर,1,८ कक्षा,-,-,-
