Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,Status,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,जगदिश खरेल,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,39491,पुरुष,43,Elected,बागमती प्रदेश,ललितपुर,2,masters,,,
2,प्रेम कृष्ण महर्जन,नेपाली काँग्रेस,रुख,7420,पुरुष,59,,बागमती प्रदेश,ललितपुर,2,slc,,,
3,राजा राम तण्डुकार,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,5547,पुरुष,52,,बागमती प्रदेश,ललितपुर,2,masters,,,
4,प्रेम बहादुर महर्जन,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,4536,पुरुष,59,,बागमती प्रदेश,ललितपुर,2,Masters,,,
5,रघुवर राज थापा,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1760,पुरुष,56,,बागमती प्रदेश,ललितपुर,2,masters,,,
6,राजेन्द्र अमात्य,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1217,पुरुष,53,,बागमती प्रदेश,ललितपुर,2,+2,,,
7,सरोज राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,608,पुरुष,38,,बागमती प्रदेश,ललितपुर,2,साक्षर,,,
8,चिरी मैया महर्जन (लाखाजु),नेपाल मजदुर किसान पार्टी,मादल,207,महिला,47,,बागमती प्रदेश,ललितपुर,2,BBS,,,
9,उमङ्ग के.सी,स्वतन्त्र,कैंची,99,पुरुष,35,,बागमती प्रदेश,ललितपुर,2,‌+2,,,
10,अष्ट राज बज्राचार्य,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,87,पुरुष,53,,बागमती प्रदेश,ललितपुर,2,साक्षर,,,
11,कृष्ण महर्जन,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,73,पुरुष,32,,बागमती प्रदेश,ललितपुर,2,bachelor in engineering ,,,
12,मंगल कृष्ण श्रेष्ठ,स्वतन्त्र,केबल कार,55,पुरुष,54,,बागमती प्रदेश,ललितपुर,2,bachelor,,,
13,बाबु राज बज्राचार्य,स्वतन्त्र,झोला,47,पुरुष,58,,बागमती प्रदेश,ललितपुर,2,+2,,,
14,ओम राज बज्राचार्य,स्वतन्त्र,व्याडमिन्टन कर्क,41,पुरुष,49,,बागमती प्रदेश,ललितपुर,2,slc,,,
15,रीहीणि कस्ती,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,29,महिला,54,,बागमती प्रदेश,ललितपुर,2,साक्षर,,,
16,रमेश आचार्य,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,24,पुरुष,37,,बागमती प्रदेश,ललितपुर,2,Mphil,,,
17,कृष्ण महर्जन,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,20,पुरुष,44,,बागमती प्रदेश,ललितपुर,2,slc,,,
18,लखिन्द्र कुमार साह,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,14,पुरुष,29,,बागमती प्रदेश,ललितपुर,2,‌+2,,,
19,खेम प्रसाद श्रेष्ठ,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,10,पुरुष,64,,बागमती प्रदेश,ललितपुर,2,bachelor,,,
20,डोलेन्द्र राज भट्टराई,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),9,पुरुष,54,,बागमती प्रदेश,ललितपुर,2,‌+2,,,
21,कृष्ण खड्का,स्वतन्त्र,क्यामरा,9,पुरुष,40,,बागमती प्रदेश,ललितपुर,2,bachelor,,,
22,रविन्द्र अमात्य,स्वतन्त्र,आँखीझ्याल,7,पुरुष,47,,बागमती प्रदेश,ललितपुर,2,slc,,,
23,रबिराज पौडेल,स्वतन्त्र,सिरिन्ज,3,पुरुष,44,,बागमती प्रदेश,ललितपुर,2,bachelor,,,
