Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,तोसीमा कार्की,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,43096,महिला,36,बागमती प्रदेश,ललितपुर,3,एम बि बि एस,प्रतिनिधि सभा सदस्य,निर्वाचनमा पुनः उम्मेदवारी दिँदै छु,काठमाडौं विश्वविद्यालय
2,जितेन्द्र कुमार श्रेष्ठ,नेपाली काँग्रेस,रुख,9045,पुरुष,58,बागमती प्रदेश,ललितपुर,3,एस एल सी,अर्वुध रोग निवारण सदस्य,उल्लेख नभएको,त्री पद्म स्कुल
3,राज काजी महर्जन,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6022,पुरुष,48,बागमती प्रदेश,ललितपुर,3,स्नातकोत्तर तह,२०५८ सालमा पाटन संयुक्त क्याम्पसको स्ववियु उप-सभापति २०६४ सालमा संविधान सभा-सदस्य २०७४ सालमा बागमती प्रदेश सभा सदस्य नेपाली कम्युनिष्ट पार्टीको केन्द्रिय सदस्य,२०५८ साल देखि कम्युनिष्ट पार्टीमा आवद्ध भई निरन्तर जनताको सेवामा समर्पित रही देश विकासमा महत्त्वपूर्ण योगदान गर्दै आएको ।,त्रिभुवन विश्वविद्यालय
4,सन्दन थापा मगर,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,3297,पुरुष,46,बागमती प्रदेश,ललितपुर,3,स्नातक,उल्लेख नभएको,एमालेको संगठित सदस्य,पाटन संयुक्त क्याम्पस
5,सबिन कुमार खड्का,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,2037,पुरुष,52,बागमती प्रदेश,ललितपुर,3,SLC,उल्लेख नभएको,उल्लेख नभएको,नेपाल सरकार
6,ऋतुवर्तन राई,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,1472,पुरुष,46,बागमती प्रदेश,ललितपुर,3,साक्षर,किरात राई यायोखा अध्यक्ष,उल्लेख नभएको,साकेला मावि
7,विजय पन्त,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,1320,पुरुष,35,बागमती प्रदेश,ललितपुर,3,"B.sc MBBS, MBA",चिकित्सक भक्तपुर अस्पताल इमा क्लिनिक देवीचौर Consultation at various institutes स्वा.चौकी शिक्षक नेम इन्चिस्टिउ विभिन्न कलेज।,उल्लेख नभएको,"TU,KU,PU"
8,रमिला महर्जन,नेपाल मजदुर किसान पार्टी,मादल,191,महिला,41,बागमती प्रदेश,ललितपुर,3,प्रविणता प्रमाणपत्र,उल्लेख नभएको,उल्लेख नभएको,त्रिभुवन विश्वविद्यालय
9,खगेन्द्र महर्जन,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,127,पुरुष,44,बागमती प्रदेश,ललितपुर,3,SLC,सामान्य व्यवसायिक अनुभव सामाजिक सेवा,उल्लेख नभएको,प्राईभेट
10,अशोज कुमार महर्जन,स्वतन्त्र,आँखीझ्याल,92,पुरुष,42,बागमती प्रदेश,ललितपुर,3,M.A political science/PHD sclor,शिक्षक कृषि ब्यवसाय,नेपालीका राष्ट्रिय स्वाधिनता सह अस्तित्व शान्ति र मौलिक संस्कृतिको लागि अभियान गर्ने।,T.U.
11,निल गोविन्द महर्जन,राष्ट्रिय जनमोर्चा,गिलास,70,पुरुष,74,बागमती प्रदेश,ललितपुर,3,एस एल सी,उल्लेख नभएको,उल्लेख नभएको,एस एल सी
12,बिष्णु राज खड्का,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,56,पुरुष,47,बागमती प्रदेश,ललितपुर,3,कक्षा १०,जावलाखेल युवा क्लव कोषाध्यक्ष,उल्लेख नभएको,महेन्द्र भृकुटी मा.वि.
13,श्याम बहादुर राई,संयुक्त नागरिक पार्टी,गितार,56,पुरुष,45,बागमती प्रदेश,ललितपुर,3,10+2,व्यापार खेती किसान चालक कलाकार,समविद्ध नेपाल बनाउने,श्री जनप्रिय मा वि
14,रुपेस शाह,स्वतन्त्र,भँगेरा,39,पुरुष,36,बागमती प्रदेश,ललितपुर,3,स्नातक,उल्लेख नभएको,उल्लेख नभएको,ऐपेक्स कलेज पोखरा विश्वविद्यालय
15,कृष्ण देवि महर्जन,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,31,महिला,42,बागमती प्रदेश,ललितपुर,3,10+2,विभिन्न संघसस्थामा सम्लघ्न शिप हासिल,म जनता समाजवादी पार्टी नेपालको ललितपुर जिल्ला सदस्य भै काम गर्दै आएको ७ बर्ष भयो । म समाजको प्रगती र सुधारको लागि निरन्तर अभाव उठाउने एउटा सचेत महिला हु।,हिल टप उच्च माध्यामिक विद्यालय
16,अन्जु कारन्जीत (थापा),स्वतन्त्र,झ्याली,21,महिला,36,बागमती प्रदेश,ललितपुर,3,10+2,उल्लेख नभएको,उल्लेख नभएको,TU
17,दिल कुमार महर्जन,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,20,पुरुष,44,बागमती प्रदेश,ललितपुर,3,8 pass,उल्लेख नभएको,उल्लेख नभएको,सरकारी स्कुल
18,यज्ञ प्रसाद पन्त,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,15,पुरुष,42,बागमती प्रदेश,ललितपुर,3,स्नातक ,खेलकद सेफ अन्तर्राष्ट्रिय निर्णायक ,उल्लेख नभएको,त्रिभुवन विश्वविद्यालय
19,राधे श्याम खड्का,स्वतन्त्र,कैंची,8,पुरुष,49,बागमती प्रदेश,ललितपुर,3,B.A,समाज सेवा,स्थानीय निर्वाचन दल विहिन होस्।,T.U
20,बिमर्श मिश्र,स्वतन्त्र,गमबुट,3,पुरुष,27,बागमती प्रदेश,ललितपुर,3,वि इ,उल्लेख नभएको,उल्लेख नभएको,इ अ स
