Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,युवराज दुलाल,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,21699,पुरुष,43,बागमती प्रदेश,सिन्धुपाल्चोक,2,masters,,,
2,वंशलाल तामाङ,नेपाली काँग्रेस,रुख,19146,पुरुष,62,बागमती प्रदेश,सिन्धुपाल्चोक,2,MA,,,
3,शेर बहादुर तामाङग,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15926,पुरुष,56,बागमती प्रदेश,सिन्धुपाल्चोक,2,Masters,,,
4,झलक कुमार श्रेष्‍ठ,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,14019,पुरुष,47,बागमती प्रदेश,सिन्धुपाल्चोक,2,SLC,,,
5,गोपी कृष्ण चौलागाई,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1681,पुरुष,35,बागमती प्रदेश,सिन्धुपाल्चोक,2,Engineer,,,
6,राम सिं तामाङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,1238,पुरुष,38,बागमती प्रदेश,सिन्धुपाल्चोक,2,SLC,,,
7,कर्णविर स्यांवु लामा,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,159,पुरुष,39,बागमती प्रदेश,सिन्धुपाल्चोक,2,साक्षर,,,
8,भानु श्रेष्ठ,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,129,पुरुष,36,बागमती प्रदेश,सिन्धुपाल्चोक,2,SLC,,,
9,सोमान लामा,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,121,पुरुष,42,बागमती प्रदेश,सिन्धुपाल्चोक,2,SLC,,,
10,मिङमर तामाङ,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),99,पुरुष,52,बागमती प्रदेश,सिन्धुपाल्चोक,2,bachelor,,,
11,सेर वहादुर तामाङ,नागरिक सर्वोच्चता पार्टी नेपाल(एकल चुनाव चिन्ह),जगर भएको सिंह,47,पुरुष,56,बागमती प्रदेश,सिन्धुपाल्चोक,2,SLC,,,
12,दावा छिरिङ शेर्पा,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,29,पुरुष,49,बागमती प्रदेश,सिन्धुपाल्चोक,2,10 pass,,,
13,विजु श्रेष्ठ,स्वतन्त्र,क्याप,25,पुरुष,40,बागमती प्रदेश,सिन्धुपाल्चोक,2,Phd. in Electrical Engineering,,,
14,दिपक ढकाल,स्वतन्त्र,आँप,24,पुरुष,39,बागमती प्रदेश,सिन्धुपाल्चोक,2,HSEB,,,
15,म्हेन्दो तामाङ,नेपाल मजदुर किसान पार्टी,मादल,17,महिला,29,बागमती प्रदेश,सिन्धुपाल्चोक,2,स्नातक,,,
16,गणेश बहादुर श्रेष्ठ,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,11,पुरुष,60,बागमती प्रदेश,सिन्धुपाल्चोक,2,सामान्य लेखपढ,,,
17,सुन्‍दर अधिकारी,स्वतन्त्र,काउली,11,पुरुष,35,बागमती प्रदेश,सिन्धुपाल्चोक,2,,,,
18,महेश कुँवर,मितेरी पार्टी नेपाल,घोडा,4,पुरुष,40,बागमती प्रदेश,सिन्धुपाल्चोक,2,10 pass,,,
