Rank,CandidateName,PoliticalPartyName,PartySymbol,TotalVoteReceived,Gender,Age,StateName,DistrictName,Constituency,QUALIFICATION,EXPERIENCE,OTHERDETAILS,NAMEOFINST
1,धनेन्द्र कार्की,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,16659,पुरुष,38,बागमती प्रदेश,सिन्धुली,1,,,,
2,प्रदिप कुमार कटुवाल क्षेत्री (के सी),नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,15875,पुरुष,63,बागमती प्रदेश,सिन्धुली,1,,,,
3,उज्ज्वल प्रसाद वराल,नेपाली काँग्रेस,रुख,15570,पुरुष,59,बागमती प्रदेश,सिन्धुली,1,,,,
4,डेकेन्द्र प्रसाद सुवेदी,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,4708,पुरुष,56,बागमती प्रदेश,सिन्धुली,1,,,,
5,निम बहादुर मोक्तान,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,2596,पुरुष,54,बागमती प्रदेश,सिन्धुली,1,,,,
6,मोति लाल तामाङ,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,755,पुरुष,43,बागमती प्रदेश,सिन्धुली,1,,,,
7,राम नारायण अधिकारी,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,510,पुरुष,41,बागमती प्रदेश,सिन्धुली,1,,,,
8,सन्तोष कुमार सुनुवार,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,223,पुरुष,39,बागमती प्रदेश,सिन्धुली,1,,,,
9,सुशिल हमाल,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,167,पुरुष,36,बागमती प्रदेश,सिन्धुली,1,,,,
10,सोम बहादुर घलान,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,161,पुरुष,43,बागमती प्रदेश,सिन्धुली,1,,,,
11,राजेन्द्र बखुन्छे,नेपाल मजदुर किसान पार्टी,मादल,29,पुरुष,54,बागमती प्रदेश,सिन्धुली,1,,,,
12,अमृत बहादुर विश्‍वकर्मा,स्वतन्त्र,स्प्रे,27,पुरुष,48,बागमती प्रदेश,सिन्धुली,1,,,,
